FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,181,188,353,186
16.7,181,188,353,186
16.7,182,188,353,186
16.7,181,188,353,186
16.7,181,188,353,186
16.7,181,188,353,186
16.1,181,188,353,186
16.1,181,188,353,186
16.1,182,188,353,186
16.1,181,188,353,186
16.1,179,189,351,186
16.1,179,188,350,186
16.1,179,188,351,186
16.1,178,188,351,186
16.1,179,189,351,186
16.1,178,188,351,186
16.1,178,189,350,186
16.1,179,189,351,187
16.1,179,189,351,187
16.1,179,190,351,187
16.1,179,190,351,187
16.1,179,190,351,187
16.4,179,190,351,186
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,351,186
16.4,179,190,351,186
16.4,179,190,351,186
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,352,186
16.4,179,190,351,187
16.4,179,190,351,186
16.4,179,190,351,187
16.4,179,190,351,187
16.4,179,190,351,187
16.5,179,190,352,186
16.5,180,190,353,186
16.5,181,192,353,188
16.5,181,193,352,189
16.5,180,196,351,190
16.5,180,197,351,190
16.5,180,197,351,190
16.5,179,199,350,190
16.5,178,200,349,189
16.5,177,201,347,189
16.5,177,202,347,190
16.5,179,203,349,191
16.5,179,204,349,191
16.5,178,205,347,190
16.5,177,206,346,190
16.5,176,208,345,190
16.5,177,209,345,189
16.8,176,208,345,188
16.8,177,207,345,187
16.8,177,207,345,186
16.8,177,205,347,184
16.8,179,204,349,182
16.8,180,202,350,180
16.8,181,200,351,178
16.8,181,198,352,176
16.8,183,196,354,175
16.8,184,194,355,175
16.8,185,194,357,175
16.8,185,192,358,174
16.8,187,192,359,175
16.8,186,191,359,177
16.8,185,192,358,177
16.8,185,192,358,174
16.8,185,192,358,174
16.8,185,193,358,174
16.8,185,193,358,174
16.8,186,193,359,173
16.8,187,194,359,173
16.8,187,194,359,174
16.8,187,195,360,174
16.8,187,196,360,174
16.8,187,196,360,175
16.8,187,187,353,173
16.8,181,184,347,174
16.8,176,185,342,174
16.8,174,187,341,174
16.8,175,189,341,175
16.8,176,190,343,176
16.8,177,190,343,176
15.8,177,190,343,177
15.8,177,191,343,177
15.8,177,191,343,177
15.8,177,191,343,178
15.8,178,193,343,181
15.8,180,196,345,184
15.8,181,199,348,186
15.8,183,202,350,186
15.8,185,204,352,187
15.8,186,206,353,188
15.8,187,208,355,188
15.8,189,209,355,187
