FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,180,207,353,206
16.7,180,207,353,206
16.7,180,207,353,206
16.6,180,206,353,207
16.6,180,207,353,207
16.6,180,207,353,207
16.6,180,207,353,206
16.6,180,207,353,206
16.6,180,207,353,206
16.6,179,207,353,206
16.6,180,207,353,206
16.6,181,207,353,207
16.6,180,208,353,206
16.6,180,207,353,206
16.6,179,207,353,206
16.6,180,207,353,207
16.6,179,207,353,206
16.6,180,207,353,206
16.6,179,207,353,206
16.6,180,207,353,206
16.6,180,207,353,206
16.8,179,207,353,206
16.8,180,207,353,206
16.8,184,206,353,207
16.8,180,207,353,208
16.8,181,208,353,209
16.8,181,208,353,208
16.8,180,207,353,207
16.8,181,207,352,207
16.8,179,207,351,206
16.8,178,207,351,205
16.8,177,207,349,205
16.8,175,207,347,204
16.8,173,208,346,203
16.8,173,207,345,202
16.8,172,207,344,202
16.8,171,208,343,202
16.7,170,208,343,202
16.7,171,208,343,202
16.7,170,207,343,202
16.7,169,208,342,202
16.7,170,206,343,202
16.7,171,205,344,202
16.7,174,204,347,203
16.7,177,202,350,203
16.7,179,199,353,202
16.7,181,196,355,201
16.7,184,194,358,200
16.7,186,194,360,200
16.7,187,194,362,201
16.7,189,194,363,200
16.7,189,194,364,199
16.7,189,194,364,200
16.7,189,196,364,200
16.5,189,197,364,202
16.5,187,199,363,203
16.5,187,200,362,204
16.5,187,201,362,205
16.5,189,202,364,206
16.5,191,202,366,207
16.5,192,202,367,208
16.5,191,202,367,209
16.5,190,202,366,210
16.5,190,202,365,210
16.5,189,202,365,211
16.5,189,202,365,212
16.5,189,202,365,213
16.5,190,202,365,213
16.5,190,202,365,214
16.5,191,202,366,215
16.5,192,203,366,217
16.6,192,205,366,218
16.6,190,208,364,219
16.6,188,209,362,219
16.6,187,210,361,219
16.6,187,211,360,218
16.6,187,212,360,218
16.6,185,212,359,217
16.6,185,210,356,215
16.6,181,211,353,214
16.6,179,211,350,212
16.6,178,210,349,211
16.6,177,210,349,210
16.6,177,209,348,209
16.6,178,208,348,208
16.6,176,208,347,208
16.6,176,207,347,207
16.6,175,205,346,206
16.7,174,205,345,206
16.7,173,205,344,205
16.7,173,204,343,205
16.7,173,203,343,205
16.7,175,202,344,205
16.7,175,201,346,205
16.7,179,198,349,205
16.7,181,197,352,207
16.7,184,196,355,208
16.7,186,196,357,209
16.7,188,196,359,210
16.7,189,195,361,210
16.7,190,194,362,209
16.7,190,193,363,209
16.7,190,193,363,209
16.7,191,193,364,209
16.5,190,192,364,209
16.5,190,192,363,207
16.5,190,192,363,206
16.5,191,193,364,206
16.5,192,194,366,205
16.5,193,196,367,205
16.5,192,196,367,204
16.5,193,196,367,202
16.5,193,196,369,202
16.5,195,198,370,202
16.5,196,199,371,202
16.5,197,203,372,202
16.5,197,204,373,203
16.5,198,205,374,203
16.5,198,206,374,204
16.5,200,205,376,204
16.5,201,204,377,205
16.3,202,203,378,205
