FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.6,121,165,295,167
16.6,121,165,295,167
16.6,120,165,295,167
16.6,120,165,295,167
16.6,121,165,295,167
16.6,121,165,295,167
16.6,121,165,295,167
16.6,121,165,295,167
15.6,120,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,166,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,120,165,295,167
15.6,121,165,295,167
15.6,121,165,295,167
15.6,120,165,295,167
15.6,121,166,295,167
15.6,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
16.2,121,165,295,167
12.9,121,166,295,167
12.9,121,168,295,167
12.9,122,170,296,167
12.9,122,172,297,168
12.9,122,174,297,169
12.9,121,174,295,169
12.9,120,174,294,168
12.9,118,174,293,167
12.9,118,174,292,167
12.9,118,174,292,166
12.9,118,175,292,167
12.9,120,178,294,167
12.9,123,180,297,167
12.9,125,183,299,167
12.9,126,183,301,168
12.9,126,182,301,167
14.7,126,183,301,166
14.7,126,184,302,166
14.7,128,184,303,164
14.7,129,183,304,164
14.7,130,182,306,163
14.7,130,182,306,163
14.7,131,182,307,163
14.7,132,182,308,163
14.7,133,182,309,164
14.7,134,180,309,164
14.7,134,178,309,165
14.7,134,176,309,165
14.7,133,174,307,166
14.7,132,174,306,167
14.7,132,173,306,168
14.7,133,174,307,168
14.7,134,174,307,169
16.2,134,173,307,170
16.2,134,173,307,171
16.2,134,174,307,172
16.2,135,174,307,173
16.2,135,174,307,172
16.2,134,173,305,172
16.2,133,173,305,171
16.2,134,171,305,171
16.2,133,172,305,171
16.2,134,171,305,171
16.2,135,171,306,172
16.2,135,171,307,172
16.2,136,170,308,172
16.2,137,169,309,172
16.2,139,167,311,172
16.2,141,166,313,171
16.2,142,165,315,170
16.2,142,165,317,169
16.2,143,166,317,169
16.2,143,168,317,169
16.2,143,170,317,169
16.2,144,174,319,171
16.2,148,176,323,173
16.2,150,177,326,171
16.2,150,176,327,171
16.2,150,176,327,173
16.2,150,176,327,175
16.2,152,177,329,175
16.2,153,178,330,177
16.2,154,178,331,177
16.2,155,178,333,176
16.2,158,178,335,175
16.2,160,178,337,176
16.8,161,178,339,175
16.8,163,177,341,174
16.8,165,178,343,173
16.8,166,178,343,173
16.8,167,179,344,171
16.8,168,179,345,170
16.8,169,180,345,170
16.8,168,179,344,169
16.8,167,178,343,169
16.8,167,178,343,170
16.8,167,178,343,170
16.8,166,176,342,171
16.8,165,176,341,171
16.8,163,173,341,171
16.8,162,172,339,171
16.8,162,173,337,173
16.8,160,175,336,177
16.7,159,176,335,179
16.7,158,175,333,179
16.7,156,176,331,181
16.7,154,177,328,183
16.7,152,180,325,185
16.7,148,183,321,188
16.7,147,185,319,191
16.7,146,188,319,192
16.7,147,189,320,194
16.7,146,192,319,196
16.7,146,195,318,197
16.7,144,197,317,199
16.7,144,199,317,200
16.7,144,200,316,201
16.7,144,201,317,202
16.7,144,202,317,202
16.8,145,203,317,202
16.8,146,203,318,202
16.8,146,204,319,202
16.8,148,205,319,202
16.8,149,205,321,201
16.8,149,206,321,201
16.8,150,207,322,200
16.8,150,208,322,199
16.8,150,208,322,197
16.8,151,208,323,195
16.8,152,209,325,192
16.8,154,210,327,190
16.8,156,210,329,189
16.8,158,210,330,187
16.8,158,210,331,185
16.8,159,208,332,182
16.8,160,207,333,181
16.5,163,206,336,180
16.5,165,204,339,178
16.5,166,202,340,178
16.5,166,201,341,179
16.5,165,202,340,180
16.5,165,201,340,180
16.5,166,200,341,180
16.5,166,200,341,180
16.5,166,200,341,180
16.5,166,200,341,180
16.5,166,200,341,180
16.5,166,200,341,180
16.5,165,200,340,180
16.5,164,200,339,180
16.5,165,200,340,180
16.5,165,199,340,180
16.8,164,199,339,181
16.8,165,199,340,183
16.8,165,200,339,184
16.8,163,200,336,185
16.8,159,201,333,187
16.8,158,203,331,188
16.8,157,206,329,190
16.8,156,206,328,192
16.8,155,206,327,193
16.8,153,205,326,193
16.8,151,206,324,192
16.8,149,206,322,192
16.8,148,206,321,190
16.8,149,206,321,190
16.8,149,205,321,190
16.8,149,206,322,190
16.8,150,206,323,190
16.8,151,207,324,189
16.7,153,208,325,189
16.7,154,210,327,190
16.7,156,210,328,190
16.7,156,211,328,190
16.7,155,213,328,190
16.7,155,213,327,189
16.7,155,213,327,188
16.7,155,214,327,188
16.7,155,215,327,188
16.7,157,216,329,187
16.7,158,217,330,187
16.7,158,217,330,187
16.7,157,218,329,187
16.7,157,217,329,186
16.7,157,218,329,186
16.7,158,218,328,184
16.5,157,215,327,180
16.5,157,212,328,179
16.5,156,212,326,181
16.5,153,216,323,183
16.5,150,217,320,183
16.5,149,216,319,183
16.5,149,217,320,183
16.5,150,217,321,184
16.5,150,217,321,185
16.5,149,217,319,185
16.5,147,217,318,186
16.5,146,216,317,187
16.5,146,217,317,188
16.5,146,218,317,190
16.5,146,220,317,191
16.5,145,219,317,192
16.8,145,218,315,193
16.8,143,220,314,195
16.8,142,220,313,195
16.8,142,220,313,196
16.8,139,220,311,197
16.8,136,218,307,197
16.8,133,217,305,197
16.8,133,217,305,196
16.8,132,216,303,196
16.8,131,214,302,196
16.8,130,213,301,195
16.8,129,212,301,194
16.8,129,211,301,193
16.8,129,212,302,193
16.8,129,212,303,192
16.8,130,214,303,190
16.8,131,214,305,189
16.7,132,214,306,187
16.7,134,214,308,187
16.7,136,216,310,185
16.7,139,217,312,184
16.7,140,218,313,184
16.7,142,220,314,185
16.7,143,224,315,186
16.7,146,229,316,185
16.7,148,232,317,184
16.7,150,233,318,185
16.7,151,234,319,185
16.7,153,234,321,185
16.7,156,235,324,186
16.7,157,237,325,187
16.7,158,238,325,187
16.7,158,238,326,187
16.7,159,237,326,187
16.6,159,236,326,187
16.6,159,235,326,187
16.6,159,234,327,187
16.6,159,233,327,187
16.6,159,232,327,186
16.6,159,232,327,186
16.6,159,230,327,185
16.6,158,229,327,185
16.6,157,229,325,185
16.6,156,230,324,185
16.6,155,230,323,186
16.6,156,230,323,185
16.6,155,229,323,185
16.6,155,229,321,185
16.6,155,233,321,186
16.6,154,232,320,185
16.7,152,231,318,186
16.7,150,232,317,185
16.7,150,232,316,186
16.7,149,233,314,186
16.7,147,233,311,185
16.7,144,233,309,185
16.7,143,233,308,184
16.7,142,233,307,183
16.7,141,232,306,182
16.7,141,231,305,181
16.7,140,233,305,181
16.7,139,234,304,181
16.7,139,235,303,181
16.7,140,235,303,182
16.7,140,236,304,182
16.7,140,236,304,181
16.7,140,237,304,181
16.6,140,237,304,181
16.6,140,236,305,181
16.6,141,235,305,180
16.6,141,235,305,180
16.6,140,236,304,181
16.6,140,235,304,181
16.6,139,236,304,181
16.6,139,236,304,181
16.6,139,236,303,181
16.6,139,236,303,181
16.6,138,236,303,181
16.6,139,236,303,181
16.6,139,236,303,181
16.6,139,236,303,181
16.6,140,235,303,181
16.6,139,236,303,181
16.6,138,236,303,182
16.6,138,236,303,182
16.6,138,236,303,183
16.6,139,237,303,183
16.6,139,237,304,184
16.6,141,237,306,185
16.6,142,238,307,185
16.6,142,238,308,186
16.6,142,238,308,186
16.6,142,238,308,186
16.6,142,238,309,186
16.6,142,237,309,187
16.6,142,236,310,188
16.6,143,235,311,188
16.6,142,233,311,187
16.6,143,232,312,188
16.6,143,232,313,188
16.5,144,232,313,188
16.5,144,233,313,189
16.5,144,233,313,189
16.5,145,233,313,189
16.5,145,233,313,189
16.5,144,234,311,189
16.5,142,235,308,188
16.5,140,235,307,187
16.5,140,236,307,188
16.5,141,237,308,188
16.5,142,238,308,188
16.5,142,239,309,187
16.5,142,238,308,187
16.5,141,239,307,188
16.5,141,240,307,189
16.5,142,240,307,189
16.5,141,239,307,189
16.4,141,239,307,189
16.4,142,240,307,190
16.4,143,240,308,190
16.4,143,240,309,190
16.4,143,239,309,190
16.4,144,240,310,190
16.4,146,239,312,190
16.4,147,239,312,189
16.4,146,239,311,188
16.4,146,239,312,188
16.4,148,238,313,186
16.4,148,239,314,185
16.4,149,239,313,184
16.4,148,239,312,183
16.4,147,238,311,181
16.4,146,238,309,178
16.4,148,236,309,176
16.8,148,236,310,175
16.8,147,235,309,173
16.8,146,234,307,171
16.8,145,233,305,170
16.8,145,233,305,170
16.8,145,233,304,169
16.8,145,232,304,168
16.8,145,231,304,167
16.8,145,229,304,167
16.8,145,229,304,167
16.8,145,229,303,167
16.8,143,227,303,168
16.8,143,226,302,169
16.8,141,228,302,170
16.8,141,228,301,171
16.8,140,229,300,172
16.9,138,229,299,174
16.9,137,228,298,175
16.9,136,229,298,176
16.9,135,228,299,179
16.9,135,228,299,180
16.9,134,226,299,181
16.9,132,227,298,182
16.9,132,227,297,183
16.9,132,227,298,183
16.9,132,228,299,182
16.9,132,229,299,183
16.9,132,230,299,183
16.9,132,231,299,184
16.9,132,232,299,185
16.9,133,231,301,184
16.9,134,230,302,184
16.9,135,229,304,184
16.9,137,229,305,183
16.9,137,229,306,182
16.9,139,230,307,180
16.9,141,231,308,178
16.9,144,231,310,176
16.9,146,232,311,175
16.9,148,232,313,173
16.9,149,232,313,172
16.9,151,233,313,172
16.9,152,236,313,174
16.9,154,239,313,176
16.9,154,240,313,177
16.9,153,241,314,179
16.9,155,242,314,180
16.9,155,244,314,181
16.9,155,245,314,181
16.9,155,245,313,182
16.8,155,245,313,182
16.8,154,246,312,182
16.8,153,246,310,182
16.8,151,247,309,182
16.8,152,247,309,181
16.8,152,248,309,181
16.8,152,248,309,181
16.8,151,249,307,180
16.8,150,249,305,179
16.8,149,251,303,178
16.8,147,252,300,177
16.8,146,253,298,174
16.8,144,252,296,172
16.8,143,252,294,172
16.8,140,252,292,171
16.8,139,253,291,171
16.7,139,253,291,171
16.7,139,252,289,171
16.7,137,251,289,170
16.7,137,252,289,170
16.7,138,253,289,170
16.7,138,253,290,170
16.7,138,252,290,169
16.7,139,251,290,169
16.7,138,251,290,169
16.7,138,252,290,169
16.7,138,252,290,169
16.7,139,252,289,169
16.7,138,253,289,169
16.7,140,254,290,169
16.7,142,254,292,168
16.7,143,255,293,168
16.7,144,256,293,168
16.5,144,256,293,168
16.5,144,256,293,168
16.5,144,255,293,168
16.5,145,255,293,168
16.5,144,256,293,168
16.5,144,256,292,168
16.5,143,255,292,168
16.5,143,255,291,168
16.5,143,255,292,168
16.5,142,254,291,168
16.5,142,254,291,169
16.5,143,253,291,169
16.5,143,253,292,169
16.5,144,253,293,169
16.5,145,252,294,169
16.5,145,250,295,169
16.5,145,249,295,169
16.7,145,249,295,170
16.7,145,247,296,171
16.7,144,246,297,171
16.7,146,246,298,172
16.7,145,245,299,173
16.7,145,245,299,173
16.7,146,245,300,174
16.7,147,245,301,175
16.7,148,245,303,175
16.7,149,246,304,176
16.7,150,247,305,177
16.7,150,248,307,177
16.7,151,248,307,178
16.7,151,248,308,179
16.7,151,249,307,180
16.7,150,250,306,180
16.5,149,251,305,180
16.5,148,251,304,180
16.5,147,252,304,179
16.5,147,252,303,179
16.5,147,252,303,179
16.5,147,253,302,179
16.5,145,253,301,179
16.5,144,254,299,178
16.5,143,253,297,178
16.5,141,253,296,177
16.5,140,253,295,177
16.5,139,253,293,177
16.5,138,254,292,176
16.5,137,254,290,177
16.5,136,254,288,176
16.5,134,253,287,176
16.5,133,254,286,176
16.6,133,254,285,177
16.6,133,256,284,177
16.6,133,255,283,176
16.6,134,255,284,175
16.6,133,255,283,175
16.6,133,254,282,174
16.6,134,254,282,175
16.6,132,254,283,175
16.6,132,253,283,176
16.6,132,254,284,178
16.6,132,253,285,181
16.6,131,254,285,183
16.6,132,254,287,184
16.6,134,254,291,186
16.6,136,254,293,188
16.6,137,256,295,189
16.6,139,255,295,189
16.7,138,258,295,189
16.7,139,257,296,188
16.7,139,257,297,188
16.7,140,256,299,188
16.7,141,255,299,187
16.7,141,256,301,187
16.7,144,256,302,186
16.7,147,255,305,186
16.7,148,255,307,185
16.7,150,254,309,185
16.7,152,255,311,185
16.7,153,255,313,185
16.7,154,254,313,185
16.7,153,254,312,185
16.7,152,254,312,185
16.7,152,254,312,185
16.7,152,253,312,185
