FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.2,149,185,323,187
16.2,148,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,148,185,323,187
15.1,148,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,148,185,323,187
15.1,148,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
15.1,148,185,323,187
15.1,149,185,323,187
15.1,149,185,323,187
16.1,149,185,323,187
16.1,149,185,323,187
16.1,149,185,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,185,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.1,149,186,323,187
16.7,149,186,323,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,186,323,187
16.7,149,186,324,187
16.7,149,186,323,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,186,324,187
16.7,149,187,323,187
16.7,149,189,322,186
16.7,148,191,320,187
16.7,146,193,319,187
16.7,146,196,318,188
16.4,145,198,317,190
16.4,145,200,318,190
16.4,147,200,319,190
16.4,147,200,319,190
16.4,147,201,320,189
16.4,148,201,320,188
16.4,150,200,321,188
16.4,151,201,323,187
16.4,153,200,326,187
16.4,157,198,329,186
16.4,160,196,333,185
16.4,163,194,336,184
16.4,166,190,339,181
16.4,166,186,339,179
16.4,166,184,339,179
16.4,167,184,340,179
16.4,168,182,342,179
16.4,169,180,343,179
16.4,168,178,343,179
16.4,168,178,342,180
16.4,168,180,343,180
16.4,169,182,344,180
16.4,170,183,345,180
16.4,170,184,345,182
16.4,168,185,343,182
16.4,165,187,340,183
16.4,163,188,337,183
16.4,159,189,334,183
16.4,157,192,330,184
16.4,153,195,326,186
16.4,149,197,322,186
16.4,147,199,320,186
16.4,145,199,319,185
16.4,144,200,317,185
16.7,143,200,316,185
16.7,142,200,315,185
16.7,140,201,313,185
16.7,140,202,313,186
16.7,140,203,313,185
16.7,140,203,313,185
16.7,140,203,313,185
16.7,140,203,313,185
16.7,140,203,313,185
16.7,140,202,313,185
16.7,139,201,312,185
16.7,140,200,313,185
16.7,140,199,313,184
16.7,141,198,314,183
16.7,143,196,315,182
16.7,144,194,317,182
16.7,145,194,319,182
16.7,147,193,320,182
16.7,149,193,322,183
16.7,151,193,324,183
16.7,154,192,327,183
16.7,156,192,330,184
16.7,160,192,333,184
16.7,163,193,337,185
16.7,166,194,339,185
16.7,167,193,339,185
16.7,165,192,338,185
16.7,166,192,339,184
16.7,167,192,340,184
16.7,167,193,341,184
16.7,167,192,340,184
16.7,166,192,339,183
