FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.4,109,207,281,198
16.4,108,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.4,109,207,281,198
16.2,109,207,281,198
16.2,108,207,281,198
16.2,109,207,281,198
16.2,109,207,281,199
16.2,108,207,281,198
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,208,281,199
16.2,109,207,281,199
16.2,109,208,281,198
16.2,109,208,281,199
16.2,108,208,281,198
16.2,109,208,281,199
16.5,109,208,281,199
16.5,109,207,281,199
16.5,108,208,281,199
16.5,109,208,281,199
16.5,109,207,281,198
16.5,109,208,281,198
16.5,109,207,281,198
16.5,109,207,281,198
16.5,108,208,281,198
16.5,108,209,280,199
16.5,108,211,279,200
16.5,106,213,277,201
16.5,106,214,277,202
16.5,105,214,276,201
16.5,104,214,275,201
16.5,104,215,275,201
16.4,104,215,275,201
16.4,103,215,275,201
16.4,104,216,275,200
16.4,104,216,275,201
16.4,104,217,276,201
16.4,106,217,278,201
16.4,107,219,278,202
16.4,106,220,277,202
16.4,104,222,276,202
16.4,106,222,277,201
16.4,106,221,278,200
16.4,107,221,279,201
16.4,107,223,278,202
16.4,106,224,277,201
16.4,105,225,276,201
16.4,105,226,276,200
16.4,105,225,275,199
16.7,104,225,275,199
16.7,104,224,275,198
16.7,104,224,275,198
16.7,104,224,275,197
16.7,105,224,275,196
16.7,106,223,276,195
16.7,105,223,276,193
16.7,106,222,276,192
16.7,107,221,277,191
16.7,108,221,279,189
16.7,110,220,280,188
16.7,110,220,281,187
16.7,111,219,281,186
16.7,111,219,282,185
16.7,112,219,282,185
16.7,113,218,283,185
16.7,114,218,283,185
16.5,114,218,283,185
16.5,113,217,283,184
16.5,113,216,283,183
16.5,115,216,285,183
16.5,114,216,285,183
16.5,114,216,284,184
16.5,115,216,285,185
16.5,116,216,285,186
16.5,115,217,285,188
16.5,115,217,285,190
16.5,115,219,286,193
16.5,116,221,287,196
16.5,116,224,287,200
16.5,115,229,287,206
16.5,115,233,287,210
16.2,114,236,286,213
16.2,113,238,285,216
16.2,112,239,284,218
16.2,112,240,285,217
16.2,115,241,287,217
16.2,117,242,290,218
16.2,119,244,292,220
16.2,119,245,292,221
16.2,120,245,292,221
16.2,120,246,293,221
16.2,121,246,294,221
16.2,121,246,294,221
16.2,121,245,293,221
16.2,121,245,294,219
16.2,122,244,295,218
16.2,124,243,297,216
16.2,124,241,297,216
16.3,124,242,296,215
16.3,124,244,295,214
16.3,123,243,295,212
16.3,123,241,295,210
16.3,123,239,293,206
16.3,121,237,292,203
16.3,121,234,291,201
16.3,120,231,291,200
16.3,120,228,291,199
16.3,119,227,290,199
16.3,118,227,289,199
16.3,118,227,289,198
16.3,117,226,289,197
16.3,117,226,289,196
16.3,118,226,290,195
16.3,118,227,290,195
16.6,118,228,290,195
16.6,118,228,290,194
16.6,119,227,290,193
16.6,119,227,291,192
16.6,120,226,291,191
16.6,121,227,292,191
16.6,122,229,293,191
16.6,123,229,294,191
16.6,124,229,295,191
16.6,126,229,297,192
16.6,126,230,298,194
16.6,126,230,298,195
16.6,127,231,299,197
16.6,127,232,299,199
16.6,128,231,300,200
16.6,128,231,301,203
16.6,129,231,303,204
16.6,129,230,303,206
16.6,127,229,301,208
16.6,125,229,299,210
16.6,123,229,297,211
16.6,122,230,297,212
16.6,122,229,296,213
16.6,122,228,296,213
16.6,122,227,296,213
16.6,122,227,296,214
16.6,121,229,295,216
16.6,120,230,294,217
16.6,120,231,293,218
16.6,119,231,293,219
16.6,119,231,293,218
16.6,119,231,293,218
16.6,119,231,293,218
16.7,119,231,293,218
16.7,119,231,293,218
16.7,119,231,292,218
16.7,119,231,293,218
16.7,119,231,293,218
16.7,119,231,292,218
16.7,118,230,291,219
16.7,116,229,289,219
16.7,115,228,287,219
16.7,114,228,286,219
16.7,113,229,285,219
16.7,113,228,285,219
16.7,111,227,283,218
16.7,110,226,282,218
16.7,110,226,283,217
16.7,111,226,283,217
16.7,111,225,283,216
16.5,111,225,283,216
16.5,111,225,284,216
16.5,112,225,285,217
16.5,112,225,285,217
16.5,112,224,285,216
16.5,112,224,285,215
16.5,112,224,285,215
16.5,113,224,286,213
16.5,113,223,285,211
16.5,113,222,286,210
16.5,114,222,287,207
16.5,117,221,290,205
16.5,120,221,293,202
16.5,122,220,295,200
16.5,122,220,295,199
16.5,122,220,295,199
16.5,122,220,295,199
16.8,124,222,296,198
16.8,125,225,297,198
16.8,125,229,296,198
16.8,124,230,295,197
16.8,123,231,293,197
16.8,123,233,293,197
16.8,123,233,294,197
16.8,123,234,294,197
16.8,124,234,294,196
16.8,124,234,293,194
16.8,124,234,294,194
16.8,125,235,294,194
16.8,125,235,295,195
16.8,125,235,295,196
16.8,125,235,295,196
16.8,125,236,295,197
16.8,125,235,295,197
16.8,125,235,295,197
16.8,126,234,295,196
16.8,127,233,296,197
16.8,127,233,297,199
16.8,126,232,297,200
16.8,126,231,295,201
16.8,124,230,295,201
16.8,124,231,293,202
16.8,123,231,293,203
16.8,123,231,294,203
16.8,123,231,294,204
16.8,123,232,293,205
16.8,124,232,294,206
16.8,124,232,295,207
16.8,124,232,295,208
16.8,125,233,296,209
16.8,126,232,297,208
16.8,125,233,297,209
16.8,126,233,297,209
16.8,125,233,297,209
16.8,125,234,297,209
16.8,124,234,296,209
16.8,124,234,296,209
16.8,124,234,295,209
16.8,124,234,295,209
16.8,123,235,295,209
16.8,124,236,295,209
16.8,124,237,295,210
16.8,124,237,296,210
16.8,124,240,296,211
16.8,124,242,297,211
16.8,124,243,297,211
16.8,124,244,297,211
16.8,124,244,297,211
16.8,125,245,297,211
16.8,126,245,298,212
16.8,127,246,298,211
16.8,127,246,298,211
16.8,126,246,297,211
16.8,126,248,297,211
16.8,127,247,297,210
16.8,127,247,297,208
16.8,127,248,297,206
16.8,127,248,297,205
16.8,127,248,297,203
16.8,129,248,298,203
16.8,129,247,299,202
16.8,129,247,298,202
16.8,129,247,298,201
16.9,129,248,298,202
16.9,129,247,298,203
16.9,128,248,298,204
16.9,128,248,297,205
16.9,128,246,298,206
16.9,128,245,299,208
16.9,129,246,299,210
16.9,129,245,300,210
16.9,129,243,299,210
16.9,129,241,299,211
16.9,129,241,300,212
16.9,132,245,300,214
16.9,134,249,301,215
16.9,134,253,301,217
16.9,134,255,300,217
16.9,133,257,298,217
16.9,133,254,297,215
16.8,132,255,296,212
16.8,132,252,296,208
16.8,132,249,297,204
16.8,134,248,298,202
16.8,135,247,300,201
16.8,135,247,301,200
16.8,136,246,302,199
16.8,137,245,303,199
16.8,137,245,304,198
16.8,138,245,304,199
16.8,138,245,305,198
16.8,138,244,305,198
16.8,138,244,305,198
16.8,138,244,305,198
16.8,138,244,305,198
16.8,138,244,305,198
16.7,138,244,305,198
16.7,138,244,305,198
16.7,138,244,305,198
16.7,138,244,305,197
16.7,139,245,305,197
16.7,139,245,307,198
16.7,140,246,307,197
16.7,141,245,308,198
16.7,142,246,309,197
16.7,143,246,310,197
16.7,143,247,310,197
16.7,144,248,311,196
16.7,144,248,311,196
16.7,144,249,310,196
16.7,145,249,310,195
16.7,145,250,310,195
16.7,145,251,309,195
16.7,145,251,309,195
16.6,145,252,309,195
16.6,146,252,309,194
16.6,147,253,309,194
16.6,150,254,311,194
16.6,152,254,313,195
16.6,152,255,314,195
16.6,152,256,313,196
16.6,152,256,314,196
16.6,153,256,313,196
16.6,151,257,313,196
16.6,151,257,312,197
16.6,150,258,310,196
16.6,148,258,307,195
16.6,146,259,305,195
16.6,144,260,303,194
16.6,142,260,302,194
16.5,143,261,302,194
16.5,143,261,302,193
16.5,143,260,302,192
16.5,142,258,299,191
16.5,138,258,297,191
16.5,136,256,296,191
16.5,135,255,295,191
16.5,134,254,295,191
16.5,134,253,295,189
16.5,134,251,296,187
16.5,133,251,295,187
16.5,131,251,293,187
16.5,130,250,292,187
16.5,129,249,291,187
16.5,129,249,291,185
16.5,128,248,290,185
16.5,127,248,290,184
16.7,127,248,289,184
16.7,128,248,290,184
16.7,129,247,291,183
16.7,129,248,291,183
16.7,130,248,291,183
16.7,129,248,291,183
16.7,130,248,291,183
16.7,131,249,291,183
16.7,132,248,292,183
16.7,134,250,293,182
16.7,136,250,294,181
16.7,137,249,295,181
16.7,137,249,294,182
16.7,137,249,294,182
16.7,139,249,295,182
16.7,142,250,297,182
16.7,143,251,299,182
16.7,144,252,299,183
16.7,144,252,299,182
16.7,144,252,299,182
16.7,145,252,299,182
16.7,145,252,299,181
16.7,146,252,300,180
16.7,146,252,301,179
16.7,147,251,301,179
16.7,147,251,302,178
16.7,149,251,303,178
16.7,150,251,304,179
16.7,150,252,305,179
16.7,150,253,305,179
16.7,149,253,304,179
16.7,150,254,305,179
16.7,150,254,305,179
16.7,150,254,305,179
16.7,150,255,305,179
16.7,151,255,305,179
16.7,151,256,306,179
16.7,151,257,306,179
16.7,151,257,305,179
16.7,150,258,305,179
16.7,150,259,305,179
16.7,149,259,303,179
16.7,148,259,301,178
16.7,146,259,300,177
16.7,146,258,300,177
16.7,145,257,299,177
16.7,143,257,298,177
16.7,142,256,297,177
16.7,140,256,296,177
16.7,139,257,295,177
