FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.6,87,161,261,170
16.6,87,160,261,170
16.6,87,161,261,170
16.6,87,161,262,170
16.6,87,161,262,170
16.6,87,162,261,171
15.9,86,164,261,171
15.9,87,163,261,171
15.9,87,164,261,171
15.9,86,164,261,171
15.9,86,164,261,171
15.9,87,164,261,171
15.9,87,164,261,171
15.9,87,164,261,171
15.9,87,164,261,171
15.9,87,164,261,171
15.9,86,164,261,171
15.9,87,164,261,171
15.9,86,164,261,171
15.9,88,165,261,171
15.9,87,164,261,171
15.9,88,165,261,171
15.9,87,164,261,171
16.1,86,164,261,171
16.1,87,164,261,171
16.1,86,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,86,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,86,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.1,87,164,261,171
16.2,86,164,261,171
16.2,89,164,261,171
16.2,87,164,261,171
16.2,87,164,261,171
16.2,86,164,261,171
16.2,87,164,261,171
16.2,87,164,261,171
16.2,87,164,261,171
16.2,87,164,262,171
16.2,88,164,262,172
16.2,88,165,262,172
16.2,89,167,261,174
16.2,88,170,259,175
16.2,86,172,258,176
16.2,85,173,257,176
16.2,86,173,257,176
16.2,85,173,257,175
16.6,84,174,256,175
16.6,84,175,256,176
16.6,84,176,256,176
16.6,84,177,256,176
16.6,84,178,256,176
16.6,86,179,256,175
16.6,84,179,255,175
16.6,84,178,255,174
16.6,85,178,255,173
16.6,84,177,255,172
16.6,84,178,254,171
16.6,85,175,255,169
16.6,86,172,257,167
16.6,88,169,258,163
16.6,88,166,260,160
16.6,90,164,262,159
16.6,91,163,264,158
16.6,92,161,264,158
16.6,91,162,264,158
16.6,91,160,264,158
16.6,91,160,265,158
16.6,91,160,265,159
16.6,92,160,265,160
16.6,91,160,266,160
16.6,92,161,266,158
16.6,93,159,267,158
16.6,92,157,265,157
16.6,90,156,263,156
16.6,87,155,260,155
16.6,86,153,256,154
16.6,83,151,252,151
16.6,80,149,249,150
16.6,79,150,247,148
16.8,115,153,246,147
16.8,84,151,244,146
16.8,123,153,241,145
16.8,82,149,239,144
16.8,108,153,237,143
16.8,82,150,235,143
16.8,80,148,236,141
16.8,87,157,239,152
16.8,112,161,241,155
16.8,85,161,243,158
16.8,101,164,245,160
16.8,116,166,245,161
16.8,142,168,246,161
16.8,84,163,246,161
16.8,92,166,247,161
16.8,99,164,248,161
16.8,91,166,250,162
16.8,94,167,251,163
16.8,85,170,253,164
16.8,86,171,253,164
16.8,97,171,253,164
16.8,85,173,253,164
16.8,86,173,253,165
16.8,85,175,254,166
16.8,87,176,253,166
16.8,84,174,251,165
16.8,83,174,250,166
16.8,90,178,250,167
16.8,81,179,250,169
16.8,81,179,249,169
16.8,78,180,248,169
16.8,80,179,247,170
16.8,83,178,246,169
16.8,81,177,244,170
16.8,74,177,244,170
16.8,104,178,243,171
16.8,71,178,241,172
16.8,75,178,239,173
16.8,77,176,238,172
16.8,69,174,242,169
16.8,72,175,246,170
16.8,74,176,249,172
16.8,74,177,249,172
16.8,87,179,247,172
16.8,74,175,246,171
16.8,76,174,245,171
16.8,79,178,245,172
16.8,73,181,244,174
16.8,74,183,242,176
16.8,85,184,242,178
16.8,76,185,242,178
16.8,79,183,241,178
16.8,83,182,237,179
16.8,75,183,238,179
16.8,76,183,239,180
16.8,176,181,238,179
16.8,73,182,237,178
16.8,71,184,236,178
16.8,74,183,237,177
16.8,83,180,237,176
16.8,135,181,238,175
16.5,135,180,237,173
16.5,77,181,237,172
16.5,79,183,239,171
16.5,81,180,241,170
16.5,80,178,242,168
16.5,85,177,244,168
16.5,81,179,245,167
16.5,80,179,247,167
16.5,82,177,249,166
16.5,80,178,249,166
16.5,81,178,249,164
16.5,81,177,249,164
16.5,80,176,250,164
16.5,78,177,249,164
16.5,81,178,249,164
16.5,79,176,250,164
16.5,80,176,251,164
16.7,80,177,250,164
16.7,79,176,250,164
16.7,79,176,250,164
16.7,81,177,250,164
16.7,80,178,250,164
16.7,79,176,250,165
16.7,80,177,250,165
16.7,79,179,249,168
16.7,79,181,250,172
16.7,81,181,250,176
16.7,87,184,252,180
16.7,84,187,253,186
16.7,84,188,254,190
16.7,87,187,254,191
16.7,88,187,253,192
16.7,83,188,253,194
16.6,83,188,253,194
16.6,83,189,253,195
16.6,84,187,253,195
16.6,84,188,253,195
16.6,86,187,254,195
16.6,86,186,254,195
16.6,85,186,254,194
16.6,86,187,254,194
16.6,88,186,255,194
16.6,87,187,254,194
16.6,87,185,254,193
16.6,85,186,253,193
16.6,85,187,253,193
16.6,86,187,253,192
16.6,84,187,252,190
16.6,82,186,251,190
16.6,84,186,250,189
16.7,81,187,250,189
16.7,83,188,250,189
16.7,81,187,250,188
16.7,80,188,248,188
16.7,79,186,247,187
16.7,80,186,244,186
16.7,75,185,243,186
16.7,74,185,241,186
16.7,71,184,239,185
16.7,72,185,240,184
16.7,76,185,240,184
16.7,75,185,241,184
16.7,80,187,243,183
16.7,77,186,245,183
16.7,77,186,245,182
16.7,79,183,245,179
16.6,76,185,245,178
16.6,76,185,247,177
16.6,85,184,251,176
16.6,85,186,255,176
16.6,86,187,258,176
16.6,88,185,260,176
16.6,91,184,262,177
16.6,92,184,264,177
16.6,94,184,267,176
16.6,96,184,268,176
16.6,96,183,269,176
16.6,97,182,270,176
16.6,98,182,271,175
16.6,98,182,271,174
16.6,99,183,272,174
16.6,100,182,272,174
16.6,100,181,272,174
16.4,100,179,273,173
16.4,100,179,272,172
16.4,99,178,272,172
16.4,98,178,271,172
16.4,98,178,270,172
16.4,98,178,270,172
16.4,98,178,270,172
16.4,97,178,269,172
16.4,97,177,267,171
16.4,94,175,265,169
16.4,90,174,261,167
16.4,88,173,257,165
16.4,85,173,255,164
16.4,84,172,254,163
16.4,85,173,255,163
16.4,86,173,256,164
16.4,85,172,256,163
16.2,85,172,256,164
16.2,84,173,256,164
16.2,87,173,257,164
16.2,91,173,261,162
16.2,96,172,266,162
16.2,98,171,269,162
16.2,100,173,271,163
16.2,100,174,271,163
16.2,99,173,269,162
16.2,100,173,269,162
16.2,99,173,269,162
16.2,98,174,267,164
16.2,96,173,265,164
16.2,97,174,265,164
16.2,96,173,265,164
16.2,97,173,265,164
16.7,96,173,265,164
16.7,95,173,265,163
16.7,95,172,265,163
16.7,97,172,266,162
16.7,100,171,267,161
16.7,98,170,267,160
16.7,97,170,267,160
16.7,98,170,268,159
16.7,100,170,270,159
16.7,102,171,274,159
16.7,106,171,278,158
16.7,108,171,280,158
16.7,109,170,283,157
16.7,110,170,285,156
16.7,112,170,286,156
16.7,113,170,287,155
16.7,114,169,288,155
16.5,114,170,289,155
16.5,115,171,289,154
16.5,116,173,288,153
16.5,116,176,287,153
16.5,115,177,286,153
16.5,114,177,285,153
16.5,114,178,284,152
16.5,114,178,283,152
16.5,112,178,281,151
16.5,111,178,280,150
16.5,110,178,279,149
16.5,110,178,279,149
16.5,110,178,279,149
16.5,110,178,279,149
16.5,110,179,279,149
16.5,110,179,279,148
16.5,111,178,279,149
16.4,110,179,279,149
16.4,110,179,278,148
16.4,110,179,279,148
16.4,110,179,279,148
