BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
177,170,16.4,350,184
176,171,16.4,350,184
176,170,16.4,350,184
176,171,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,171,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.4,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,183
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
176,170,16.5,350,184
175,170,16.5,349,183
175,171,16.5,348,183
173,172,16.4,347,182
173,172,16.4,346,181
173,175,16.4,346,182
173,178,16.4,346,183
173,180,16.4,347,184
173,181,16.4,347,184
174,182,16.4,348,184
175,182,16.4,349,184
175,182,16.4,349,184
177,182,16.4,351,183
179,182,16.4,353,183
182,180,16.4,356,182
185,178,16.4,359,181
188,176,16.4,362,181
191,174,16.4,365,178
192,170,16.4,366,175
193,165,16.4,367,172
195,162,16.8,369,172
197,162,16.8,370,172
197,161,16.8,371,172
197,159,16.8,371,172
197,158,16.8,370,172
197,158,16.8,371,171
196,158,16.8,370,171
195,159,16.8,369,171
192,158,16.8,366,171
189,160,16.8,363,172
187,162,16.8,361,173
184,165,16.8,359,173
181,167,16.8,356,174
178,169,16.8,352,175
175,170,16.8,349,176
174,170,16.8,348,176
173,171,16.8,347,175
171,171,16.9,345,174
169,171,16.9,343,174
168,171,16.9,341,174
166,170,16.9,339,173
165,170,16.9,337,172
163,169,16.9,336,170
163,168,16.9,336,168
162,167,16.9,335,168
162,166,16.9,335,166
163,164,16.9,336,164
165,164,16.9,338,163
166,163,16.9,339,163
165,162,16.9,339,163
164,162,16.9,338,163
164,161,16.9,338,163
165,160,16.9,339,163
167,158,16.9,340,162
168,157,16.9,341,162
170,155,16.9,343,162
172,155,16.9,345,163
175,155,16.9,348,163
178,155,16.9,351,164
180,155,16.9,353,165
183,156,16.9,356,165
186,156,16.9,359,166
189,156,16.9,362,167
193,157,16.9,365,169
193,154,16.9,365,168
193,153,16.9,364,167
192,153,16.9,363,166
193,153,16.9,363,166
196,154,16.9,365,166
195,155,16.9,367,167
198,156,16.6,367,167
194,156,16.6,367,167
193,156,16.6,365,166
192,155,16.6,364,166
192,156,16.6,364,166
191,157,16.6,364,167
191,157,16.6,364,168
191,156,16.6,364,169
190,157,16.6,363,169
189,156,16.6,361,169
191,156,16.6,359,167
184,156,16.6,356,165
180,157,16.6,353,164
178,156,16.6,349,164
177,155,16.6,347,162
174,153,16.6,346,161
177,157,16.6,345,162
178,156,16.5,344,163
177,154,16.5,343,162
167,154,16.5,341,162
166,155,16.5,340,162
167,157,16.5,339,162
166,154,16.5,338,162
208,160,16.5,337,161
163,153,16.5,335,161
169,152,16.5,335,161
161,154,16.5,335,161
163,152,16.5,334,160
166,153,16.5,334,160
163,151,16.5,334,159
164,150,16.5,335,158
163,149,16.5,335,157
163,148,16.5,337,156
165,146,16.7,338,154
169,146,16.7,340,152
170,146,16.7,343,151
171,147,16.7,345,149
174,147,16.7,349,148
177,145,16.7,351,146
180,144,16.7,355,143
185,145,16.7,359,142
189,145,16.7,363,142
193,144,16.7,367,141
196,144,16.7,370,141
199,148,16.7,372,143
201,152,16.7,374,145
204,153,16.7,377,146
206,152,16.7,379,146
207,152,16.7,380,147
207,153,16.5,380,148
207,153,16.5,380,148
207,154,16.5,380,149
208,154,16.5,381,149
208,154,16.5,381,149
208,154,16.5,381,150
208,154,16.5,381,150
208,155,16.5,382,150
208,155,16.5,382,150
208,155,16.5,382,150
209,154,16.5,382,150
209,154,16.5,382,150
209,155,16.5,382,150
208,155,16.5,381,151
208,155,16.5,380,152
206,156,16.5,379,153
203,157,16.5,377,154
200,155,16.6,373,155
197,154,16.6,368,156
192,155,16.6,363,156
187,154,16.6,359,156
185,153,16.6,357,157
183,153,16.6,355,157
182,153,16.6,354,157
182,152,16.6,354,157
181,151,16.6,353,157
181,151,16.6,353,157
181,153,16.6,352,158
181,153,16.6,351,157
181,154,16.6,351,158
182,155,16.6,351,157
16.4,197,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,197,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,196,229,373,234
16.4,197,229,373,234
16.4,197,229,373,234
16.4,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,196,229,373,234
16.9,196,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,197,229,373,234
16.9,196,229,373,234
16.9,197,229,373,233
16.9,197,229,373,234
16.9,197,229,373,234
16.9,196,229,373,234
16.9,197,229,373,234
16.8,197,229,373,234
16.8,196,229,373,234
16.8,196,229,373,234
16.8,196,229,373,234
16.8,197,229,373,234
16.8,196,229,373,234
16.8,196,229,373,234
16.8,196,229,373,234
16.8,195,231,372,234
16.8,194,233,369,235
16.8,191,235,366,235
16.8,189,237,364,235
16.8,188,240,362,237
16.8,188,242,362,238
16.8,188,245,362,239
16.8,189,245,363,240
16.8,189,246,364,240
16.4,189,246,364,240
16.4,190,246,364,239
16.4,191,246,365,239
16.4,193,247,367,239
16.4,195,246,370,239
16.4,198,245,373,239
16.4,201,243,376,238
16.4,204,241,379,238
16.4,206,239,381,237
16.4,207,235,382,235
16.4,208,233,383,233
16.4,210,231,386,233
16.4,213,231,389,233
16.4,215,229,391,234
16.4,215,227,391,233
16.4,214,226,390,232
16.5,213,227,390,232
16.5,213,229,390,232
16.5,213,230,390,232
16.5,213,232,390,232
16.5,212,232,390,233
16.5,210,233,388,233
16.5,208,233,385,233
16.5,203,235,380,233
16.5,199,238,375,235
16.5,195,242,370,236
16.5,191,243,366,236
16.5,188,242,364,235
16.5,187,241,362,234
16.5,185,242,361,234
16.5,183,243,359,234
16.5,181,244,357,233
16.5,180,244,355,231
16.8,180,244,355,231
16.8,179,244,355,230
16.8,179,244,354,230
16.8,178,245,353,231
16.8,178,244,353,231
16.8,178,244,353,231
16.8,178,244,353,231
16.8,179,243,353,230
16.8,179,243,354,230
16.8,180,242,355,230
16.8,181,240,357,229
16.8,182,238,358,228
16.8,184,238,360,228
16.8,186,238,362,229
16.8,189,238,365,230
16.8,190,237,366,230
16.8,191,237,367,231
16.4,193,238,369,233
16.4,198,240,374,235
16.4,204,240,380,236
16.4,206,238,382,235
16.4,205,235,379,234
16.4,202,236,377,235
16.4,203,237,377,235
16.4,206,236,380,235
16.4,207,237,382,235
16.4,208,236,383,234
16.4,209,236,384,233
16.4,208,235,384,231
16.4,208,235,384,230
16.4,208,235,384,230
16.4,208,235,383,230
16.4,208,236,383,230
16.7,207,237,383,231
16.7,206,238,381,231
16.7,204,238,379,233
16.7,202,239,377,235
16.7,200,240,375,237
16.7,198,241,373,239
16.7,196,241,371,240
16.7,194,241,368,239
16.7,191,241,365,238
16.7,187,241,361,237
16.7,185,240,360,236
16.7,186,240,361,236
16.7,186,242,361,235
16.7,185,241,361,235
16.7,185,239,360,234
16.7,184,239,359,234
16.7,183,239,358,234
16.6,182,240,357,234
16.6,181,239,356,233
16.6,180,239,355,233
16.6,179,238,353,232
16.6,177,238,353,232
16.6,177,237,352,231
16.6,177,237,352,231
16.6,176,236,352,230
16.6,177,235,352,229
16.6,177,234,353,229
16.6,178,232,353,227
16.6,178,231,353,225
16.6,179,230,355,225
16.6,181,230,357,224
16.6,184,231,359,221
16.6,189,231,364,217
16.6,195,231,370,215
16.5,200,231,375,215
16.5,206,231,381,214
16.5,210,230,385,213
16.5,216,229,390,212
16.5,220,229,395,212
16.5,226,231,400,214
16.5,229,234,403,215
