617, 1500, 1565, 1418, 1429, 1500, 1384, 1500, 1622, 1500, 1500, 1500, 1369, 1608, 1608, 1500, 1512, 1360, 1372
665, 1512, 1553, 1427, 1439, 1513, 1390, 1509, 1626, 1520, 1523, 1523, 1364, 1616, 1615, 1512, 1525, 1360, 1376
714, 1524, 1540, 1436, 1449, 1526, 1397, 1519, 1630, 1540, 1546, 1545, 1361, 1623, 1621, 1524, 1537, 1362, 1381
763, 1537, 1527, 1445, 1460, 1539, 1405, 1529, 1633, 1559, 1567, 1567, 1360, 1629, 1626, 1536, 1550, 1365, 1386
811, 1549, 1514, 1455, 1470, 1551, 1413, 1539, 1636, 1577, 1587, 1586, 1360, 1634, 1630, 1548, 1561, 1369, 1392
859, 1560, 1501, 1464, 1482, 1563, 1422, 1548, 1638, 1593, 1604, 1603, 1362, 1637, 1634, 1559, 1573, 1375, 1399
907, 1571, 1488, 1474, 1493, 1575, 1431, 1557, 1639, 1608, 1618, 1618, 1367, 1639, 1637, 1570, 1583, 1381, 1406
955, 1582, 1475, 1484, 1504, 1586, 1440, 1566, 1639, 1619, 1629, 1628, 1373, 1639, 1638, 1581, 1593, 1389, 1413
1003, 1591, 1462, 1495, 1515, 1596, 1450, 1575, 1639, 1629, 1636, 1636, 1380, 1639, 1639, 1591, 1603, 1398, 1421
1052, 1600, 1449, 1505, 1526, 1605, 1460, 1583, 1639, 1635, 1639, 1639, 1390, 1637, 1639, 1600, 1611, 1408, 1430
1101, 1609, 1437, 1515, 1537, 1613, 1471, 1591, 1637, 1639, 1639, 1639, 1401, 1633, 1638, 1608, 1618, 1419, 1438
1150, 1616, 1425, 1525, 1548, 1620, 1481, 1598, 1635, 1639, 1634, 1634, 1413, 1629, 1637, 1615, 1625, 1431, 1447
1198, 1623, 1414, 1535, 1559, 1626, 1492, 1605, 1633, 1637, 1626, 1626, 1426, 1623, 1634, 1622, 1630, 1443, 1456
1246, 1628, 1404, 1545, 1569, 1631, 1503, 1611, 1630, 1631, 1614, 1615, 1441, 1616, 1630, 1627, 1634, 1456, 1466
1295, 1633, 1395, 1554, 1578, 1635, 1513, 1617, 1626, 1623, 1598, 1600, 1456, 1608, 1626, 1632, 1637, 1469, 1475
1343, 1636, 1386, 1564, 1587, 1638, 1524, 1622, 1621, 1612, 1580, 1582, 1471, 1598, 1621, 1635, 1639, 1483, 1485
1391, 1638, 1379, 1573, 1596, 1639, 1534, 1626, 1616, 1599, 1560, 1562, 1488, 1588, 1615, 1638, 1639, 1496, 1495
