FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,163,183,341,175
16.7,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,183,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,184,341,175
16.4,163,183,341,175
16.4,164,183,341,175
16.4,163,183,341,175
16.4,163,183,341,175
16.4,164,183,341,175
16.4,163,183,341,175
16.4,163,183,341,175
16.3,164,183,341,175
16.3,164,183,341,175
16.3,164,183,341,175
16.3,163,183,341,175
16.3,164,183,341,175
16.3,164,183,341,175
16.3,163,183,341,175
16.3,164,183,341,175
16.3,163,183,341,175
16.3,163,183,341,175
16.3,164,183,341,175
16.3,164,183,341,175
16.3,163,183,341,175
16.3,163,183,341,175
16.3,163,184,341,175
16.3,163,184,341,175
16.3,163,184,341,175
16.7,163,183,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,163,184,341,175
16.7,164,183,341,175
16.7,163,184,341,175
16.7,164,184,341,175
16.7,164,184,341,175
16.7,163,184,341,175
16.6,164,184,341,175
16.6,164,184,341,175
16.6,164,184,341,174
16.6,164,183,341,173
16.6,164,183,341,173
16.6,165,184,342,173
16.6,167,184,343,175
16.6,169,184,346,177
16.6,170,186,347,177
16.6,171,187,347,178
16.6,172,190,347,178
16.6,172,196,347,180
16.6,171,200,346,182
16.6,172,201,347,183
16.6,174,201,349,184
16.6,176,202,351,184
16.6,177,202,352,184
16.3,179,202,353,183
16.3,179,201,353,183
16.3,178,199,352,182
16.3,177,198,351,181
16.3,175,197,350,179
16.3,176,196,351,179
16.3,176,196,351,178
16.3,176,194,352,177
16.3,175,192,350,176
16.3,174,191,349,174
16.3,173,190,349,173
16.3,173,190,349,173
16.3,173,189,349,173
16.3,173,190,348,173
16.3,172,189,347,172
16.3,170,187,346,172
16.3,167,185,343,171
16.4,164,183,339,171
16.4,160,182,336,172
16.4,159,184,335,173
16.4,160,187,336,177
16.4,162,189,337,181
16.4,164,189,339,182
16.4,163,187,337,182
16.4,161,186,334,182
16.4,158,188,332,183
16.4,158,189,331,184
16.4,160,191,333,185
16.4,163,194,334,188
16.4,163,197,335,191
16.4,163,196,335,192
16.4,169,197,341,186
11.6,171,198,342,186
11.6,172,197,343,186
11.6,173,197,345,186
11.6,173,196,345,186
11.6,174,196,346,185
11.6,175,196,346,184
11.6,176,196,347,184
11.6,178,196,350,184
11.6,180,196,351,184
11.6,181,196,352,183
11.6,181,196,353,182
13.7,182,197,353,182
13.7,183,198,354,182
13.7,183,198,355,183
13.7,184,199,355,183
13.7,185,200,355,183
13.7,184,201,355,183
13.7,183,203,355,183
13.7,183,205,354,184
13.7,183,207,354,185
13.7,183,208,353,187
13.7,181,209,352,187
13.7,181,210,351,189
13.7,181,210,351,190
13.7,181,211,351,190
13.7,179,211,349,190
13.7,179,211,349,189
13.7,178,211,347,188
15.4,177,211,347,188
15.4,177,211,345,188
15.4,175,210,344,188
15.4,174,209,341,187
15.4,169,209,336,186
15.4,167,209,335,186
15.4,166,209,335,188
15.4,166,210,334,190
15.4,164,211,333,191
15.4,163,210,330,192
15.4,161,210,327,193
15.4,158,210,325,194
15.4,158,211,325,194
15.4,157,210,323,194
15.4,155,210,323,194
15.4,156,209,322,194
16.0,156,209,323,195
16.0,156,210,323,194
16.0,155,210,323,194
16.0,157,209,324,194
16.0,157,210,325,193
16.0,160,210,327,193
16.0,162,210,330,190
16.0,166,210,334,188
16.0,169,210,337,187
16.0,171,211,339,186
16.0,171,211,340,184
16.0,171,212,340,182
16.0,172,211,341,181
16.0,173,211,342,181
16.0,174,211,343,180
16.0,174,210,343,179
16.4,175,210,344,178
16.4,177,208,345,176
16.4,178,207,347,175
16.4,179,206,348,173
16.4,181,205,349,172
16.4,181,204,350,171
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.4,181,204,350,170
16.3,181,204,350,170
16.3,181,204,350,170
16.3,181,204,350,170
16.3,180,205,350,171
16.3,180,205,350,172
16.3,180,205,350,172
16.3,181,206,351,172
16.3,183,206,353,173
16.3,185,206,355,174
16.3,187,208,356,174
16.3,189,210,357,176
16.3,189,212,356,176
16.3,189,213,356,176
16.3,190,213,356,176
16.3,189,211,355,175
16.3,189,212,355,175
16.3,189,212,354,175
16.9,189,213,353,175
16.9,189,214,353,175
16.9,190,214,353,174
16.9,190,214,353,173
16.9,190,213,353,171
16.9,190,213,353,171
16.9,190,214,352,170
16.9,190,213,352,169
16.9,189,213,351,168
16.9,189,213,350,168
16.9,189,212,350,166
16.9,188,212,349,165
16.9,187,212,348,164
16.9,187,212,347,163
16.9,186,211,347,162
16.9,186,211,346,162
16.9,185,211,346,162
16.9,187,210,347,162
16.9,187,210,348,162
16.9,188,210,349,162
16.9,189,209,350,163
16.9,189,209,351,163
16.9,191,208,353,164
16.9,192,208,355,165
16.9,193,208,357,165
16.9,193,208,357,165
16.9,192,208,356,165
16.9,192,208,356,166
16.9,191,207,355,166
16.9,190,207,355,167
16.9,189,207,353,166
16.9,187,207,352,165
16.9,186,208,351,165
16.5,186,208,350,165
16.5,185,208,349,165
16.5,185,208,349,165
16.5,184,206,349,164
16.5,185,205,350,162
16.5,185,204,350,160
16.5,184,203,350,158
16.5,183,202,348,157
16.5,183,202,347,157
16.5,182,202,347,156
16.5,182,201,347,155
16.5,181,201,347,155
16.5,182,202,347,154
16.5,182,201,347,154
16.5,183,202,347,154
16.5,183,201,347,153
16.5,182,200,347,153
16.7,182,200,347,153
16.7,182,199,347,153
16.7,181,198,347,152
16.7,182,198,347,152
16.7,183,198,348,153
16.7,183,198,349,153
16.7,183,197,349,153
16.7,184,197,349,154
16.7,185,198,350,155
16.7,185,199,351,157
16.7,185,199,351,158
16.7,185,200,351,159
16.7,185,200,352,160
16.7,187,202,353,161
16.7,187,202,353,162
16.7,188,202,354,163
16.9,188,200,355,163
16.9,189,200,355,164
16.9,188,200,355,164
16.9,188,201,355,165
16.9,188,201,355,165
16.9,188,202,355,166
16.9,188,202,354,168
16.9,187,203,353,169
16.9,186,204,352,170
16.9,185,205,351,171
16.9,184,206,350,172
16.9,183,206,349,173
16.9,181,207,347,173
16.9,181,208,346,173
16.9,180,207,346,172
16.9,180,208,345,170
16.9,181,208,345,169
16.9,181,208,346,168
16.9,181,208,346,167
16.9,181,207,346,165
16.9,182,206,347,163
16.9,183,206,347,162
16.9,184,206,348,162
16.9,185,207,349,161
16.9,185,207,349,161
16.9,187,207,349,160
16.9,186,208,350,160
16.9,187,208,351,160
16.9,187,207,351,160
16.9,188,206,352,160
16.9,189,206,354,161
16.9,190,206,355,162
16.9,192,206,357,163
16.8,193,207,359,165
16.8,194,208,360,166
16.8,195,206,361,166
16.8,194,206,362,167
16.8,194,206,362,167
16.8,194,206,361,168
16.8,194,206,362,168
16.8,194,206,363,169
16.8,195,206,363,170
16.8,195,206,363,170
16.8,194,206,363,170
16.8,194,206,362,169
16.8,194,206,362,169
16.8,194,206,363,169
16.8,195,204,363,169
16.8,194,204,363,169
16.8,195,204,363,170
16.8,195,206,364,171
16.7,196,205,365,171
16.7,196,206,365,172
16.7,196,206,365,171
16.7,199,206,367,170
16.7,202,206,369,168
16.7,203,205,370,167
16.7,204,205,370,164
16.7,207,203,372,158
16.7,208,200,373,153
16.7,209,199,373,148
16.7,209,199,373,149
16.7,209,199,373,150
16.7,208,199,372,150
16.7,208,200,371,149
16.7,206,200,371,149
16.7,206,200,370,149
16.3,205,199,369,149
16.3,205,199,368,149
16.3,204,199,367,149
16.3,203,199,367,148
16.3,203,198,366,148
16.3,201,199,364,147
16.3,200,199,362,146
16.3,199,198,361,145
16.3,197,199,360,144
16.3,197,199,359,142
16.3,198,198,359,140
16.3,198,197,358,138
16.3,197,197,357,136
16.3,197,197,357,135
16.3,197,197,356,134
16.3,197,197,356,133
16.3,197,197,355,133
16.6,196,196,356,132
16.6,196,196,356,131
16.6,196,196,355,131
16.6,195,196,354,130
16.6,195,197,353,130
16.6,195,197,354,130
16.6,196,197,354,130
16.6,197,197,355,130
16.6,198,198,356,129
16.6,199,197,357,129
16.6,200,196,358,128
16.6,202,195,360,127
16.6,204,194,362,125
16.6,206,192,364,123
16.6,208,192,367,123
16.6,210,190,369,122
16.7,211,189,370,122
16.7,212,189,371,122
16.7,213,188,373,121
16.7,215,187,375,121
16.7,216,187,376,122
16.7,215,187,376,123
16.7,215,188,376,124
16.7,215,187,377,125
16.7,216,188,378,126
16.7,217,187,379,128
16.7,217,187,379,128
16.7,217,187,379,128
16.7,216,185,379,128
16.7,215,185,378,128
16.7,215,185,378,129
16.7,215,185,379,130
16.7,215,185,378,130
16.3,215,186,379,131
16.3,216,186,379,131
16.3,216,186,379,131
16.3,216,186,379,132
16.3,216,188,378,132
16.3,216,188,379,132
16.3,217,188,379,132
16.3,217,189,378,132
16.3,216,190,377,132
16.3,216,190,376,132
16.3,215,191,375,131
16.3,215,191,373,131
16.3,213,192,372,130
16.3,212,194,369,129
16.3,210,195,366,129
16.3,207,195,362,128
16.3,206,196,361,127
16.3,205,197,359,127
16.3,205,200,356,129
16.3,204,201,355,129
16.3,204,202,355,129
16.3,205,201,356,130
16.3,207,202,357,130
16.3,207,201,358,130
16.3,210,200,360,129
16.3,211,199,362,128
16.3,212,199,363,126
16.3,214,198,365,124
16.3,215,195,367,122
16.3,217,194,369,121
16.3,218,193,369,120
16.3,218,192,369,118
16.3,218,192,369,116
16.4,219,191,369,115
16.4,219,191,370,114
16.4,221,191,371,113
16.4,222,192,371,112
16.4,222,192,370,111
16.4,221,192,369,109
16.4,221,192,368,109
16.4,221,192,368,108
16.4,222,192,368,108
16.4,221,193,368,109
16.4,221,193,369,109
16.4,221,193,368,109
16.4,221,193,368,109
16.4,220,192,367,109
16.4,218,192,366,110
16.4,217,192,365,110
16.4,216,193,363,110
16.7,215,193,363,111
16.7,214,192,363,111
16.7,214,192,363,111
16.7,215,191,364,111
16.7,214,190,364,110
16.7,214,190,363,110
16.7,213,190,363,110
16.7,213,189,363,110
16.7,213,190,363,110
16.7,213,189,363,110
16.7,213,190,363,110
16.7,213,190,363,110
16.7,213,189,362,110
16.7,213,189,363,110
16.7,213,189,364,110
16.7,214,188,365,111
16.7,214,188,365,111
16.8,214,186,367,111
16.8,215,186,369,111
16.8,215,186,369,111
16.8,215,187,369,113
16.8,216,188,371,115
16.8,217,187,373,115
16.8,218,186,374,115
16.8,217,187,373,115
16.8,217,187,372,115
16.8,216,188,371,115
16.8,215,189,369,116
16.8,214,190,369,115
16.8,215,189,369,115
16.8,215,189,370,115
16.8,215,190,370,115
16.8,216,190,371,115
16.7,218,190,371,116
16.7,218,192,371,117
16.7,218,193,371,118
16.7,219,193,371,118
16.7,219,193,372,118
16.7,220,194,373,119
16.7,220,194,373,119
16.7,221,195,373,120
16.7,222,194,375,120
16.7,223,195,375,121
16.7,222,194,375,122
16.7,222,195,375,122
16.7,222,195,375,122
16.7,222,195,375,122
16.7,222,195,375,122
16.7,222,196,375,121
16.7,222,196,374,121
16.9,222,196,374,120
16.9,222,196,374,120
16.9,223,195,373,118
16.9,222,196,373,118
