FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.5,120,177,289,174
15.8,120,177,289,174
15.8,119,178,289,174
15.8,120,177,289,173
15.8,120,178,289,173
15.8,120,177,289,174
15.8,120,178,289,174
15.8,119,178,289,173
15.8,119,178,289,173
15.8,120,177,289,174
15.8,120,178,289,173
15.8,120,177,289,174
15.8,119,178,289,174
15.8,120,177,289,174
15.8,120,177,289,174
15.8,124,177,289,174
15.8,119,178,289,174
15.8,120,178,289,174
16.5,119,178,289,174
16.5,119,178,289,174
16.5,120,177,289,174
16.5,119,178,289,174
16.5,120,178,289,174
16.5,119,178,289,174
16.5,120,177,289,174
16.5,120,177,289,174
16.5,119,178,289,174
16.5,119,178,289,174
16.5,119,178,289,174
16.5,119,178,289,174
16.5,120,177,289,174
16.5,119,178,289,174
16.5,120,177,289,174
16.5,120,177,289,174
16.6,120,177,289,174
16.6,119,178,289,174
16.6,119,178,289,174
16.6,120,177,289,174
16.6,120,177,289,174
16.6,119,178,289,174
16.6,119,177,289,174
16.6,119,178,289,174
16.6,119,178,289,174
16.6,120,177,288,175
16.6,119,177,288,175
16.6,118,178,288,175
16.6,118,178,288,175
16.6,118,178,288,175
16.6,118,178,288,175
16.6,118,178,288,176
16.6,118,178,288,176
16.9,118,178,288,176
16.9,118,178,288,176
16.9,118,178,288,175
16.9,119,178,289,174
16.9,120,177,289,174
16.9,119,178,289,175
16.9,119,178,289,175
16.9,119,178,289,176
16.9,119,178,289,175
16.9,119,178,289,176
16.9,119,178,289,175
16.9,119,178,289,176
16.9,120,178,289,176
16.9,118,178,289,175
16.9,120,178,289,176
16.9,119,179,289,176
16.9,118,180,287,177
16.8,118,181,287,177
16.8,116,182,286,178
16.8,117,183,285,180
16.8,117,185,285,182
16.8,116,186,284,184
16.8,114,188,283,186
16.8,114,189,282,186
16.8,113,189,281,186
16.8,112,191,279,187
16.8,111,191,279,188
16.8,111,192,278,189
16.8,109,194,278,190
16.8,110,194,277,191
16.8,112,195,278,192
16.8,113,194,278,192
16.8,111,194,277,193
16.9,111,194,278,193
16.9,114,193,280,192
16.9,113,192,281,192
16.9,113,191,281,192
16.9,113,190,281,192
16.9,113,190,281,192
16.9,112,190,280,191
16.9,112,189,279,190
16.9,112,188,279,190
16.9,116,188,281,191
16.9,124,189,287,194
16.9,122,189,292,194
16.9,123,188,293,193
16.9,122,188,293,193
16.9,122,189,293,194
16.9,123,190,293,194
16.9,123,189,293,195
16.4,123,189,293,195
16.4,123,187,293,192
16.4,123,188,293,191
16.4,123,188,293,191
16.4,123,188,293,191
16.4,123,188,294,191
16.4,123,189,293,193
16.4,123,188,293,192
16.4,124,188,294,193
16.4,123,188,294,192
16.4,123,188,294,192
16.4,123,188,294,192
16.4,124,188,293,193
16.4,124,188,294,192
16.4,124,188,295,192
16.4,124,188,294,192
16.9,124,188,294,191
16.9,123,188,294,191
16.9,124,187,294,190
16.9,127,187,296,190
16.9,128,187,298,190
16.9,129,187,299,190
16.9,130,187,299,190
16.9,132,186,301,189
16.9,132,186,301,189
16.9,133,186,302,189
16.9,133,186,303,190
16.9,134,186,303,190
16.9,135,186,303,191
16.9,135,187,303,191
16.9,135,187,304,192
16.9,135,187,305,192
16.9,135,187,305,193
16.8,135,188,304,194
16.8,138,190,305,196
16.8,139,193,307,199
16.8,141,193,309,200
16.8,140,194,309,199
16.8,141,194,309,198
16.8,140,194,309,198
16.8,140,194,307,197
16.8,137,194,306,196
16.8,136,194,305,195
16.8,135,195,305,195
16.8,135,195,305,195
16.8,135,196,304,195
16.8,133,196,303,194
16.8,133,195,303,193
16.8,133,195,302,194
16.8,133,195,303,194
16.8,132,196,302,196
16.8,132,197,301,196
16.8,132,196,301,198
16.8,131,196,301,200
16.8,131,196,301,201
16.8,131,196,302,201
16.8,133,195,303,202
16.8,133,196,303,203
16.8,133,196,304,204
16.8,134,195,305,203
16.8,135,195,306,202
16.8,136,194,307,202
16.8,136,194,307,201
16.8,136,194,308,200
16.8,137,193,308,200
16.8,137,193,309,199
16.8,137,192,309,199
16.5,137,192,309,198
16.5,139,191,310,198
16.5,140,191,312,196
16.5,141,191,313,194
16.5,141,191,313,192
16.5,141,190,313,190
16.5,141,190,313,189
16.5,141,190,313,187
16.5,140,189,312,186
16.5,140,189,312,184
16.5,140,189,312,183
16.5,140,189,312,182
16.5,140,189,312,181
16.5,141,189,312,180
16.5,140,188,311,179
16.5,140,189,311,179
16.4,141,188,312,179
16.4,141,188,312,179
16.4,141,188,312,180
16.4,141,188,311,180
16.4,140,188,311,180
16.4,141,188,311,179
16.4,141,188,312,180
16.4,141,188,312,179
16.4,141,187,312,180
16.4,141,187,311,180
16.4,141,187,312,179
16.4,141,188,311,180
16.4,140,187,311,180
16.4,140,187,311,180
16.4,140,186,311,179
16.4,140,185,311,179
16.4,142,183,313,178
16.7,143,181,315,178
16.7,146,179,317,178
16.7,148,177,320,178
16.7,149,177,321,179
16.7,149,176,321,180
16.7,148,176,321,180
16.7,149,177,321,181
16.7,150,177,323,182
16.7,151,178,323,183
16.7,152,179,325,184
16.7,153,179,326,185
16.7,154,179,327,185
16.7,154,180,327,185
16.7,156,180,329,185
16.7,157,180,330,185
16.7,158,181,331,185
16.7,159,182,332,185
16.7,159,182,332,186
16.7,159,182,332,186
16.7,158,183,331,186
16.7,157,183,330,186
16.7,157,184,330,185
16.7,157,184,330,185
16.7,157,185,330,185
16.7,156,187,329,185
16.7,155,187,329,185
16.7,155,188,329,185
16.7,155,190,328,184
16.7,155,192,328,184
16.7,155,192,328,183
16.7,154,191,327,182
16.7,153,192,327,182
16.7,153,192,326,181
16.7,153,192,327,181
16.7,154,191,327,181
16.7,154,191,327,182
16.7,154,190,327,181
16.7,154,188,327,180
16.7,153,186,327,179
16.7,153,185,327,178
16.7,153,184,327,177
16.7,154,183,327,176
16.7,153,182,327,176
16.7,153,182,327,175
16.7,152,181,326,174
16.7,151,180,325,173
16.7,149,180,323,172
16.7,148,178,321,171
16.7,146,177,320,170
16.7,146,176,319,169
16.7,145,178,319,169
16.7,145,178,319,169
16.7,146,179,320,170
16.7,147,180,321,170
16.7,148,181,322,172
16.7,151,183,324,173
16.7,155,185,328,174
16.7,160,187,333,178
16.7,166,190,338,181
16.7,170,190,344,182
16.7,173,190,346,182
16.7,172,190,346,182
16.7,173,189,346,181
16.7,175,189,348,183
16.7,177,190,351,185
16.7,178,190,352,186
16.7,177,190,351,186
16.7,178,190,352,186
16.7,178,190,352,187
16.7,178,190,352,187
16.7,178,190,352,187
16.7,178,190,352,188
16.7,178,190,352,188
16.7,178,190,352,188
16.7,178,191,352,188
16.7,178,191,352,188
16.7,177,190,351,187
16.7,176,191,351,187
16.7,176,190,351,187
16.7,176,191,350,187
16.7,175,192,350,187
16.7,176,193,350,187
16.7,176,194,350,188
16.5,175,194,350,188
16.5,175,194,350,189
16.5,174,195,349,188
16.5,172,195,348,186
16.5,171,195,346,184
16.5,169,195,344,183
16.5,169,196,344,181
16.5,168,196,343,181
16.5,169,196,344,180
16.5,171,198,345,180
16.5,171,198,346,180
16.5,171,198,346,180
16.5,173,198,348,180
16.5,176,199,350,180
16.5,179,199,353,181
16.5,182,199,356,180
16.5,185,199,359,180
16.8,187,198,361,181
16.8,188,198,362,180
16.8,187,197,362,180
16.8,189,196,362,180
16.8,190,195,364,180
16.8,191,194,365,179
16.8,190,193,365,179
16.8,190,192,365,179
16.8,191,192,366,180
16.8,193,192,368,180
16.8,194,192,369,180
16.8,194,192,369,180
16.8,192,191,367,180
16.8,190,190,365,180
16.8,188,190,364,181
16.8,189,191,364,181
16.7,191,191,366,181
16.7,193,191,368,181
16.7,194,192,369,182
16.7,193,192,369,182
16.7,193,192,368,181
16.7,193,192,368,181
16.7,193,192,369,182
16.7,193,192,369,181
16.7,193,192,368,182
16.7,193,192,369,181
16.7,193,192,368,181
16.7,193,192,368,182
16.7,194,192,369,183
16.7,195,193,370,184
16.7,196,192,371,185
16.7,196,194,371,186
16.7,197,194,372,186
16.8,198,195,373,188
16.8,200,196,375,189
16.8,200,196,375,190
16.8,199,196,374,190
16.8,199,196,374,190
16.8,199,197,374,190
16.8,198,197,373,190
16.8,198,197,373,190
16.8,198,197,373,190
16.8,198,198,373,190
16.8,198,198,373,190
16.8,198,198,373,190
16.8,198,200,374,190
16.8,199,200,374,190
16.8,199,201,374,190
16.8,201,202,376,191
16.8,204,204,378,191
16.9,207,205,382,191
16.9,209,206,384,192
16.9,210,208,384,193
16.9,209,210,383,193
16.9,207,210,381,192
16.9,205,210,380,191
16.9,204,210,378,190
16.9,202,208,377,189
16.9,201,208,376,188
16.9,199,206,374,186
16.9,197,205,372,184
16.9,196,202,371,181
16.9,195,200,370,178
16.9,193,199,368,177
16.9,193,198,368,176
16.9,194,198,369,175
16.8,195,198,370,175
16.8,197,197,371,174
16.8,197,196,372,174
16.8,198,196,372,174
16.8,199,197,373,174
16.8,200,198,374,174
16.8,201,198,374,175
16.8,201,199,375,175
16.8,203,199,378,174
16.8,207,200,382,174
16.8,211,200,386,176
16.8,213,202,388,177
16.8,214,202,389,178
16.8,214,202,390,178
16.8,213,203,389,178
16.8,213,202,388,177
16.8,213,202,388,178
16.6,213,202,389,177
16.6,214,202,389,177
16.6,214,202,390,175
16.6,215,200,390,173
16.6,215,199,390,172
16.6,215,197,391,171
16.6,216,196,391,170
16.6,217,195,391,169
16.6,218,196,393,169
16.6,221,197,395,169
16.6,223,197,397,169
16.6,224,196,398,169
16.6,225,196,399,169
16.6,227,196,401,168
16.6,228,196,402,168
16.6,230,198,404,168
16.9,232,199,405,169
16.9,233,200,407,169
