FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,158,314,170
16.2,140,157,314,170
16.2,140,158,314,170
16.2,140,157,314,170
16.2,140,158,314,170
16.2,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,315,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,157,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,315,169
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,158,314,170
16.5,140,157,314,170
16.5,140,158,315,170
16.5,140,157,314,170
16.5,141,158,315,169
16.5,141,158,315,170
16.5,143,158,317,170
16.5,144,159,317,171
16.5,143,160,317,171
16.5,143,161,317,171
16.5,144,162,317,172
16.9,143,164,317,173
16.9,143,166,316,175
16.9,143,166,316,175
16.9,144,167,317,173
16.9,145,166,318,172
16.9,147,167,319,172
16.9,148,167,320,172
16.9,148,167,320,172
16.9,148,167,320,170
16.9,147,166,319,170
16.9,145,166,316,169
16.9,143,166,313,169
16.9,143,166,312,169
16.9,142,166,311,169
16.9,141,166,311,170
16.9,140,166,309,170
16.9,140,165,309,171
16.9,139,165,308,172
16.9,138,165,307,172
16.9,137,165,305,173
16.9,136,165,305,173
16.9,136,165,305,174
16.9,135,165,304,174
16.9,134,165,303,174
16.9,133,164,302,174
16.9,131,163,301,173
16.9,131,162,300,172
16.9,131,162,300,172
16.9,131,162,301,172
16.9,131,162,301,173
16.9,131,162,300,173
16.9,131,162,301,172
16.9,131,162,301,172
16.9,131,162,301,172
16.9,131,162,302,172
16.9,131,162,302,172
16.9,132,161,302,171
