FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.6,121,175,294,170
16.6,121,175,294,170
16.6,121,174,294,170
16.6,121,175,294,170
16.6,121,175,294,170
16.6,122,175,294,170
16.6,121,175,294,170
16.6,121,174,294,170
16.6,121,175,294,170
16.6,121,175,294,170
16.3,121,175,294,170
16.3,122,174,294,170
16.3,121,175,294,170
16.3,121,175,294,170
16.3,121,175,294,170
16.3,121,175,294,170
16.3,121,175,294,170
16.3,121,174,294,170
16.3,121,175,294,170
16.3,121,175,294,170
16.3,121,174,294,170
16.3,121,175,294,170
16.3,121,174,294,170
16.3,121,174,294,170
16.3,121,174,294,170
16.3,121,174,294,170
16.3,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,175,294,170
16.2,121,174,294,170
16.2,121,174,294,170
16.2,121,175,294,170
16.2,121,174,294,170
16.2,121,175,294,170
16.2,121,175,294,170
16.2,121,175,294,170
16.2,121,175,294,170
16.4,121,175,294,170
16.4,121,174,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,174,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,120,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,121,175,294,170
16.4,120,175,294,170
16.7,120,175,294,170
16.7,121,175,294,170
16.7,121,175,294,170
16.7,121,175,294,170
16.7,121,175,293,170
16.7,120,175,293,170
16.7,120,175,292,169
16.7,119,176,290,169
16.7,118,179,288,169
16.7,117,181,287,169
16.7,117,183,287,170
16.7,117,184,287,170
16.7,118,185,287,170
16.7,118,186,288,171
16.7,119,187,289,172
16.7,120,187,289,171
16.7,120,186,290,171
16.7,121,186,291,171
16.7,124,186,294,170
16.7,126,185,296,170
16.7,129,184,299,171
16.7,132,183,302,170
16.7,135,181,305,169
16.7,138,179,309,167
16.7,142,178,312,166
16.7,145,175,315,165
16.7,145,171,316,163
16.7,144,169,315,162
16.7,143,168,313,162
16.7,142,167,313,162
16.7,141,166,312,164
16.7,140,165,312,165
16.7,139,166,310,168
16.4,137,165,308,171
16.4,133,166,306,172
16.4,134,166,306,172
16.4,133,168,304,172
16.4,130,169,302,172
16.4,127,170,299,172
16.4,126,171,298,172
16.4,126,171,297,172
16.4,124,173,296,172
16.4,122,175,294,173
16.4,121,176,290,172
16.4,114,177,286,172
16.4,111,176,283,171
16.4,112,178,283,171
16.4,113,178,284,171
16.4,112,179,284,171
16.4,112,180,283,172
16.8,111,179,282,171
16.8,110,179,281,171
16.8,110,178,281,170
16.8,110,177,281,170
16.8,110,177,281,170
16.8,110,178,281,169
16.8,110,177,281,169
16.8,111,176,282,169
16.8,112,175,283,169
16.8,113,174,285,168
16.8,115,172,287,168
16.8,117,171,289,168
16.8,121,171,292,168
16.8,124,171,296,169
16.8,128,170,299,170
16.8,131,171,303,171
16.8,133,171,306,172
16.9,135,169,307,171
16.9,136,169,309,171
16.9,139,169,311,171
16.9,141,170,313,171
16.9,142,169,314,172
16.9,143,170,315,172
16.9,144,170,316,172
16.9,145,170,317,172
16.9,146,170,318,172
16.9,146,171,317,172
16.9,144,172,315,171
16.9,142,173,313,170
16.9,141,173,311,170
16.9,139,174,310,170
16.9,137,174,308,170
16.9,135,174,305,169
16.7,132,174,303,168
16.7,131,174,302,168
16.7,129,174,300,166
16.7,127,174,297,166
16.7,123,174,295,166
16.7,121,174,293,165
16.7,120,173,292,164
16.7,118,172,291,164
16.7,118,172,289,164
16.7,116,171,287,164
16.7,113,170,285,164
16.7,110,171,283,164
16.7,109,172,282,166
16.7,109,172,282,166
16.7,108,173,281,167
16.7,107,173,280,167
16.7,106,173,279,167
16.8,107,172,279,166
16.8,106,173,279,166
16.8,105,172,278,166
16.8,105,172,277,166
16.8,105,171,277,165
16.8,105,171,278,164
16.8,105,170,278,163
16.8,106,169,279,162
16.8,108,168,281,160
16.8,110,166,283,158
16.8,112,165,285,157
16.8,113,164,287,156
16.8,118,164,289,154
16.8,128,163,295,151
16.8,134,162,303,150
16.8,142,160,310,150
16.4,147,158,317,147
16.4,151,155,322,145
16.4,154,155,327,145
16.4,158,157,329,146
16.4,160,158,332,147
16.4,163,158,334,148
16.4,165,160,337,148
16.4,166,159,338,149
16.4,165,160,337,150
16.4,166,161,337,150
16.4,166,161,337,150
