FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,159
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.5,131,158,305,160
16.2,131,158,305,160
16.2,131,158,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,158,305,160
16.2,131,158,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.2,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,131,159,305,160
16.6,130,159,305,160
16.6,131,159,305,160
16.6,130,159,305,160
16.6,130,159,305,160
16.6,131,160,305,160
16.6,133,161,306,160
16.6,134,163,308,160
16.6,135,164,307,161
16.6,134,165,306,161
16.6,132,166,305,161
16.6,132,168,305,161
16.6,133,168,305,161
16.6,133,168,305,161
16.6,133,170,306,162
16.6,134,170,307,162
16.6,135,171,307,162
16.6,137,172,309,162
16.6,138,171,311,162
16.6,139,170,312,162
16.6,139,170,312,162
16.6,139,170,312,162
16.6,140,170,313,162
16.6,141,170,315,162
16.6,142,169,315,162
16.6,141,168,316,162
16.6,141,168,316,162
16.6,141,168,316,162
16.6,141,167,315,162
16.6,140,167,315,162
16.6,139,166,315,162
16.6,139,166,315,162
16.6,139,166,315,163
16.6,139,164,314,162
16.6,138,165,313,163
16.6,136,166,310,164
16.6,134,167,308,164
16.6,133,166,307,165
16.6,133,166,307,165
16.6,133,167,306,166
16.6,132,169,305,167
16.6,131,170,304,169
16.6,132,171,304,170
16.5,132,171,304,171
16.5,131,171,303,171
16.5,130,171,302,172
16.5,130,172,302,172
16.5,129,172,301,173
