FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
16.2,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,180,316,186
15.7,142,180,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,143,181,316,186
15.7,142,181,316,186
15.7,142,181,316,186
15.7,142,180,315,186
16.6,142,181,315,186
16.6,142,181,315,186
16.6,142,181,315,186
16.6,142,181,316,186
16.6,142,180,316,187
16.6,142,181,315,186
16.6,142,180,315,187
16.6,142,180,315,187
16.6,142,180,315,187
16.6,142,180,315,186
16.6,142,181,315,187
16.6,142,181,315,187
16.6,142,180,315,187
16.6,142,180,315,187
16.6,142,180,315,187
16.6,142,180,315,187
16.3,142,180,315,187
16.3,142,181,315,187
16.3,142,181,315,187
16.3,142,180,315,187
16.3,142,181,315,187
16.3,142,181,315,187
16.3,142,181,315,187
16.3,142,180,315,187
16.3,142,181,315,187
16.3,142,180,315,187
16.3,142,180,315,187
16.3,143,180,316,187
16.3,145,181,318,188
16.3,150,184,320,190
16.3,151,189,322,192
16.3,151,190,322,193
16.3,150,190,321,193
16.9,150,191,321,193
16.9,149,191,320,192
16.9,149,192,319,191
16.9,148,193,317,191
16.9,147,193,316,191
16.9,146,192,315,191
16.9,146,189,311,188
16.9,143,190,307,187
16.9,139,190,302,188
16.9,136,193,298,192
16.9,130,195,295,194
16.9,130,195,295,194
16.9,130,194,296,193
16.9,132,194,297,192
16.9,132,194,297,192
16.9,132,195,297,191
16.9,133,195,299,191
16.4,137,195,301,190
16.4,140,195,305,189
16.4,142,195,309,187
16.4,144,195,311,185
16.4,145,194,311,183
16.4,146,194,312,182
16.4,148,195,314,182
16.4,151,194,317,181
16.4,153,192,320,180
16.4,155,192,322,178
16.4,158,190,325,175
16.4,162,186,329,171
16.4,163,185,332,167
16.4,163,183,333,165
16.4,166,179,334,162
16.4,167,177,337,160
16.9,170,175,339,158
16.9,171,174,341,156
16.9,172,174,341,157
16.9,172,174,342,157
16.9,172,174,342,157
16.9,172,174,342,157
16.9,172,174,342,157
16.9,172,174,341,157
16.9,172,174,341,157
16.9,172,174,341,158
16.9,172,174,341,158
16.9,171,174,341,158
16.9,171,174,341,158
16.9,171,174,341,158
16.9,171,173,341,159
16.9,172,174,342,159
16.9,172,174,343,160
16.6,172,174,342,160
16.6,172,175,342,160
16.6,173,175,343,160
16.6,174,177,343,161
16.6,175,179,343,162
16.6,178,180,344,164
16.6,177,183,345,166
16.6,177,184,345,166
16.6,177,184,345,166
16.6,179,185,345,167
16.6,178,186,345,168
16.6,179,188,344,168
16.6,177,191,343,169
16.6,178,190,343,169
16.6,179,190,345,169
16.6,179,190,345,169
16.8,179,190,345,169
16.8,179,192,345,170
16.8,179,193,344,170
16.8,179,193,344,170
16.8,179,193,344,170
16.8,179,193,345,170
16.8,179,193,345,170
16.8,177,192,344,170
16.8,177,193,343,169
16.8,176,192,342,168
16.8,175,191,342,167
16.8,175,191,342,166
16.8,174,190,341,164
16.8,173,188,341,164
16.8,174,187,342,162
16.8,174,186,342,161
16.8,173,185,342,160
16.8,173,184,343,160
16.8,173,183,343,158
16.8,173,182,343,158
16.8,173,182,343,158
16.8,173,182,342,157
16.8,173,181,343,157
16.8,173,181,343,157
16.8,174,181,343,157
16.8,174,181,343,157
16.8,175,180,343,157
16.8,175,179,344,156
16.8,176,178,345,156
16.8,176,178,345,156
16.8,177,177,346,155
16.8,179,176,347,154
16.8,179,176,348,154
16.8,179,176,348,155
16.7,179,176,347,155
16.7,178,176,347,156
16.7,177,177,347,156
16.7,177,178,345,157
16.7,176,177,345,158
16.7,175,178,344,158
16.7,175,177,344,158
16.7,175,178,344,158
16.7,175,177,344,158
16.7,176,177,345,158
16.7,176,177,345,158
16.7,176,177,345,157
16.7,177,178,345,156
16.7,177,178,346,156
16.7,178,178,347,156
16.7,177,178,346,157
