FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.8,73,182,246,177
16.8,72,182,246,177
16.8,72,182,246,178
16.8,72,182,246,177
16.8,72,182,246,177
16.8,72,182,246,178
16.8,72,182,246,177
16.8,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,178
15.5,72,182,246,178
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,178
15.5,72,182,246,178
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
15.5,72,182,246,177
16.5,72,182,246,177
16.5,72,182,246,177
16.5,72,182,246,177
16.5,72,182,246,177
16.5,72,182,246,177
16.5,73,182,246,177
16.5,74,183,247,173
16.5,78,182,250,172
16.5,82,181,254,171
16.5,85,182,257,172
16.5,86,183,259,172
16.5,87,180,260,172
16.5,85,179,258,173
16.5,81,178,254,174
16.5,78,178,252,174
16.5,78,178,252,175
16.5,82,180,255,175
16.7,86,181,259,174
16.7,89,180,262,174
16.7,91,181,263,173
16.7,91,182,263,173
16.7,91,183,263,172
16.7,91,184,263,172
16.7,92,186,265,170
16.7,95,188,267,170
16.7,98,189,270,169
16.7,100,189,273,168
16.7,102,190,275,168
16.7,102,188,275,167
16.7,102,187,276,167
16.7,101,186,275,167
16.7,100,188,273,167
16.7,98,190,271,169
16.7,97,191,270,169
16.5,97,191,270,168
16.5,97,191,269,167
16.5,96,191,269,166
16.5,96,191,268,165
16.5,96,190,268,164
16.5,95,189,267,163
16.5,95,188,267,163
16.5,94,188,267,162
16.5,95,188,267,162
16.5,94,188,266,162
16.5,94,190,265,163
16.5,95,192,266,164
16.5,94,192,266,165
16.5,93,196,265,170
16.5,92,200,263,176
16.5,91,203,263,179
16.5,92,207,263,182
16.8,92,210,263,185
16.8,92,212,263,187
16.8,93,214,264,188
16.8,94,214,265,190
16.8,94,216,265,191
16.8,96,217,265,191
16.8,98,217,266,192
16.8,98,217,268,194
16.8,99,217,269,194
16.8,100,217,269,195
16.8,99,217,269,195
16.8,99,217,269,196
16.8,100,217,269,196
16.8,100,217,269,197
16.8,101,217,269,197
16.8,101,217,270,198
16.7,102,217,271,198
16.7,104,216,273,198
16.7,104,216,273,199
16.7,104,215,274,199
16.7,105,214,275,199
16.7,106,214,275,199
16.7,106,213,276,200
16.7,106,212,276,200
16.7,106,212,276,200
16.7,106,211,277,200
16.7,107,210,277,199
16.7,107,209,278,199
16.7,107,208,278,199
16.7,107,208,279,198
16.7,107,208,279,198
16.7,107,208,279,199
16.9,107,208,279,199
16.9,107,208,279,200
16.9,106,207,277,199
16.9,105,207,277,200
16.9,106,206,278,199
16.9,107,205,279,199
16.9,107,204,279,199
16.9,107,203,280,199
16.9,107,202,280,199
16.9,107,202,281,199
16.9,107,200,281,199
16.9,107,199,281,199
16.9,107,199,281,199
16.9,106,198,280,200
16.9,106,198,280,200
16.9,106,200,281,201
16.9,106,200,281,202
16.8,106,200,281,203
16.8,106,201,281,203
16.8,105,201,280,204
16.8,104,201,279,204
16.8,104,202,279,204
16.8,106,203,280,204
16.8,107,204,282,204
16.8,108,205,284,204
16.8,110,206,285,204
16.8,110,206,285,204
16.8,109,206,284,204
16.8,109,206,284,204
16.8,110,207,285,204
16.8,111,208,286,204
16.8,112,209,287,203
16.8,114,210,288,203
16.8,114,210,288,202
16.8,113,210,287,201
16.8,114,211,288,200
16.8,115,212,289,199
16.8,117,213,289,199
16.8,117,214,289,198
16.8,117,213,289,196
16.8,118,213,289,195
16.8,117,213,289,193
16.8,117,214,289,192
16.8,117,213,288,191
16.8,116,213,287,189
16.8,116,213,287,189
16.8,117,213,287,188
16.8,117,213,287,188
16.8,117,213,287,188
16.8,117,213,287,188
16.8,116,213,287,187
16.8,116,213,287,187
16.8,116,213,287,187
16.8,116,212,287,187
16.8,116,213,287,187
16.8,117,212,287,186
16.8,117,212,287,185
16.8,117,212,287,184
16.8,116,213,286,183
16.8,116,213,286,183
16.8,116,213,286,183
16.8,116,213,287,182
16.8,116,212,287,182
16.8,117,212,287,182
16.8,117,212,287,183
16.8,116,211,287,183
16.8,116,211,288,183
16.6,117,210,288,184
16.6,116,210,287,185
16.6,115,210,286,186
16.6,114,211,285,187
16.6,113,211,285,188
16.6,113,210,285,188
16.6,112,211,284,188
16.6,112,210,283,189
16.6,112,209,283,189
16.6,113,208,285,188
16.6,115,207,286,188
16.6,117,205,289,187
16.6,118,205,290,186
16.6,119,204,291,185
16.6,119,204,291,185
16.6,119,204,291,185
16.6,119,204,292,184
16.5,121,204,293,184
16.5,122,204,295,184
16.5,123,203,295,183
16.5,122,202,295,182
16.5,121,202,293,182
16.5,123,200,295,181
16.5,124,200,296,181
16.5,125,200,297,181
16.5,124,200,297,181
16.5,124,200,297,180
16.5,124,199,297,180
16.5,125,197,295,178
16.5,123,196,292,177
16.5,121,199,289,177
16.5,119,201,287,178
16.5,120,199,287,176
16.6,120,198,287,175
16.6,119,200,287,175
16.6,118,199,286,175
16.6,117,200,285,174
16.6,119,200,286,172
16.6,121,199,288,172
16.6,121,200,289,173
16.6,123,200,291,172
16.6,126,200,294,169
16.6,130,200,297,167
16.6,132,200,300,165
16.6,133,200,301,163
16.6,134,198,303,162
16.6,135,196,304,160
16.6,136,194,306,158
16.6,138,193,307,156
16.6,138,193,308,157
16.5,137,192,308,157
16.5,137,191,307,156
16.5,137,190,308,156
16.5,136,190,307,155
16.5,135,190,307,155
16.5,135,190,307,155
16.5,136,191,307,155
16.5,136,191,307,155
16.5,137,190,308,156
16.5,138,190,310,157
16.5,137,190,309,157
16.5,137,190,309,158
16.5,136,190,308,159
16.5,135,191,307,160
16.5,134,191,307,161
16.5,133,192,305,161
16.1,132,192,305,161
16.1,133,191,306,161
16.1,133,192,306,162
16.1,132,193,305,162
16.1,131,194,303,163
16.1,129,195,301,165
16.1,127,195,299,166
16.1,124,196,297,169
16.1,122,197,295,170
16.1,122,198,293,171
16.1,121,199,292,170
16.1,119,198,289,170
16.1,117,198,287,170
16.1,117,200,287,171
16.1,118,202,288,173
16.1,119,205,289,176
16.4,120,208,289,178
16.4,121,210,290,179
16.4,123,212,291,179
16.4,126,213,294,179
16.4,129,214,298,180
16.4,132,215,301,179
16.4,134,215,303,178
16.4,135,214,305,176
16.4,137,214,306,176
16.4,140,212,309,172
16.4,143,210,312,169
16.4,146,207,315,167
16.4,149,204,318,163
16.4,152,200,322,161
16.4,153,196,323,157
16.4,153,196,323,155
16.4,153,198,322,156
16.8,154,198,322,156
16.8,152,198,321,156
16.8,151,198,320,156
16.8,150,198,319,155
16.8,151,198,319,155
16.8,151,198,319,154
16.8,152,197,319,153
16.8,151,196,319,153
16.8,150,195,318,152
16.8,151,194,319,150
16.8,154,193,322,149
16.8,157,192,324,148
16.8,158,192,325,148
16.8,158,192,326,148
16.8,158,192,326,148
16.8,158,192,326,148
16.8,158,192,326,148
16.7,158,192,326,148
16.7,158,192,326,148
16.7,158,193,325,148
16.7,158,193,325,148
16.7,160,193,325,147
16.7,159,193,324,147
16.7,159,194,324,147
16.7,159,194,323,146
16.7,158,195,323,146
16.7,158,195,322,146
16.7,158,195,322,146
16.7,159,195,323,145
16.7,159,195,324,146
16.7,161,194,325,144
16.7,162,194,326,145
16.8,163,194,328,145
16.8,165,194,329,145
16.8,166,193,331,144
16.8,166,193,331,144
16.8,166,193,331,144
16.8,165,193,330,145
16.8,164,193,329,144
16.8,164,193,329,143
16.8,166,192,331,141
16.8,167,192,333,139
16.8,169,192,333,137
16.8,171,191,335,136
16.8,172,191,337,135
16.8,174,191,338,135
16.8,177,192,340,134
16.8,181,193,344,133
16.8,184,194,346,133
16.3,185,195,348,132
16.3,186,195,348,132
16.3,187,196,348,132
16.3,187,198,348,133
16.3,187,199,348,133
16.3,187,200,348,133
16.3,188,200,348,134
16.3,188,200,348,134
16.3,187,200,348,134
16.3,188,200,348,133
16.3,187,199,348,133
16.3,187,198,348,132
16.3,186,198,347,132
16.3,185,199,346,132
16.3,183,199,344,132
16.3,182,198,343,131
16.3,181,198,342,130
16.5,180,197,341,129
16.5,179,196,340,128
16.5,178,194,339,126
16.5,177,192,339,125
16.5,176,191,337,124
16.5,175,189,336,122
16.5,174,188,336,121
16.5,174,187,336,120
16.5,174,186,336,120
16.5,174,185,337,120
16.5,174,184,337,119
16.5,174,182,337,119
16.5,174,182,337,119
16.5,174,182,337,119
16.5,175,182,338,119
16.5,176,182,338,118
16.7,177,185,338,117
16.7,178,186,337,117
16.7,179,189,337,116
16.7,180,190,337,116
16.7,182,192,338,116
16.7,183,193,339,117
16.7,185,195,340,117
16.7,186,197,341,118
16.7,188,198,341,118
16.7,190,200,343,119
16.7,191,201,344,120
16.7,193,202,345,120
16.7,194,203,346,120
16.7,195,203,347,121
16.7,196,202,348,120
16.7,198,202,350,120
16.1,199,202,351,120
16.1,200,202,352,120
16.1,200,202,352,120
16.1,200,202,351,119
16.1,200,202,352,119
16.1,200,202,351,119
16.1,199,201,351,117
16.1,198,198,350,115
16.1,196,196,349,113
16.1,196,195,349,113
16.1,197,194,351,112
16.1,197,192,352,111
16.1,198,190,352,111
16.1,198,190,353,110
16.1,197,188,353,110
16.1,197,187,354,109
16.1,198,185,355,108
16.6,197,184,355,108
16.6,198,185,355,109
16.6,198,186,356,110
16.6,198,185,357,110
16.6,198,185,356,110
16.6,196,186,355,111
16.6,195,186,354,112
16.6,194,186,354,113
16.6,193,186,353,114
16.6,192,188,353,116
16.6,193,190,354,119
16.6,193,192,354,120
16.6,194,194,354,120
16.6,193,195,352,119
16.6,191,197,350,120
16.6,191,200,349,121
16.8,191,202,348,122
16.8,190,202,347,123
16.8,190,204,347,125
16.8,190,206,347,126
16.8,191,207,348,127
16.8,191,208,348,128
16.8,191,209,349,129
16.8,192,209,349,129
16.8,191,209,348,130
16.8,189,209,346,130
16.8,187,210,344,131
16.8,187,211,344,132
16.8,188,210,345,132
16.8,188,211,345,132
16.8,188,211,345,132
16.8,188,211,345,132
16.8,187,211,345,132
16.7,188,210,345,132
16.7,188,210,345,132
16.7,188,211,344,132
16.7,188,210,343,132
16.7,187,210,343,132
16.7,187,210,342,132
16.7,187,209,343,131
16.7,187,208,341,130
16.7,186,206,341,129
16.7,186,205,342,128
16.7,187,203,343,128
16.7,189,201,346,128
16.7,190,200,349,128
16.7,192,198,351,127
16.7,193,196,352,126
16.7,195,195,354,125
16.7,196,196,355,124
16.7,197,195,355,122
16.7,198,194,355,120
16.7,200,192,357,119
16.7,202,192,359,118
16.7,204,192,361,118
16.7,205,192,362,119
16.7,205,191,363,119
16.7,206,190,364,118
16.7,206,190,364,119
16.7,206,190,365,119
16.7,205,190,364,118
16.7,204,188,364,117
16.7,204,186,363,117
16.7,203,183,363,116
16.7,201,181,363,116
16.7,200,182,362,118
16.6,198,183,360,119
16.6,196,183,359,121
16.6,194,183,359,123
16.6,193,184,359,125
16.6,193,186,358,126
16.6,192,186,357,127
16.6,193,186,359,127
16.6,194,186,360,128
16.6,195,187,361,127
16.6,195,187,361,125
16.6,197,186,361,122
16.6,199,186,361,117
16.6,200,184,361,111
16.6,202,182,362,105
16.6,205,181,363,100
16.6,208,180,363,95
16.6,210,179,364,92
16.6,210,177,364,90
16.6,211,177,363,88
16.6,211,178,363,88
16.6,211,179,362,88
16.6,211,180,361,88
16.6,211,182,362,89
16.6,213,182,363,89
