FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.3,133,208,308,197
16.3,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,198
15.5,133,208,308,197
15.5,133,207,308,197
15.5,133,207,308,197
15.5,133,207,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
15.5,133,208,308,197
16.5,133,208,308,197
16.5,133,208,308,197
16.5,133,208,308,197
16.5,133,208,308,197
16.5,133,208,308,197
16.5,133,208,308,197
16.5,134,208,308,197
16.5,135,209,309,196
16.5,141,210,314,196
16.5,146,211,319,195
16.5,149,210,323,195
16.5,151,209,325,194
16.5,151,209,325,194
16.5,149,207,322,194
16.5,145,203,318,194
16.5,139,202,313,195
16.7,136,204,311,197
16.7,138,204,312,197
16.7,143,206,317,197
16.7,148,208,322,196
16.7,152,210,325,197
16.7,154,211,328,197
16.7,154,212,328,197
16.7,154,214,327,195
16.7,153,216,326,195
16.7,154,218,327,194
16.7,155,219,329,194
16.7,158,219,332,194
16.7,161,218,335,193
16.7,163,218,337,192
16.7,165,216,339,190
16.7,166,214,341,190
16.7,166,214,341,191
16.3,165,215,340,192
16.3,163,219,337,194
16.3,160,221,333,194
16.3,157,219,331,194
16.3,155,218,329,193
16.3,154,218,329,192
16.3,155,218,329,191
16.3,156,218,330,190
16.3,157,218,331,190
16.3,157,216,330,189
16.3,156,215,329,188
16.3,156,216,329,187
16.3,157,218,329,187
16.3,156,218,329,188
16.3,157,222,329,191
16.3,158,226,330,197
16.7,157,230,329,201
16.7,156,234,327,205
16.7,155,239,326,208
16.7,155,241,327,210
16.7,156,243,327,212
16.7,156,244,327,213
16.7,156,246,326,215
16.7,155,247,326,216
16.7,156,248,326,217
16.7,156,249,326,218
16.7,157,250,326,218
16.7,157,251,326,220
16.7,156,251,325,221
16.7,156,252,325,221
16.7,156,252,325,222
16.7,156,252,325,223
16.7,156,252,325,223
16.6,156,251,325,223
16.6,157,251,326,224
16.6,158,251,327,223
16.6,159,250,329,224
16.6,161,250,331,225
16.6,161,249,332,225
16.6,161,248,332,225
16.6,162,248,333,225
16.6,163,247,333,225
16.6,163,247,334,225
16.6,164,246,336,225
16.6,165,245,337,225
16.6,165,244,337,224
16.6,165,243,338,224
16.6,166,242,338,224
16.6,166,242,338,223
16.6,166,241,339,223
16.6,167,241,339,223
16.6,167,241,340,223
16.6,166,240,339,223
16.6,166,240,339,223
16.6,166,239,339,222
16.6,167,239,340,222
16.6,168,238,341,223
16.6,167,237,341,222
16.6,166,236,339,222
16.6,164,236,338,222
16.6,163,235,338,223
16.6,163,234,337,223
16.6,162,233,337,224
16.6,163,232,337,224
16.6,164,234,339,225
16.6,165,236,340,227
16.4,167,238,342,228
16.4,167,239,343,230
16.4,167,241,343,231
16.4,168,242,344,232
16.4,167,243,343,234
16.4,166,244,343,235
16.4,165,244,341,235
16.4,165,245,341,235
16.4,166,246,342,236
16.4,167,247,343,237
16.4,167,249,343,237
16.4,166,249,342,237
16.4,166,250,342,237
16.4,166,251,342,237
16.4,167,251,343,237
16.4,167,251,343,236
16.4,169,251,344,235
17.0,171,253,346,235
17.0,172,254,347,235
17.0,172,254,347,234
17.0,174,254,348,233
17.0,175,255,350,231
17.0,176,254,350,229
17.0,177,252,351,227
17.0,178,251,352,226
17.0,179,252,352,225
17.0,179,251,351,223
17.0,178,251,351,222
17.0,178,251,351,221
