FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.4,160,191,334,207
16.4,160,192,334,207
16.4,160,192,334,207
16.4,160,192,334,207
16.4,160,191,334,207
16.4,160,192,334,207
16.4,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,161,191,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,335,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,192,334,207
16.5,160,191,334,207
16.5,160,192,334,207
16.5,160,191,334,207
16.5,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,335,207
16.8,160,192,334,207
16.8,160,192,334,207
16.8,160,192,335,207
16.3,160,192,335,207
16.3,160,192,334,207
16.3,160,192,335,207
16.3,160,192,335,207
16.3,160,192,335,207
16.3,160,192,334,207
16.3,160,192,334,207
16.3,160,192,334,207
16.3,160,192,335,207
16.3,160,192,335,207
16.3,160,192,335,207
16.3,160,192,334,207
16.3,160,192,334,207
16.3,160,192,334,207
16.3,160,192,335,207
16.3,160,192,335,207
16.3,163,191,336,209
16.8,165,191,339,210
16.8,166,193,339,211
16.8,165,194,339,213
16.8,166,196,339,215
16.8,167,198,340,219
16.8,168,201,340,224
16.8,168,205,340,229
16.8,167,207,338,233
16.8,165,208,336,234
16.8,165,207,335,234
16.8,163,205,333,234
16.8,162,206,332,233
16.8,161,206,331,232
16.8,160,204,330,232
16.8,159,203,329,231
16.8,158,204,329,233
16.8,161,206,330,234
16.4,163,207,333,235
16.4,164,208,334,236
16.4,164,209,335,237
16.4,165,209,335,237
16.4,166,210,336,237
16.4,166,211,337,238
16.4,166,212,337,238
16.4,166,212,338,238
16.4,167,213,339,238
16.4,168,214,340,237
16.4,169,214,341,235
16.4,169,214,343,234
16.4,171,216,345,233
16.4,172,217,346,232
16.4,174,218,349,231
16.4,175,217,350,230
16.9,175,216,350,230
16.9,175,216,350,229
16.9,174,215,349,228
16.9,173,213,347,227
16.9,171,212,345,226
16.9,168,210,343,225
16.9,165,208,340,224
16.9,163,208,337,223
16.9,161,207,335,222
16.9,159,206,333,222
16.9,156,206,330,222
16.9,154,206,327,223
16.9,152,206,325,223
16.9,151,204,323,224
16.9,150,204,323,224
16.9,150,204,322,224
16.9,149,204,321,224
16.4,149,204,321,225
