FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.3,130,158,300,158
16.3,127,158,300,158
16.3,127,158,300,158
16.3,126,158,300,158
16.3,125,158,300,158
16.3,129,158,300,158
16.3,128,156,300,158
16.6,126,157,300,158
16.6,129,156,300,158
16.6,127,158,300,158
16.6,126,157,300,158
16.6,128,158,300,158
16.6,127,157,300,158
16.6,130,159,300,158
16.6,130,161,299,158
16.6,129,157,299,158
16.6,130,158,299,158
16.6,126,158,300,158
16.6,125,158,300,158
16.6,126,158,300,158
16.6,126,158,300,158
16.6,126,159,300,158
16.6,126,159,300,158
16.6,126,159,300,158
16.7,126,160,300,158
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,300,159
16.7,126,160,301,158
16.7,127,160,301,158
16.7,126,160,301,158
16.7,126,160,300,158
16.7,126,160,301,158
16.7,127,160,301,158
16.7,126,160,300,159
16.7,126,160,301,159
16.6,126,160,301,158
16.6,126,160,300,158
16.6,126,160,301,158
16.6,126,160,301,159
16.6,126,160,301,159
16.6,126,160,301,159
16.6,126,160,301,159
16.6,126,160,301,159
16.6,127,160,301,158
16.6,128,159,302,156
16.6,127,158,302,154
16.6,127,156,302,150
16.6,128,155,303,148
16.6,130,152,303,146
16.6,131,148,303,145
16.6,131,145,303,147
16.6,132,145,304,148
16.9,134,147,306,148
16.9,136,147,307,150
16.9,139,146,310,150
16.9,141,147,313,151
16.9,143,148,316,151
16.9,145,148,317,153
16.9,145,150,317,155
16.9,145,150,318,156
16.9,147,150,319,157
16.9,148,150,321,158
16.9,149,150,322,158
16.9,149,149,323,157
16.9,149,149,323,157
16.9,149,150,323,157
16.9,149,148,323,155
16.9,150,146,323,154
16.9,151,145,323,153
16.8,150,146,323,153
16.8,148,148,320,155
16.8,145,150,317,155
16.8,143,148,315,155
16.8,142,150,313,158
16.8,142,153,313,162
16.8,141,154,313,164
16.8,140,154,311,164
16.8,138,154,309,164
16.8,135,155,307,165
16.8,135,156,306,166
16.8,134,157,305,167
16.8,133,159,305,168
16.8,132,160,305,168
16.8,131,160,303,169
16.8,130,160,302,168
16.8,128,161,301,168
16.8,127,160,301,167
16.8,127,160,301,167
16.8,128,161,301,167
16.8,129,162,302,166
16.8,129,162,303,166
16.8,130,164,305,165
16.8,132,164,307,165
16.8,133,165,308,165
16.8,133,166,308,165
16.8,134,167,309,165
16.8,135,167,310,166
16.8,136,167,311,168
16.8,137,168,312,169
16.8,138,169,313,170
16.8,139,170,314,171
16.8,140,169,314,172
16.6,141,168,315,172
16.6,142,168,315,172
16.6,144,167,317,172
16.6,145,167,318,172
16.6,147,166,319,172
16.6,147,166,319,172
16.6,148,168,319,171
16.6,149,168,321,171
16.6,150,168,321,170
16.6,150,167,321,170
16.6,152,167,322,169
16.6,152,165,322,168
16.6,152,163,323,165
16.6,153,162,323,162
16.6,153,160,324,158
16.6,153,158,323,155
16.6,152,156,322,152
16.6,151,155,321,151
16.6,150,155,320,151
16.6,149,156,319,151
16.6,148,155,318,152
16.6,147,157,317,153
16.6,147,157,317,154
16.6,147,156,317,152
16.6,146,155,316,151
16.6,143,156,313,151
16.6,140,156,310,151
16.6,137,156,308,151
16.6,136,157,307,151
16.6,135,158,306,152
16.6,134,158,305,152
16.6,132,160,304,153
16.6,132,161,303,155
16.6,130,163,302,157
