FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.5,165,196,338,188
16.5,166,196,338,188
16.5,165,196,338,188
16.5,166,196,338,188
16.5,165,196,338,188
16.5,165,196,338,188
15.5,165,196,338,188
15.5,165,196,338,188
15.5,166,196,337,188
15.5,165,196,337,188
15.5,166,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,337,188
15.5,165,196,338,188
15.5,168,194,339,188
15.5,169,196,341,189
15.5,169,199,340,191
15.5,169,200,340,192
15.5,170,202,341,196
15.5,172,205,343,201
15.5,173,208,343,205
15.5,173,210,344,210
15.5,173,212,344,213
15.5,172,212,342,215
15.5,170,212,341,215
15.5,169,211,340,215
16.2,169,210,339,215
16.2,169,207,339,214
16.2,167,206,338,214
16.2,166,206,335,214
16.2,165,205,334,215
16.2,166,206,335,216
16.2,169,208,338,218
16.2,171,209,340,219
16.2,171,210,341,219
16.2,173,213,342,219
16.2,174,214,344,219
16.2,175,215,344,220
16.2,175,215,344,220
16.2,174,215,344,220
16.2,175,216,345,220
16.2,175,218,346,219
16.4,177,218,347,218
16.4,177,220,349,217
16.4,178,221,350,216
16.4,179,222,351,215
16.4,179,222,352,214
16.4,179,223,351,213
16.4,179,222,351,212
16.4,178,221,350,212
16.4,159,219,332,212
11.5,159,219,329,213
11.5,157,219,327,214
11.5,155,218,325,215
11.5,155,218,325,215
11.5,155,217,324,216
11.5,153,218,323,217
11.5,153,217,323,217
11.5,153,218,323,218
11.5,155,218,324,218
11.5,155,218,325,219
11.5,157,216,327,219
11.5,158,216,328,220
11.5,159,218,331,220
11.5,161,218,333,221
11.5,163,218,334,220
11.5,165,218,335,221
11.5,166,219,337,221
11.5,167,219,338,220
14.9,168,219,339,219
14.9,171,220,341,220
14.9,175,222,345,221
14.9,179,223,349,221
14.9,183,225,354,222
14.9,186,224,357,222
14.9,188,224,359,221
14.9,189,223,360,220
14.9,191,224,363,219
14.9,194,225,365,219
14.9,196,223,367,218
14.9,197,220,369,215
14.9,199,219,370,215
14.9,200,219,371,214
14.9,201,219,372,214
14.9,202,219,373,213
16.0,202,219,374,214
16.0,202,220,374,213
16.0,202,219,373,212
16.0,200,218,372,211
16.0,199,221,369,210
16.0,196,224,366,209
16.0,194,226,364,208
16.0,192,227,363,208
16.0,193,228,363,209
16.0,193,229,363,210
16.0,191,229,362,210
16.0,190,230,360,211
16.0,188,230,359,211
16.0,186,230,357,213
16.0,185,230,355,214
16.0,183,230,354,216
16.0,182,230,352,216
16.6,180,230,350,217
16.6,179,230,350,217
16.6,179,230,350,218
16.6,179,229,349,218
16.6,178,229,349,217
16.6,177,229,347,215
16.6,177,229,347,215
16.6,176,230,347,215
