FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,128,135,298,146
16.7,125,136,298,146
16.7,126,137,298,146
16.7,127,136,298,146
16.7,128,136,298,145
16.7,133,137,298,146
16.7,139,140,298,146
16.7,130,137,298,146
16.7,125,135,298,146
16.7,127,135,298,146
16.7,131,134,298,146
16.7,132,134,298,146
16.2,133,136,298,145
16.2,140,138,298,145
16.2,128,135,298,145
16.2,129,135,298,145
16.2,129,134,298,145
16.2,128,135,298,145
16.2,128,134,298,145
16.2,126,135,298,145
16.2,126,135,298,145
16.2,126,135,298,145
16.2,125,135,298,145
16.2,126,135,298,145
16.2,125,135,298,145
16.2,125,135,298,145
16.2,125,135,298,145
16.5,125,135,298,145
16.5,125,135,298,145
16.5,125,135,298,145
16.5,125,135,298,145
16.5,125,135,298,145
16.5,126,135,298,144
16.5,126,135,297,146
16.5,125,136,297,145
16.5,124,134,296,144
16.5,123,134,295,143
16.5,121,134,294,142
16.5,121,133,293,140
16.5,120,133,292,140
16.5,119,134,291,139
16.5,118,135,290,140
16.5,116,137,288,140
16.5,115,140,286,141
16.4,114,142,285,141
16.4,112,144,282,141
16.4,110,144,281,141
16.4,109,145,280,141
16.4,109,145,280,140
16.4,110,146,280,140
16.4,110,145,281,140
16.4,112,146,282,140
16.4,112,145,283,140
16.4,112,145,283,139
16.4,113,146,284,139
16.4,115,145,285,139
16.4,115,144,286,138
16.4,116,145,286,138
16.4,117,145,287,138
16.4,118,145,288,137
16.5,119,144,289,137
16.5,121,144,290,136
16.5,122,143,292,136
16.5,124,142,293,136
16.5,125,141,295,135
16.5,127,140,296,134
16.5,128,141,297,134
16.5,129,140,299,134
16.5,134,140,302,135
16.5,137,140,306,136
16.5,138,140,307,136
16.5,139,140,308,136
16.5,139,140,308,136
16.5,139,140,309,136
16.5,140,140,310,136
16.5,140,139,310,136
16.5,141,138,310,135
16.7,141,136,311,134
16.7,142,133,311,132
16.7,142,131,311,130
16.7,141,129,310,127
16.7,139,128,309,126
16.7,139,127,308,126
16.7,138,125,307,124
16.7,137,125,305,123
16.7,136,126,304,122
16.7,136,124,304,122
16.7,135,124,302,122
16.7,133,122,299,121
16.7,130,121,296,120
16.7,128,120,294,118
16.7,127,119,293,118
16.7,126,119,292,118
16.7,124,118,290,119
16.7,123,119,289,119
16.7,123,119,288,119
16.7,122,119,288,119
16.7,121,119,286,119
16.7,121,119,285,119
16.7,121,120,284,119
16.7,120,120,283,119
16.7,120,120,283,119
