BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
154,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.2,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
154,237,16.1,327,242
153,238,16.1,327,242
154,237,16.1,327,242
154,237,16.1,327,242
154,237,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,238,16.1,327,242
153,237,16.1,327,242
153,238,16.3,327,242
154,237,16.3,327,242
153,238,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
153,238,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.3,327,242
154,237,16.5,327,242
154,237,16.5,327,242
154,237,16.5,327,242
154,237,16.5,327,242
153,238,16.5,327,242
154,237,16.5,327,242
154,237,16.5,327,242
154,237,16.5,327,242
154,237,16.5,327,242
154,237,16.5,328,243
156,238,16.5,329,245
159,238,16.5,332,246
163,238,16.5,335,248
167,239,16.5,338,251
168,244,16.5,339,254
167,248,16.5,339,256
168,249,16.6,339,258
168,249,16.6,339,258
168,249,16.6,339,257
167,248,16.6,339,257
167,247,16.6,338,256
167,246,16.6,337,257
167,246,16.6,337,257
167,245,16.6,337,257
167,245,16.6,337,256
167,245,16.6,337,255
167,245,16.6,337,255
167,244,16.6,337,253
168,244,16.6,337,252
168,243,16.6,339,251
169,243,16.6,340,251
170,243,16.6,341,250
172,243,16.6,343,250
173,244,16.6,345,249
175,244,16.6,346,249
176,245,16.6,347,248
176,245,16.6,348,248
176,245,16.6,348,248
177,245,16.6,349,248
177,246,16.6,349,249
179,246,16.6,350,250
180,246,16.6,351,250
180,247,16.6,352,251
181,248,16.6,353,252
182,248,16.6,354,253
183,246,16.6,355,253
183,246,16.6,355,253
183,246,16.6,355,253
184,246,16.6,356,253
185,246,16.6,357,253
185,245,16.2,357,253
185,245,16.2,357,252
185,245,16.2,356,253
183,245,16.2,355,253
183,244,16.2,355,253
183,244,16.2,355,252
183,244,16.2,355,252
183,244,16.2,355,253
182,245,16.2,355,254
182,246,16.2,354,256
182,247,16.2,355,257
182,248,16.2,355,259
181,249,16.2,354,261
182,250,16.2,354,263
181,252,16.2,354,266
181,253,16.2,353,268
182,253,16.3,354,268
182,254,16.3,355,268
183,253,16.3,355,267
184,253,16.3,356,267
185,252,16.3,357,266
187,251,16.3,359,264
189,251,16.3,361,262
191,250,16.3,363,261
191,252,16.3,363,261
190,256,16.3,362,262
190,256,16.3,362,262
191,257,16.3,363,261
195,256,16.3,366,260
196,255,16.3,368,259
195,255,16.3,368,259
196,255,16.3,368,258
196,255,16.3,368,258
196,255,16.9,368,258
197,255,16.9,369,259
197,255,16.9,370,259
198,255,16.9,370,259
196,254,16.9,369,258
196,254,16.9,369,258
196,254,16.9,369,257
196,253,16.9,369,257
195,253,16.9,369,257
195,253,16.9,368,256
194,252,16.9,368,255
194,253,16.9,367,255
193,252,16.9,367,254
193,251,16.9,366,253
192,251,16.9,365,253
191,251,16.9,364,252
189,251,16.6,362,252
189,251,16.6,361,252
189,250,16.6,361,253
188,251,16.6,361,255
188,250,16.6,360,254
188,251,16.6,360,256
189,251,16.6,361,260
189,252,16.6,361,263
187,254,16.6,359,266
185,256,16.6,357,268
183,257,16.6,355,269
183,258,16.6,355,269
183,260,16.6,355,270
183,260,16.6,355,271
182,262,16.6,355,271
182,263,16.6,355,272
182,265,16.6,354,272
181,265,16.9,354,271
181,265,16.9,353,271
181,264,16.9,353,271
181,264,16.9,353,272
181,263,16.9,353,272
181,263,16.9,353,271
182,263,16.9,354,272
183,262,16.9,355,271
184,262,16.9,355,271
184,262,16.9,356,271
184,262,16.9,356,271
185,262,16.9,357,270
186,261,16.9,357,270
186,261,16.9,357,270
186,261,16.9,358,269
187,261,16.9,359,269
187,261,16.9,359,269
187,261,16.8,359,269
188,261,16.8,359,269
188,261,16.8,359,269
188,262,16.8,360,269
189,262,16.8,360,269
189,262,16.8,361,269
189,262,16.8,361,269
190,262,16.8,362,269
190,263,16.8,362,269
191,264,16.8,363,269
192,264,16.8,364,268
193,265,16.8,365,268
193,265,16.8,366,267
193,265,16.8,366,267
193,265,16.8,365,266
192,265,16.8,365,265
192,265,16.9,365,263
194,265,16.9,367,263
196,266,16.9,369,261
197,266,16.9,369,260
196,266,16.9,369,260
196,265,16.9,369,259
197,265,16.9,370,257
196,266,16.9,369,256
196,266,16.9,369,255
197,266,16.9,370,255
197,267,16.9,370,255
197,266,16.9,371,255
197,265,16.9,371,255
196,265,16.9,370,257
194,264,16.9,368,258
193,264,16.9,366,260
191,263,16.9,364,261
188,262,16.5,361,261
185,263,16.5,359,262
185,263,16.5,359,262
185,263,16.5,359,261
185,263,16.5,359,261
185,263,16.5,359,261
185,263,16.5,359,261
186,262,16.5,359,261
187,262,16.5,360,260
188,261,16.5,361,260
189,260,16.5,361,259
189,259,16.5,361,259
189,256,16.5,361,258
188,255,16.5,360,259
187,256,16.5,358,260
185,257,16.5,356,262
184,257,16.5,355,262
183,257,16.8,354,263
181,257,16.8,352,264
179,257,16.8,350,265
179,258,16.8,349,266
177,259,16.8,348,268
177,260,16.8,347,270
177,260,16.8,347,272
177,261,16.8,348,274
179,262,16.8,350,277
181,263,16.8,352,279
181,265,16.8,353,280
181,265,16.8,353,280
181,267,16.8,354,281
183,266,16.8,355,281
183,267,16.8,356,282
184,268,16.8,357,282
185,268,16.6,358,282
185,268,16.6,358,282
185,269,16.6,359,282
187,269,16.6,361,281
189,269,16.6,364,281
189,269,16.6,364,280
191,268,16.6,366,280
193,268,16.6,368,279
193,269,16.6,369,279
