FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,152,183,292,198
16.7,121,187,293,199
16.7,135,186,293,199
16.7,123,185,293,198
16.7,133,184,293,199
16.7,119,185,292,199
16.7,120,185,293,199
16.7,122,185,293,198
16.7,122,184,293,198
16.7,120,185,293,198
16.7,119,185,293,198
16.7,119,185,293,198
16.7,119,185,293,198
16.7,119,185,293,198
16.7,119,185,293,198
16.7,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.2,119,185,293,198
16.5,119,185,293,198
16.5,119,185,293,198
16.5,120,186,294,196
16.5,121,186,295,196
16.5,121,186,295,197
16.5,121,187,295,197
16.5,122,187,296,198
16.5,124,186,298,198
16.5,126,186,300,199
16.5,127,188,301,200
16.5,128,189,301,201
16.5,127,190,301,202
16.5,127,190,301,202
16.5,126,191,300,202
16.5,125,191,299,202
16.5,123,192,297,202
16.6,123,193,297,202
16.6,122,194,297,202
16.6,122,195,297,201
16.6,123,196,298,200
16.6,125,198,300,200
16.6,125,199,300,199
16.6,125,200,300,199
16.6,124,200,300,198
16.6,124,200,300,196
16.6,125,200,300,195
16.6,126,198,301,193
16.6,126,197,301,192
16.6,127,196,302,190
16.6,127,194,302,187
16.6,127,192,302,184
16.6,127,189,302,182
16.6,128,188,303,181
16.6,128,188,303,181
16.6,128,187,303,180
16.6,128,187,303,181
16.6,128,187,303,181
16.6,128,187,303,182
16.6,129,187,303,182
16.6,128,188,303,184
16.6,128,189,303,185
16.6,128,190,302,188
16.6,128,192,303,189
16.6,128,192,303,190
16.6,129,193,303,191
16.6,130,194,305,192
16.6,131,194,305,193
16.6,131,194,306,193
16.6,132,194,307,194
16.6,132,195,307,195
16.6,133,195,308,196
16.6,134,195,309,197
16.6,135,195,309,197
16.6,135,196,310,198
16.6,135,195,311,198
16.6,136,194,311,197
16.6,137,194,311,197
16.6,137,195,311,197
16.6,137,194,312,197
16.6,138,194,313,197
16.6,138,194,313,196
16.6,138,194,312,196
16.6,137,194,312,195
16.6,137,194,312,194
16.6,137,194,312,193
