FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,86,211,260,211
16.7,86,212,260,211
16.7,86,212,260,211
16.7,86,212,260,211
16.7,86,212,259,211
16.7,86,212,259,211
16.7,86,212,260,211
16.7,86,211,259,211
16.7,86,212,260,211
16.7,86,211,259,211
16.7,86,211,259,211
16.7,86,212,260,211
16.7,86,211,259,211
16.2,86,212,259,211
16.2,86,211,260,211
16.2,86,211,259,211
16.2,86,211,260,210
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.2,86,212,260,209
16.3,86,212,260,209
16.3,86,212,260,209
16.3,86,212,261,210
16.3,90,211,262,211
16.3,92,210,265,211
16.3,92,211,265,213
16.3,94,213,266,215
16.3,94,215,267,218
16.3,96,217,268,223
16.3,97,219,269,228
16.3,97,220,268,231
16.3,96,219,267,232
16.3,94,219,265,231
16.3,93,221,264,231
16.3,92,222,263,231
16.3,92,220,261,230
16.3,90,221,260,229
16.7,90,221,259,228
16.7,88,220,259,227
16.7,88,220,258,227
16.7,89,220,258,228
16.7,92,222,260,229
16.7,93,224,262,231
16.7,94,225,264,232
16.7,95,226,265,233
16.7,96,227,266,234
16.7,97,228,267,235
16.7,97,228,267,235
16.7,96,229,267,235
16.7,98,230,269,234
16.7,100,232,271,234
16.7,100,233,272,233
16.7,100,233,272,232
16.7,100,234,272,230
16.6,100,235,272,230
16.6,100,236,273,229
16.6,101,237,273,229
16.6,100,237,273,229
16.6,100,236,273,228
16.6,98,235,271,227
16.6,97,233,269,224
16.6,94,231,267,222
16.6,93,230,265,221
16.6,91,229,263,221
16.6,89,229,262,222
16.6,87,229,259,222
16.6,84,229,257,223
16.6,81,228,252,225
16.6,79,227,251,225
15.7,79,227,250,225
15.7,79,227,249,226
15.7,78,227,248,228
15.7,77,228,247,230
15.7,76,229,247,231
15.7,77,229,248,232
15.7,78,229,249,233
15.7,78,229,250,233
15.7,80,230,252,234
15.7,82,231,254,235
15.7,84,230,256,235
