FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,139,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.7,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.2,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.6,138,123,313,119
16.4,138,123,313,119
16.4,138,122,313,119
16.4,139,122,313,119
16.4,138,122,313,119
16.4,138,122,313,119
16.4,138,122,312,119
16.4,138,123,312,119
16.4,138,123,313,119
16.4,138,123,312,119
16.4,138,123,312,119
16.4,138,122,313,119
16.4,138,123,313,119
16.4,138,123,312,119
16.4,138,123,313,119
16.4,138,123,312,119
16.4,138,123,313,119
16.3,138,123,312,119
16.3,138,123,312,119
16.3,138,123,312,119
16.3,138,123,312,119
16.3,138,123,312,119
16.3,138,123,312,119
16.3,138,123,312,118
16.3,137,123,311,117
16.3,137,125,311,117
16.3,138,126,311,118
16.3,139,128,311,118
16.3,140,129,311,119
16.3,142,129,313,120
16.3,145,129,316,120
16.3,148,129,319,121
16.3,149,130,320,121
16.3,148,130,320,122
16.3,147,131,319,123
16.3,147,131,318,123
16.3,147,134,317,124
16.3,145,136,317,126
16.3,147,135,318,127
16.3,149,134,321,128
16.3,149,134,322,129
16.3,149,133,323,129
16.3,150,133,323,129
16.3,150,132,323,127
16.3,154,130,327,125
16.3,162,129,333,123
16.3,166,125,339,120
16.3,169,120,342,118
16.3,169,118,343,116
16.3,168,116,342,115
16.3,167,115,340,115
16.6,166,116,339,116
16.6,165,117,339,116
16.6,164,117,338,117
16.6,164,117,337,117
16.6,163,116,336,117
16.6,161,117,334,117
16.6,158,118,331,118
16.6,156,120,329,119
16.6,155,120,328,120
16.6,154,121,327,121
16.6,152,123,325,122
16.6,150,124,322,124
16.6,148,125,321,125
16.6,147,127,320,126
16.6,146,128,318,127
16.6,145,130,317,129
16.6,144,131,315,129
16.6,143,132,314,129
16.6,142,133,314,128
16.6,142,133,313,127
16.6,141,133,312,126
16.6,142,133,313,125
16.6,142,133,312,124
16.6,141,133,312,123
16.6,142,132,313,122
16.6,143,131,313,121
16.6,144,131,315,120
16.6,146,129,317,118
16.6,147,128,318,116
16.6,148,127,319,115
16.6,150,126,320,114
16.6,151,124,321,112
16.6,153,124,324,111
16.6,156,123,327,109
16.6,157,123,329,109
16.6,159,124,329,109
16.6,159,127,330,108
16.6,161,127,331,108
16.6,163,127,333,107
16.6,163,126,333,107
16.6,163,127,333,107
16.6,163,127,333,107
16.6,163,127,333,107
16.6,163,127,333,107
16.6,163,127,333,107
16.6,163,126,332,107
16.6,162,126,331,108
16.6,160,127,329,109
16.6,158,128,327,110
16.6,156,129,325,112
16.9,155,130,324,114
16.9,154,132,323,118
16.9,152,134,321,123
16.9,150,138,318,129
16.9,148,142,316,135
16.9,146,143,316,138
16.9,146,145,316,140
16.9,146,145,316,141
16.9,145,146,315,142
16.9,145,146,316,143
16.9,145,146,316,143
16.9,144,148,315,144
16.9,143,148,314,144
16.9,141,148,313,145
16.9,141,150,312,145
16.9,140,151,311,146
16.6,138,150,310,146
16.6,137,151,309,146
16.6,136,151,307,147
16.6,135,152,307,147
16.6,135,152,307,148
16.6,135,152,307,148
16.6,136,152,307,148
16.6,136,152,307,148
16.6,136,152,307,148
16.6,137,152,308,148
16.6,138,152,309,148
16.6,140,152,311,147
16.6,141,152,312,146
16.6,143,150,313,143
16.6,145,147,316,139
16.6,149,145,319,134
16.6,152,142,323,132
16.9,156,140,326,130
16.9,158,138,329,128
16.9,160,138,331,127
16.9,161,137,332,127
16.9,162,137,333,126
16.9,163,137,335,127
16.9,165,137,337,127
16.9,166,136,338,126
16.9,166,136,337,126
16.9,165,136,337,126
16.9,165,135,337,125
16.9,165,135,337,125
16.9,165,135,337,125
16.9,165,134,337,125
16.9,165,134,337,124
16.9,165,133,336,124
16.9,164,133,336,123
16.5,165,133,337,123
16.5,164,133,337,123
16.5,164,132,336,123
16.5,164,133,336,124
16.5,163,133,335,125
16.5,162,134,333,126
16.5,159,135,331,127
16.5,155,135,327,129
16.5,151,137,323,131
16.5,147,137,319,133
16.5,144,137,317,134
16.5,143,138,317,136
16.5,143,138,316,138
16.5,142,138,315,139
16.5,141,138,315,140
16.5,142,138,316,140
16.9,143,136,316,140
16.9,143,135,316,140
16.9,144,134,317,139
16.9,145,134,318,138
16.9,147,135,319,139
16.9,150,135,321,138
16.9,153,134,323,138
16.9,156,132,326,137
16.9,159,132,329,136
16.9,160,132,331,135
16.9,163,131,333,135
16.9,167,131,337,134
16.9,170,131,340,133
16.9,173,131,343,132
16.9,175,130,345,130
16.9,175,130,346,130
16.9,176,129,346,128
16.6,177,129,347,127
16.6,177,128,348,125
16.6,178,128,349,124
16.6,179,128,349,123
16.6,179,128,349,122
16.6,178,128,349,121
16.6,178,128,349,119
16.6,178,128,348,119
16.6,178,128,348,119
16.6,177,128,347,118
16.6,176,128,346,119
16.6,175,128,345,119
16.6,175,129,345,119
16.6,173,129,343,119
16.6,172,129,341,119
15.9,171,129,340,119
15.9,171,128,340,119
15.9,171,127,340,119
15.9,169,127,339,119
15.9,169,127,337,119
15.9,166,127,335,119
15.9,165,128,333,120
15.9,163,128,332,121
15.9,163,128,332,121
15.9,162,128,331,121
15.9,161,129,330,122
15.9,160,132,329,125
15.9,158,135,328,128
15.9,156,136,326,130
15.9,153,137,324,131
15.9,152,137,323,132
15.6,152,137,323,134
15.6,152,137,323,135
15.6,151,138,323,136
15.6,150,137,322,136
15.6,150,137,322,136
15.6,151,136,323,135
15.6,151,137,324,135
15.6,153,136,325,136
15.6,156,137,328,136
15.6,157,137,330,137
15.6,158,137,331,136
15.6,159,136,331,136
15.6,161,136,333,135
15.6,163,136,335,137
15.6,166,138,339,140
15.6,170,139,343,141
15.6,176,140,347,144
16.3,181,144,353,150
16.3,186,147,358,154
16.3,188,150,361,156
16.3,187,153,360,157
16.3,184,155,357,157
16.3,181,155,355,157
16.3,183,154,356,157
16.3,184,154,357,156
16.3,184,154,357,156
16.3,183,153,356,155
16.3,183,152,355,155
16.3,183,152,355,154
16.3,184,152,356,153
16.3,183,152,356,153
16.3,183,150,355,152
16.3,181,149,353,151
16.3,181,149,353,151
16.5,181,147,353,149
16.5,181,144,352,148
16.5,180,143,351,146
16.5,178,142,350,145
16.5,176,140,348,142
16.5,174,138,345,141
16.5,172,141,342,140
16.5,168,144,338,140
16.5,165,143,336,139
16.5,163,143,334,138
16.5,163,143,333,137
16.5,163,143,333,136
16.5,163,143,333,136
16.5,163,143,334,135
16.5,165,144,336,135
16.5,169,145,338,135
16.7,171,146,341,136
16.7,173,146,343,136
16.7,173,147,345,137
16.7,174,148,345,137
16.7,174,149,345,138
16.7,175,150,346,139
16.7,176,151,347,140
16.7,177,152,349,141
16.7,179,152,350,142
16.7,178,153,350,143
16.7,179,153,350,143
16.7,179,154,350,143
16.7,179,154,350,144
16.7,179,154,350,144
16.7,178,155,350,144
16.7,179,155,350,144
16.7,179,156,350,144
16.6,178,156,350,144
16.6,179,156,350,145
16.6,179,158,350,147
16.6,180,159,351,149
16.6,180,159,352,151
16.6,180,160,352,153
