FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.2,118,145,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,118,145,291,152
16.2,118,145,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.2,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,118,145,291,152
16.5,118,145,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.5,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,146,291,152
16.7,117,147,291,152
16.7,116,149,290,152
16.7,116,150,290,152
16.7,117,150,291,153
16.7,118,151,292,154
16.7,119,150,293,155
16.7,121,151,294,156
16.7,122,151,295,156
16.7,122,153,295,156
16.7,121,154,294,157
16.7,121,154,294,157
16.7,121,155,293,158
16.7,120,156,293,159
16.7,119,157,291,160
16.7,118,157,291,161
16.7,118,158,291,161
16.7,118,159,291,162
16.7,117,159,289,163
16.7,116,160,289,164
16.7,116,161,288,166
16.7,116,161,288,167
16.7,116,161,288,169
16.7,117,161,289,169
16.7,118,161,290,170
16.7,119,161,291,170
16.7,120,160,292,170
16.4,122,160,293,169
16.4,125,160,296,169
16.4,127,160,298,168
16.4,127,159,299,167
16.4,129,160,299,167
16.4,130,159,301,166
16.4,131,160,303,165
16.4,132,160,303,165
16.4,133,159,305,165
16.4,133,159,305,164
16.4,134,159,305,164
16.4,134,159,305,164
16.4,134,158,306,164
16.4,135,158,307,164
16.4,136,158,308,164
16.4,135,158,308,163
16.9,135,157,308,163
16.9,136,157,309,163
16.9,136,157,309,163
16.9,136,156,309,162
16.9,135,156,309,163
16.9,135,156,309,163
16.9,135,155,309,162
16.9,134,155,308,162
16.9,133,155,307,162
