FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,160,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.7,159,165,335,154
16.7,159,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.7,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.3,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,159,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.5,160,165,335,154
16.6,159,165,335,154
16.6,160,165,335,154
16.6,159,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,159,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.6,160,165,335,154
16.8,160,165,335,154
16.8,160,165,335,154
16.8,161,165,336,154
16.8,163,164,338,153
16.8,163,162,339,153
16.8,162,162,336,152
16.8,159,162,333,152
16.8,157,163,331,153
16.8,158,166,332,155
16.8,160,170,334,157
16.8,161,173,335,158
16.8,162,175,335,159
16.8,163,175,336,158
16.8,165,176,338,157
16.8,165,176,338,158
16.8,164,175,337,157
16.8,161,174,334,156
16.8,161,174,333,156
16.8,162,173,335,154
16.8,163,172,337,154
16.8,164,171,337,152
16.8,162,171,335,152
16.8,161,170,333,150
16.8,161,168,333,147
16.8,163,166,336,144
16.8,164,164,337,141
16.8,165,162,337,140
16.8,165,163,337,142
16.8,165,163,337,141
16.8,165,163,337,141
16.8,165,164,338,142
16.8,167,164,339,145
16.8,168,166,341,148
16.6,168,168,341,149
16.6,167,168,341,150
16.6,168,169,341,152
16.6,169,169,342,153
16.6,169,170,343,154
16.6,170,171,343,154
16.6,170,172,343,155
16.6,171,173,344,155
16.6,172,174,345,156
16.6,173,174,346,156
16.6,173,174,346,156
16.6,173,174,346,156
16.6,173,175,346,156
16.6,174,175,347,156
16.6,175,176,348,157
16.6,176,176,349,157
16.6,176,176,350,157
16.6,177,176,350,157
16.6,177,176,350,157
16.6,177,175,350,156
16.6,176,175,350,156
16.6,177,174,351,156
16.6,177,174,351,156
16.6,177,173,351,156
16.6,177,172,351,155
16.6,177,171,352,155
16.6,177,170,352,154
16.6,178,168,352,154
16.6,177,166,352,153
16.6,178,165,352,152
16.6,178,163,353,152
16.6,179,162,354,151
16.6,179,160,355,150
16.6,180,158,355,148
16.6,180,157,355,147
16.6,179,154,354,146
16.6,179,152,354,145
16.6,180,152,355,145
16.6,181,150,356,145
16.6,182,150,357,145
16.6,183,149,358,144
16.6,183,148,357,144
16.6,181,147,357,144
16.6,182,147,357,143
16.6,182,146,357,143
16.6,183,146,358,143
16.6,183,146,358,143
16.6,183,146,358,143
16.6,183,146,358,143
16.6,183,146,358,143
16.7,183,145,358,143
16.7,183,145,358,143
16.7,183,145,358,143
16.7,183,146,358,144
16.7,183,146,358,144
16.7,183,146,358,144
16.7,183,146,358,144
16.7,183,147,358,144
16.7,184,149,358,145
16.7,184,149,358,145
16.7,184,149,358,145
16.7,184,150,359,145
16.7,185,151,360,146
16.7,186,152,360,147
16.7,185,153,360,148
16.7,185,155,360,148
16.7,186,156,360,149
16.9,187,158,362,150
16.9,189,160,363,151
16.9,191,160,365,151
16.9,191,161,366,152
16.9,191,161,366,152
16.9,192,162,366,152
16.9,195,164,368,153
16.9,197,166,371,153
16.9,197,167,371,153
16.9,198,168,371,152
16.9,199,168,373,151
16.9,202,167,375,148
16.9,204,165,377,146
16.9,205,165,379,143
16.9,206,164,379,141
16.9,208,164,381,140
16.4,208,164,381,140
16.4,208,164,381,139
16.4,208,163,381,137
16.4,208,162,381,136
16.4,208,162,381,135
16.4,208,161,381,134
16.4,207,160,380,133
16.4,206,158,379,133
16.4,205,158,378,133
16.4,205,158,378,133
16.4,205,158,378,133
16.4,205,158,378,133
16.4,205,157,379,133
16.4,205,157,379,132
16.4,206,157,379,132
16.4,205,157,378,132
16.4,205,157,378,133
16.9,205,157,378,133
16.9,205,157,378,133
16.9,204,156,378,132
16.9,204,154,377,132
