FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,118,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,118,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.7,117,158,291,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,118,157,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,291,178
16.2,117,158,291,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.1,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,117,158,290,178
16.2,118,157,290,178
16.2,118,157,291,178
16.2,118,158,291,180
16.2,118,155,291,179
16.2,119,155,291,179
16.2,121,157,293,180
16.2,123,159,296,181
16.2,125,160,298,182
16.2,126,161,299,183
16.2,127,163,300,186
16.2,125,167,299,186
16.2,123,168,296,187
16.2,120,170,293,187
16.2,119,172,291,188
16.9,117,173,289,188
16.9,115,174,286,188
16.9,112,176,283,187
16.9,110,175,282,184
16.9,112,174,283,181
16.9,112,173,284,180
16.9,114,171,286,178
16.9,114,169,287,177
16.9,116,166,288,177
16.9,116,163,289,176
16.9,116,162,289,176
16.9,116,161,289,175
16.9,117,161,291,176
16.9,119,162,293,179
16.9,122,162,295,184
16.9,124,164,296,192
16.9,127,165,299,196
16.8,128,166,300,198
16.8,128,164,301,198
16.8,128,164,301,196
16.8,130,162,302,194
16.8,132,163,304,194
16.8,132,165,304,195
16.8,130,165,303,194
16.8,129,165,301,193
16.8,128,167,300,193
16.8,128,168,301,193
16.8,129,169,301,193
16.8,128,169,301,193
16.8,129,168,300,191
16.8,128,167,299,189
16.8,126,167,297,189
16.8,125,167,296,189
16.8,125,167,297,188
16.8,125,168,297,189
16.8,125,168,297,188
16.8,125,167,297,188
16.8,125,166,297,187
16.8,126,165,297,187
16.8,125,164,297,187
16.8,125,164,297,187
16.8,126,164,298,187
16.8,126,164,298,187
16.8,125,162,297,187
16.8,124,161,297,187
16.8,124,160,296,188
16.8,124,160,297,189
16.8,122,159,296,189
16.8,121,158,295,189
16.8,120,157,294,189
16.8,119,157,293,189
16.8,118,158,292,190
16.8,117,158,291,190
16.8,116,159,290,190
16.8,116,159,290,190
16.8,116,160,291,191
16.8,116,161,292,192
16.8,116,162,291,192
16.8,117,164,292,193
16.8,118,166,293,194
16.8,119,166,294,194
16.8,120,168,295,195
16.8,120,170,296,195
16.8,122,172,297,196
16.8,122,173,297,196
16.8,122,172,296,194
16.9,121,169,294,192
16.9,119,169,293,190
16.9,118,169,292,189
16.9,119,169,293,189
16.9,121,168,295,188
16.9,123,169,296,189
16.9,123,169,296,187
16.9,123,167,295,185
16.9,122,165,295,184
16.9,121,164,294,182
16.9,121,163,293,181
16.9,122,163,295,180
16.9,124,163,296,178
16.9,124,163,296,179
16.9,124,162,296,179
16.9,124,161,296,178
16.9,123,160,295,177
16.3,122,159,294,177
16.3,122,159,294,176
16.3,123,157,295,174
16.3,124,155,296,172
16.3,126,153,297,170
16.3,126,152,298,170
16.3,125,152,297,169
16.3,125,150,296,168
16.3,124,150,296,168
16.3,125,150,296,169
16.3,123,148,295,168
16.3,123,148,294,168
16.3,121,148,293,167
16.3,122,147,293,167
16.3,122,147,294,166
16.3,122,148,294,166
16.9,122,149,295,170
16.9,122,151,294,176
16.9,123,154,294,182
16.9,123,157,295,187
16.9,123,160,295,190
16.9,123,162,295,193
16.9,122,163,294,195
16.9,121,164,293,195
16.9,120,165,293,196
16.9,120,165,293,196
16.9,119,165,292,196
16.9,119,165,292,196
16.9,119,165,292,196
16.9,119,165,292,196
16.9,119,164,292,196
16.9,119,164,292,196
16.9,119,164,292,197
16.9,118,164,292,197
16.5,118,164,292,197
16.5,118,164,292,197
16.5,119,166,292,197
16.5,119,166,292,198
16.5,118,168,291,199
16.5,118,168,291,200
16.5,118,169,291,201
16.5,119,170,292,202
16.5,120,172,293,203
16.5,120,174,293,203
16.5,120,175,293,203
16.5,120,176,294,203
16.5,120,177,293,203
16.5,120,178,293,203
16.5,120,180,293,203
16.5,121,182,294,204
16.6,123,184,296,204
16.6,124,186,297,204
16.6,125,186,298,204
16.6,125,186,298,203
16.6,126,187,298,204
16.6,126,189,298,204
16.6,127,190,299,204
16.6,127,190,299,204
16.6,128,190,300,204
16.6,128,191,300,203
16.6,127,192,298,202
16.6,125,192,297,200
16.6,125,192,297,198
16.6,125,192,297,197
16.6,124,192,296,196
16.6,125,192,297,194
16.6,125,192,298,194
16.4,126,191,298,193
16.4,126,190,298,192
16.4,126,188,298,190
16.4,125,188,297,189
16.4,125,187,297,189
16.4,125,187,297,189
16.4,125,187,298,189
16.4,125,187,298,189
16.4,125,187,297,189
16.4,125,188,297,189
16.4,125,188,297,189
16.4,124,187,297,189
16.4,123,187,296,190
16.4,123,186,296,190
16.4,123,185,296,190
16.4,123,184,297,191
16.3,124,184,298,192
16.3,124,184,298,194
16.3,123,184,298,196
16.3,123,184,297,197
16.3,123,184,298,199
16.3,123,185,297,201
16.3,122,185,297,202
16.3,122,184,297,202
16.3,122,185,297,203
16.3,123,184,297,203
16.3,124,184,298,204
16.3,123,182,297,204
16.3,123,181,297,203
16.3,124,181,298,203
16.3,124,182,298,204
16.3,124,184,298,205
16.3,123,184,297,205
16.4,122,184,297,205
16.4,123,186,297,205
16.4,123,186,297,205
16.4,123,187,297,204
16.4,122,189,296,204
16.4,122,190,297,204
16.4,123,192,297,204
16.4,123,193,297,204
16.4,124,197,297,203
16.4,124,200,298,203
16.4,126,203,299,203
16.4,126,206,299,203
16.4,128,208,300,203
16.4,128,212,300,204
16.4,130,215,301,205
16.4,131,217,303,205
16.7,131,218,303,205
16.7,132,218,303,205
16.7,132,218,303,205
16.7,131,218,303,204
16.7,133,218,303,205
16.7,134,218,305,205
16.7,135,218,306,206
16.7,136,217,307,206
16.7,137,217,309,205
16.7,138,216,309,205
16.7,139,216,310,205
16.7,140,216,311,205
16.7,139,215,311,204
16.7,139,214,311,203
16.7,140,215,312,204
16.7,142,217,314,204
16.7,144,219,315,205
16.4,144,218,317,205
16.4,145,218,317,204
16.4,145,217,318,204
16.4,146,215,319,203
16.4,146,214,319,202
16.4,145,211,317,200
16.4,141,210,314,199
16.4,139,210,310,198
16.4,137,209,310,198
16.4,139,211,311,198
16.4,140,210,311,198
16.4,139,210,311,197
16.4,137,210,309,197
16.4,135,210,307,197
16.4,135,210,307,197
16.4,137,210,309,196
16.4,136,212,308,196
16.0,135,213,307,196
16.0,133,213,305,196
16.0,132,213,305,197
16.0,131,214,303,197
16.0,129,213,302,197
16.0,127,214,301,197
16.0,127,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,128,213,301,197
16.0,129,215,302,198
16.3,130,217,304,199
16.3,131,216,305,199
16.3,130,214,305,197
16.3,128,212,303,196
16.3,127,210,301,195
16.3,127,210,302,194
16.3,129,211,303,194
16.3,133,212,306,196
16.3,137,213,310,196
16.3,141,214,314,198
16.3,145,216,318,198
16.3,147,219,321,200
16.3,149,222,322,200
16.3,151,224,323,201
16.3,150,224,323,201
16.3,150,225,322,201
15.9,151,225,323,201
15.9,152,226,324,202
15.9,152,226,324,202
15.9,153,226,324,202
15.9,153,227,324,202
15.9,153,227,325,202
15.9,154,227,325,202
15.9,155,226,326,201
15.9,155,226,327,201
15.9,156,224,328,200
15.9,157,224,329,199
15.9,157,224,329,199
15.9,156,224,328,199
15.9,156,223,328,198
15.9,156,222,328,198
15.9,157,223,329,199
15.9,158,223,331,199
15.9,159,223,331,199
16.7,159,224,332,200
16.7,160,227,332,201
16.7,160,229,333,201
16.7,162,231,334,202
16.7,162,232,335,203
16.7,162,233,334,204
16.7,161,233,333,205
16.7,160,233,333,205
16.7,160,234,332,204
16.7,159,235,331,204
16.7,158,235,329,204
16.7,157,236,328,204
16.7,155,236,326,203
16.7,154,236,325,202
16.7,154,236,324,202
16.7,154,236,323,200
16.2,154,237,324,200
16.2,154,237,323,199
16.2,153,237,321,199
16.2,152,237,321,199
16.2,152,237,321,198
16.2,151,236,319,197
16.2,149,236,318,197
16.2,149,236,317,197
16.2,146,236,314,197
16.2,144,236,313,197
16.2,146,235,314,196
16.2,147,233,315,195
16.2,148,233,317,195
16.2,149,233,316,194
16.2,148,233,315,193
16.2,149,233,315,193
16.2,149,233,316,194
16.8,150,235,316,195
16.8,152,236,317,196
16.8,153,237,319,196
16.8,156,238,321,196
16.8,160,240,324,196
16.8,163,241,327,197
16.8,167,242,331,197
16.8,169,243,333,196
16.8,171,243,335,196
16.8,171,244,335,196
16.8,172,245,336,196
16.8,173,245,337,197
16.8,173,245,337,197
16.8,173,245,338,196
16.8,175,244,339,196
16.8,175,243,340,196
16.8,175,242,341,196
16.8,175,241,341,197
16.8,175,241,342,197
16.8,175,240,343,199
16.8,176,239,345,200
