FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.3,150,163,325,165
16.3,150,162,325,165
16.3,150,163,325,165
16.3,150,163,325,165
16.3,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,166
15.8,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,165
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
15.8,150,163,325,166
16.5,150,163,325,166
16.5,150,163,325,166
16.5,149,163,325,166
16.5,150,163,325,166
16.5,149,163,325,166
16.5,149,164,324,166
16.5,149,163,325,166
16.5,149,164,325,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.5,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,164,324,166
16.8,149,162,323,165
16.8,148,165,321,166
16.8,147,167,321,165
16.8,151,168,324,164
16.8,152,167,327,163
16.8,153,167,327,163
16.8,151,168,325,163
16.8,149,168,324,163
16.8,150,168,325,163
16.8,152,167,327,164
16.8,153,166,327,164
16.8,152,164,327,164
16.8,152,163,327,164
16.8,152,163,327,165
16.8,153,163,327,165
16.8,153,168,325,167
16.8,150,172,323,170
16.8,147,174,320,173
16.5,146,176,319,176
16.5,145,178,319,176
16.5,145,178,317,178
16.5,144,179,317,179
16.5,145,180,317,182
16.5,148,180,319,184
16.5,150,181,322,186
16.5,152,180,324,189
16.5,152,182,325,190
16.5,152,182,325,191
16.5,153,183,325,192
16.5,153,183,325,192
16.5,154,182,326,192
