FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.9,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,299,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,126,178,300,165
16.3,127,178,300,165
16.3,129,178,302,166
16.3,133,178,306,166
16.3,137,177,311,169
16.3,141,180,313,171
16.3,142,183,315,173
16.3,143,184,315,175
16.3,143,185,315,176
16.3,145,186,317,176
16.3,145,185,316,175
16.3,143,183,313,174
16.3,142,182,312,173
16.5,142,181,312,172
16.5,141,180,311,172
16.5,140,180,311,171
16.5,140,180,310,170
16.5,142,180,312,168
16.5,144,180,313,168
16.5,145,180,315,167
16.5,147,180,317,166
16.5,148,180,318,166
16.5,149,180,319,165
16.5,149,180,320,165
16.5,151,180,321,164
16.5,152,178,322,163
16.5,152,178,323,162
16.5,152,178,322,162
16.5,153,179,323,161
16.5,154,179,324,161
16.6,155,179,325,161
16.6,155,180,325,162
16.6,155,180,325,162
16.6,155,179,325,162
16.6,155,180,326,163
16.6,157,181,327,164
16.6,159,181,330,163
16.6,166,174,336,158
16.6,176,165,344,150
16.6,181,156,351,138
16.6,187,154,354,129
16.6,189,154,356,128
16.6,187,153,354,126
16.6,183,154,351,125
16.6,181,156,348,126
16.6,182,158,350,127
16.5,183,160,351,128
16.5,182,160,350,129
16.5,181,160,349,130
16.5,180,161,349,131
16.5,180,161,349,133
16.5,179,162,348,133
16.5,179,163,348,135
16.5,178,164,348,136
16.5,178,166,348,139
16.5,179,168,348,141
16.5,179,170,349,144
16.5,179,171,349,146
16.5,179,173,350,149
16.5,179,174,349,151
16.5,181,174,351,151
16.5,183,174,353,150
16.5,184,173,353,149
16.6,184,172,353,149
16.6,184,175,352,150
16.6,185,179,353,151
16.6,186,179,354,151
16.6,187,179,354,151
16.6,186,180,353,151
16.6,187,181,353,151
16.6,187,184,354,152
16.6,188,183,355,150
16.6,188,183,355,150
16.6,188,184,355,150
16.6,188,184,355,150
16.6,188,184,356,151
16.6,188,185,356,151
16.6,188,185,355,151
16.6,188,186,356,151
16.6,188,185,355,151
16.6,187,185,355,152
16.6,186,185,354,151
16.6,186,185,354,151
16.6,186,185,353,151
16.6,186,184,353,151
16.6,185,184,353,151
16.6,184,185,352,151
16.6,183,184,351,150
16.6,182,185,350,151
16.6,182,184,350,150
16.6,181,184,349,150
16.6,180,183,348,149
16.6,180,183,348,150
16.6,180,183,348,150
16.6,179,183,347,151
16.6,179,183,347,152
16.7,181,183,349,156
16.7,182,184,351,159
16.7,183,185,353,164
16.7,182,188,352,165
16.7,182,190,352,164
16.7,181,190,351,164
16.7,180,192,349,165
16.7,179,193,349,165
16.7,179,194,349,166
16.7,179,195,349,166
16.7,179,196,348,166
16.7,179,196,348,167
16.7,180,197,348,167
16.7,180,197,348,166
16.7,179,197,348,166
16.7,179,197,347,167
16.7,179,197,347,167
16.4,180,196,348,167
16.4,180,196,349,167
16.4,181,196,349,166
16.4,181,196,349,167
16.4,181,196,350,166
16.4,181,196,350,165
16.4,182,196,350,165
16.4,184,196,352,164
16.4,185,196,353,165
16.4,185,196,353,164
16.4,186,196,353,164
16.4,186,196,353,164
16.4,187,196,354,163
16.4,187,196,355,163
16.4,187,196,355,163
16.4,188,196,355,163
16.3,188,196,355,163
16.3,188,196,355,163
16.3,188,196,355,163
16.3,188,196,356,162
16.3,188,196,355,162
16.3,188,196,355,162
16.3,188,196,355,161
16.3,188,197,355,161
16.3,188,198,355,160
16.3,189,198,355,159
16.3,189,198,354,157
16.3,188,198,354,156
16.3,189,199,354,156
16.3,190,199,356,155
16.3,191,199,356,154
16.3,192,198,356,152
16.3,193,199,358,151
16.4,195,199,360,150
16.4,196,199,360,149
16.4,197,199,360,147
16.4,198,198,361,147
16.4,197,197,360,146
16.4,196,197,359,146
16.4,194,198,357,147
16.4,192,198,355,147
16.4,190,198,353,148
16.4,188,196,352,147
16.4,186,194,350,146
16.4,185,194,349,146
16.4,185,193,349,146
16.4,185,194,349,146
16.4,184,193,349,146
16.4,184,192,349,146
16.6,184,192,349,146
16.6,185,194,349,146
16.6,185,194,349,147
16.6,184,194,349,147
16.6,183,194,348,147
16.6,183,194,348,148
