BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.6,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,281,206,106
186,16.1,280,206,106
186,16.1,280,206,106
186,16.1,280,207,106
186,16.1,279,206,105
186,16.1,279,206,105
184,16.1,278,206,105
184,16.1,277,205,104
183,16.5,277,205,104
180,16.5,275,204,103
180,16.5,274,204,102
180,16.5,274,204,102
180,16.5,274,204,102
179,16.5,274,203,103
176,16.5,271,202,102
176,16.5,269,201,100
174,16.5,268,201,98
174,16.5,268,201,98
174,16.5,268,200,99
174,16.5,268,200,99
172,16.5,267,198,99
172,16.5,267,197,98
172,16.5,267,197,98
172,16.5,269,198,99
173,16.6,268,198,100
173,16.6,266,197,98
172,16.6,264,196,96
174,16.6,263,198,96
173,16.6,263,198,96
173,16.6,265,198,97
173,16.6,266,199,98
173,16.6,266,198,98
173,16.6,266,198,98
173,16.6,266,198,98
172,16.6,266,197,98
172,16.6,267,197,99
172,16.6,267,197,99
172,16.6,267,197,99
171,16.6,267,196,100
170,16.6,266,195,98
170,16.6,267,195,98
170,16.5,267,194,100
169,16.5,268,194,100
170,16.5,268,194,100
170,16.5,268,194,100
170,16.5,269,194,101
169,16.5,268,194,101
168,16.5,268,193,100
168,16.5,267,192,99
168,16.5,267,192,99
166,16.5,267,192,99
167,16.5,267,192,99
167,16.5,266,191,98
166,16.5,265,191,98
166,16.5,266,191,97
166,16.5,266,190,97
166,16.5,266,188,98
165,16.5,268,186,99
165,16.3,267,185,98
165,16.3,267,184,98
165,16.3,267,183,98
164,16.3,267,182,98
164,16.3,267,182,98
164,16.3,267,181,97
164,16.3,266,180,97
164,16.3,267,180,97
164,16.3,267,179,98
163,16.3,267,178,97
163,16.3,267,178,97
162,16.3,267,177,97
161,16.3,267,176,97
