BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
175,16.5,324,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,325,163,147
175,16.5,324,163,147
175,16.5,324,163,147
176,16.5,324,163,147
175,16.5,324,163,147
175,16.5,325,163,147
176,16.5,325,164,148
176,16.0,325,164,148
176,16.0,326,164,149
176,16.0,327,165,150
176,16.0,328,166,151
177,16.0,329,166,151
178,16.0,329,167,151
178,16.0,329,169,152
180,16.0,330,170,153
182,16.0,331,171,153
183,16.0,332,173,155
184,16.0,332,174,156
186,16.0,333,175,157
187,16.0,335,177,157
188,16.0,335,177,158
188,16.0,334,178,158
190,16.0,333,179,157
192,16.5,333,179,158
192,16.5,335,180,160
193,16.5,336,181,161
193,16.5,335,181,161
190,16.5,330,180,158
190,16.5,325,181,153
191,16.5,325,181,152
191,16.5,327,182,154
191,16.5,329,183,157
192,16.5,331,184,158
192,16.5,331,185,158
192,16.5,331,185,158
194,16.5,331,185,158
194,16.5,331,186,158
196,16.5,333,187,159
198,16.5,335,189,162
199,16.5,338,191,165
200,16.3,340,192,167
202,16.3,342,193,169
202,16.3,342,193,169
203,16.3,342,194,169
204,16.3,343,195,170
205,16.3,344,195,171
204,16.3,344,195,170
205,16.3,344,195,170
205,16.3,345,195,172
204,16.3,345,195,172
204,16.3,345,195,172
204,16.3,345,195,172
205,16.3,346,195,173
206,16.3,347,195,174
205,16.3,348,195,174
204,16.3,347,195,174
204,16.4,347,194,173
203,16.4,347,194,173
202,16.4,347,194,173
202,16.4,348,194,174
202,16.4,348,194,173
200,16.4,348,193,174
200,16.4,349,193,174
198,16.4,349,192,175
197,16.4,349,191,175
194,16.4,349,190,175
194,16.4,349,189,175
193,16.4,349,189,175
192,16.4,349,188,175
192,16.4,348,188,174
191,16.4,348,187,174
