FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.4,143,212,317,191
16.4,143,212,317,191
16.4,143,212,317,191
16.4,143,211,317,191
16.4,143,211,318,191
16.4,144,212,318,192
15.9,144,212,319,192
15.9,144,212,319,193
15.9,145,212,319,193
15.9,145,212,320,194
15.9,147,212,321,193
15.9,148,212,323,194
15.9,148,213,323,194
15.9,147,213,323,194
15.9,148,214,323,195
15.9,148,215,324,195
15.9,149,216,324,196
15.9,150,217,325,197
15.9,150,218,325,197
15.9,150,219,326,198
15.9,151,219,327,199
15.9,151,219,327,199
15.9,151,220,327,199
16.3,152,220,327,200
16.3,152,220,327,200
16.3,151,219,325,198
16.3,149,217,322,196
16.3,148,216,321,193
16.3,147,216,320,191
16.3,147,215,319,189
16.3,146,214,318,188
16.3,145,213,317,187
16.3,144,212,315,185
16.3,143,211,314,184
16.3,143,211,313,183
16.3,143,210,314,182
16.3,143,210,314,182
16.3,144,210,314,182
16.3,144,210,315,181
16.2,145,210,315,181
16.2,146,210,317,181
16.2,147,210,318,181
16.2,148,211,320,181
16.2,150,211,322,181
16.2,151,212,324,182
16.2,154,212,326,182
16.2,156,213,329,183
16.2,159,214,332,185
16.2,162,215,336,185
16.2,165,213,338,183
16.2,165,211,338,182
16.2,165,210,338,180
16.2,165,209,338,179
16.2,165,208,338,178
16.2,167,208,339,178
16.2,168,206,341,177
16.3,169,205,342,177
16.3,170,204,343,177
16.3,171,204,344,177
16.3,172,203,345,177
16.3,172,202,345,176
16.3,173,202,345,175
16.3,173,201,345,173
16.3,173,201,345,172
16.3,173,201,345,171
16.3,175,200,347,171
16.3,176,200,348,171
16.3,177,200,348,172
16.3,176,200,348,172
16.3,176,200,349,173
16.3,177,200,349,173
16.3,178,200,350,173
16.7,178,201,350,173
16.7,179,202,351,174
16.7,181,203,351,176
16.7,181,206,352,178
16.7,181,207,352,179
16.7,180,208,351,180
16.7,180,209,351,181
16.7,181,210,352,181
16.7,181,209,351,181
16.7,178,207,347,180
16.7,176,207,345,180
16.7,175,207,344,180
16.7,175,208,344,180
16.7,175,207,343,180
16.7,173,208,341,179
16.7,173,208,341,179
16.7,172,208,339,179
17.0,171,210,338,179
17.0,169,211,337,180
17.0,167,212,335,182
17.0,166,214,333,182
17.0,165,214,333,183
17.0,165,215,332,183
17.0,164,216,331,183
17.0,163,216,330,183
17.0,162,216,329,182
17.0,161,215,327,182
17.0,161,215,327,181
17.0,160,216,327,181
17.0,160,215,326,180
17.0,160,214,326,178
17.0,159,214,325,178
17.0,159,214,325,177
17.0,159,213,325,175
16.9,159,212,325,174
16.9,159,211,325,174
16.9,159,210,325,173
16.9,159,209,325,171
16.9,158,208,324,170
16.9,157,208,323,170
16.9,157,208,323,170
16.9,158,208,324,169
16.9,157,208,324,169
16.9,157,208,323,168
16.9,157,207,322,167
16.9,156,207,322,167
16.9,157,207,322,167
16.9,159,208,324,168
16.9,160,209,326,168
16.9,161,210,327,168
16.7,161,210,328,169
16.7,161,210,328,168
16.7,161,210,328,168
16.7,161,210,328,168
16.7,161,210,327,168
16.7,161,210,327,167
16.7,161,209,327,167
16.7,161,210,327,167
16.7,161,210,328,167
16.7,161,210,328,168
16.7,160,209,327,168
16.7,159,209,327,169
16.7,160,209,327,170
16.7,160,210,328,170
16.7,160,210,327,170
16.7,160,211,328,170
16.7,161,212,328,170
16.9,161,214,329,170
16.9,162,215,329,171
16.9,162,215,329,171
16.9,162,216,329,171
16.9,163,218,330,172
16.9,164,218,331,174
16.9,165,220,332,175
16.9,166,220,333,175
16.9,167,222,333,177
16.9,167,223,335,179
16.9,169,225,336,182
16.9,170,226,337,184
16.9,170,226,337,184
16.9,170,226,337,185
16.9,170,226,338,187
16.9,171,227,339,188
16.9,171,227,339,189
16.5,170,228,338,190
16.5,171,229,339,190
16.5,171,229,339,191
16.5,171,229,339,191
16.5,170,230,337,192
16.5,171,229,338,191
16.5,171,229,338,192
16.5,170,229,337,192
16.5,171,229,338,192
16.5,171,230,338,192
16.5,171,229,338,192
16.5,171,229,338,191
16.5,171,229,337,191
16.5,170,228,337,190
16.5,169,228,336,190
16.2,169,227,336,190
16.2,169,227,336,189
16.2,167,226,335,189
16.2,167,226,334,189
16.2,167,225,334,189
16.2,166,225,334,189
16.2,166,224,334,189
16.2,165,223,333,188
16.2,165,222,333,188
16.2,164,221,332,188
16.2,163,219,332,188
16.2,163,219,331,188
16.2,162,218,331,188
16.2,162,218,330,188
16.2,161,218,330,187
16.2,161,217,329,187
15.6,160,217,327,185
15.6,159,216,326,184
15.6,157,216,325,182
15.6,157,215,324,182
15.6,156,215,323,182
15.6,155,215,322,181
15.6,154,215,321,180
15.6,154,215,320,179
15.6,153,215,319,179
15.6,153,215,319,178
15.6,152,215,317,178
15.6,150,215,317,179
15.6,150,216,316,180
15.6,150,216,317,180
15.6,150,217,317,180
15.6,150,217,317,181
15.6,150,217,317,181
16.3,150,218,317,181
16.3,150,219,317,180
16.3,151,220,317,180
16.3,151,221,319,181
16.3,153,222,319,182
16.3,153,222,321,182
16.3,154,222,321,182
16.3,155,222,323,183
16.3,156,220,324,183
16.3,157,220,326,182
16.3,159,220,327,182
16.3,161,220,329,182
16.3,163,219,331,182
16.3,163,220,332,181
16.3,165,219,333,181
16.3,167,219,335,181
16.3,168,219,337,181
16.3,169,218,339,181
16.3,171,218,341,181
16.3,172,217,343,181
16.3,174,217,344,180
16.3,177,217,347,180
16.3,178,216,349,180
16.3,179,216,350,180
16.3,179,215,351,179
16.3,180,215,352,179
16.3,181,215,353,179
16.3,183,214,355,179
16.3,184,214,356,179
16.3,184,214,357,179
16.3,185,213,357,178
16.3,185,213,358,178
16.3,185,213,358,178
16.5,185,213,358,178
16.5,186,212,358,178
16.5,186,212,359,178
16.5,186,211,358,177
16.5,185,211,358,177
16.5,184,210,356,177
16.5,183,210,354,176
16.5,181,209,353,175
16.5,181,208,353,175
16.5,181,207,353,175
16.5,181,207,353,175
16.5,180,207,352,175
16.5,179,207,351,175
16.5,179,207,351,175
16.5,179,208,350,176
16.5,177,209,349,176
16.7,177,209,348,176
16.7,177,210,348,177
16.7,176,210,348,177
16.7,176,210,347,178
16.7,176,211,347,178
16.7,176,212,347,179
16.7,176,212,347,179
16.7,177,212,347,179
16.7,175,212,346,178
16.7,175,212,346,177
16.7,174,212,345,178
16.7,174,211,345,178
16.7,173,212,344,179
16.7,172,214,343,179
16.7,172,214,343,180
16.7,172,216,343,181
16.7,172,218,342,182
16.5,171,220,341,183
16.5,171,222,340,184
16.5,171,226,339,186
16.5,171,230,339,188
16.5,171,235,338,190
16.5,170,238,337,191
16.5,169,240,336,191
16.5,169,241,335,192
16.5,169,244,335,192
16.5,169,245,334,192
16.5,169,245,333,191
16.5,168,247,333,191
16.5,168,246,332,191
16.5,167,247,331,191
16.5,167,247,330,191
16.5,167,247,330,191
16.5,167,248,330,191
16.4,166,248,329,191
16.4,166,248,329,191
16.4,167,248,329,191
16.4,167,248,330,191
16.4,169,248,331,191
16.4,171,248,334,191
16.4,174,248,337,190
16.4,175,247,339,190
16.4,176,248,339,190
16.4,177,248,340,191
16.4,179,247,342,190
16.4,180,248,343,189
16.4,180,248,343,190
16.4,180,249,343,189
16.4,180,249,343,190
16.4,180,249,343,190
16.3,181,248,344,191
16.3,183,247,346,192
16.3,185,247,349,193
16.3,186,247,350,193
16.3,186,247,351,194
16.3,187,247,351,194
16.3,187,247,352,194
16.3,188,247,353,195
16.3,189,247,354,195
16.3,189,247,354,195
16.3,189,246,354,195
16.3,188,247,354,195
16.3,189,247,355,195
16.3,190,247,355,195
16.3,191,247,356,195
16.3,191,248,356,195
16.3,190,247,355,195
16.6,189,248,354,195
16.6,189,248,355,195
16.6,190,248,355,195
16.6,189,247,355,195
16.6,189,247,353,195
16.6,188,248,353,195
16.6,188,248,353,195
16.6,187,248,352,195
16.6,186,248,351,194
16.6,185,248,350,194
16.6,186,250,350,195
16.6,186,250,351,194
16.6,186,251,350,194
16.6,185,251,348,194
16.6,184,251,347,194
16.6,184,251,347,194
16.6,183,251,346,194
16.9,182,251,344,193
16.9,181,251,343,193
16.9,180,251,342,193
16.9,180,252,342,193
16.9,180,252,342,192
16.9,180,252,342,192
16.9,181,251,343,191
16.9,181,252,343,191
16.9,180,253,343,192
16.9,181,253,343,192
16.9,181,255,343,193
16.9,181,255,343,193
16.9,181,256,343,195
16.9,181,256,344,195
16.9,182,257,345,196
16.9,183,257,345,196
16.4,183,258,346,196
16.4,184,259,347,196
16.4,184,259,347,196
16.4,185,259,347,196
16.4,184,259,347,196
16.4,184,259,347,196
16.4,185,259,347,196
16.4,185,258,348,196
16.4,186,259,349,195
16.4,186,259,349,195
16.4,187,259,350,196
16.4,187,259,350,196
16.4,187,260,350,196
16.4,187,259,350,196
16.4,187,259,350,196
16.4,187,259,351,197
16.4,187,259,352,198
16.9,187,258,353,198
16.9,188,258,353,199
16.9,187,258,353,199
16.9,188,257,353,199
16.9,188,257,354,200
16.9,188,257,354,200
16.9,188,257,355,200
16.9,189,256,355,200
16.9,189,256,356,200
16.9,189,256,356,200
16.9,191,255,357,199
16.9,191,254,358,199
16.9,191,255,359,200
16.9,192,255,359,199
16.9,192,254,359,200
16.9,192,254,359,199
16.5,191,254,359,199
16.5,192,254,359,200
16.5,192,254,359,200
16.5,192,255,359,200
16.5,192,254,359,200
16.5,192,254,359,200
16.5,192,254,359,200
16.5,193,254,360,200
16.5,193,253,360,200
16.5,194,253,361,200
16.5,194,255,360,201
16.5,193,257,359,203
16.5,193,257,359,203
16.5,194,258,359,203
16.5,194,259,359,204
16.5,193,259,359,205
16.5,193,260,358,205
16.7,194,261,358,206
16.7,194,261,359,206
16.7,194,261,359,207
16.7,194,263,357,207
16.7,193,263,357,207
16.7,195,263,358,207
16.7,196,266,358,208
16.7,195,268,357,208
16.7,194,267,356,207
16.7,194,267,356,207
16.7,195,267,356,206
16.7,194,266,355,205
16.7,193,266,353,203
16.7,193,266,353,203
16.7,193,266,352,202
16.7,192,265,352,200
16.7,191,265,351,199
16.8,191,264,351,199
16.8,191,263,351,198
16.8,191,263,351,197
16.8,191,262,351,196
16.8,192,261,352,195
16.8,193,261,353,193
16.8,194,259,355,192
16.8,195,259,356,191
16.8,196,257,357,190
16.8,197,256,359,189
16.8,198,255,360,189
16.8,199,254,362,188
16.8,200,253,363,187
16.8,201,251,365,186
16.8,203,250,367,185
16.8,203,249,368,184
16.6,204,247,369,183
16.6,205,246,370,183
16.6,205,245,371,183
16.6,205,244,371,182
16.6,206,243,371,183
16.6,205,243,372,182
16.6,206,242,372,183
16.6,206,242,372,183
16.6,206,242,372,184
16.6,207,242,373,184
16.6,207,242,374,185
16.6,207,240,374,185
16.6,207,240,374,186
16.6,207,239,375,186
16.6,208,239,375,187
16.6,209,240,377,187
16.6,209,241,377,188
16.5,209,240,377,188
16.5,210,242,377,189
16.5,210,245,376,191
16.5,209,246,376,192
16.5,209,247,375,193
16.5,208,248,374,194
16.5,208,250,373,195
16.5,206,252,371,196
16.5,204,255,368,198
16.5,203,258,367,200
16.5,203,260,366,202
16.5,201,263,365,204
16.5,200,263,363,205
16.5,198,263,361,205
16.5,197,262,360,205
16.5,196,262,359,205
16.5,196,262,359,205
16.5,196,261,359,205
16.5,197,261,360,205
16.5,197,262,361,205
16.5,197,262,361,205
16.5,197,262,360,205
16.5,197,262,360,205
16.5,197,261,360,204
16.5,197,261,360,204
16.5,197,262,360,204
16.5,197,262,360,204
16.5,197,261,360,204
16.5,197,261,360,204
16.5,197,262,360,204
16.5,196,263,360,205
16.5,196,262,360,205
16.5,195,262,360,204
16.5,196,262,361,205
16.7,197,263,361,205
16.7,197,262,362,204
16.7,197,261,363,203
16.7,197,260,363,203
16.7,197,259,363,202
16.7,197,257,363,201
16.7,196,257,363,201
16.7,195,256,363,201
16.7,195,256,363,201
16.7,195,256,361,201
16.7,193,256,360,201
16.7,193,255,360,200
16.7,192,255,360,199
16.7,191,255,359,200
16.7,191,254,359,200
16.7,190,254,358,200
16.7,190,254,358,201
16.7,190,255,358,203
16.7,189,256,358,205
16.7,189,257,357,207
16.7,187,258,356,208
16.7,186,259,355,211
16.7,187,259,356,213
16.7,187,261,356,214
