FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,141,204,311,190
16.7,141,204,311,190
16.7,141,204,311,190
15.4,140,204,311,190
15.4,141,204,311,190
15.4,141,204,311,190
15.4,141,204,311,190
15.4,140,204,311,190
15.4,140,204,311,190
15.4,140,204,311,190
15.4,140,204,311,190
15.4,141,204,311,190
15.4,140,204,311,190
15.4,141,204,311,190
15.4,140,204,311,190
15.4,141,204,311,190
15.4,141,204,311,190
15.4,141,204,311,189
15.4,141,204,311,189
15.4,140,204,311,189
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,190
16.0,140,204,311,189
16.0,140,204,311,189
16.2,140,204,311,189
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,311,188
16.2,141,204,311,189
16.2,141,204,311,189
16.2,141,204,312,189
16.2,140,202,310,188
16.2,138,200,308,186
16.2,137,200,307,187
16.2,137,199,307,187
16.2,136,198,307,188
16.2,135,198,305,188
16.4,135,198,305,188
16.4,135,198,305,189
16.4,135,198,305,190
16.4,134,198,305,191
16.4,133,198,303,192
16.4,131,198,301,192
16.4,130,198,300,192
16.4,131,199,301,195
16.4,131,200,302,196
16.4,131,199,301,197
16.4,129,200,301,199
16.4,130,200,301,200
16.4,130,200,301,201
16.4,130,202,301,203
16.4,131,202,302,205
16.4,131,204,303,208
16.7,133,205,304,210
16.7,134,208,306,212
16.7,136,212,309,213
16.7,137,214,311,213
16.7,137,215,311,214
16.7,137,216,311,214
16.7,137,217,311,213
16.7,138,218,311,213
16.7,138,219,312,213
16.7,139,220,312,212
16.7,139,220,313,213
16.7,139,221,313,212
16.7,140,221,313,212
16.7,140,221,314,211
16.7,141,220,314,211
16.7,141,220,314,210
16.7,141,220,314,209
16.7,141,220,313,209
16.7,141,219,313,208
16.7,141,218,313,207
16.7,140,218,312,205
16.7,139,217,311,203
16.7,139,217,311,202
16.7,138,217,310,200
16.7,138,217,310,198
16.7,139,217,311,198
16.7,140,219,311,199
16.7,141,221,311,201
16.7,140,223,311,202
