BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
220,16.4,285,238,110
220,16.4,285,238,111
220,16.4,285,238,110
220,16.4,285,238,111
220,16.4,285,238,111
220,16.1,285,238,111
220,16.1,285,238,111
220,16.1,285,238,110
220,16.1,285,238,110
220,16.1,285,238,110
220,16.1,285,238,111
220,16.1,285,238,110
220,16.1,285,238,111
220,16.1,285,238,111
220,16.1,285,238,111
220,16.1,285,238,111
220,16.1,285,238,110
220,16.1,285,238,110
220,16.1,285,238,111
220,16.1,285,238,111
220,16.1,285,238,111
220,16.4,285,238,111
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
220,16.4,285,238,110
221,16.4,285,238,110
221,16.4,285,238,110
221,16.4,285,239,110
221,16.4,285,239,110
222,16.4,285,238,110
221,16.8,285,238,110
222,16.8,285,239,110
222,16.8,284,239,109
223,16.8,283,238,108
224,16.8,283,237,107
225,16.8,283,237,107
226,16.8,283,238,107
228,16.8,284,241,108
231,16.8,285,243,109
234,16.8,285,246,109
237,16.8,285,250,109
240,16.8,285,254,110
241,16.8,286,257,110
243,16.8,285,259,110
246,16.8,286,263,112
248,16.8,289,267,115
250,16.8,293,271,119
252,16.6,296,275,122
253,16.6,298,277,124
253,16.6,298,279,124
254,16.6,298,282,125
253,16.6,299,283,126
252,16.6,301,283,128
251,16.6,302,283,129
251,16.6,301,284,128
251,16.6,299,284,127
250,16.6,299,284,127
249,16.6,299,284,128
248,16.6,299,283,128
248,16.6,300,283,128
248,16.6,299,283,128
247,16.6,299,282,128
246,16.6,301,281,129
246,16.6,302,279,130
247,16.7,303,278,132
247,16.7,304,277,132
247,16.7,305,276,132
247,16.7,305,276,132
247,16.7,305,274,132
247,16.7,304,272,131
248,16.7,304,271,130
249,16.7,304,271,129
250,16.7,303,271,129
250,16.7,303,270,128
251,16.7,303,270,128
252,16.7,304,270,129
252,16.7,305,271,130
253,16.7,306,271,131
253,16.7,307,272,132
254,16.7,308,273,133
254,16.7,308,272,133
253,16.8,306,270,132
253,16.8,304,269,130
254,16.8,304,269,130
254,16.8,304,269,130
253,16.8,303,269,130
254,16.8,302,269,129
255,16.8,301,270,128
255,16.8,301,271,128
257,16.8,301,273,128
258,16.8,301,274,129
259,16.8,301,276,128
261,16.8,301,278,129
262,16.8,301,280,129
264,16.8,302,281,129
265,16.8,301,282,129
266,16.5,301,283,129
267,16.5,301,284,129
268,16.5,301,285,129
269,16.5,301,285,129
269,16.5,301,284,129
270,16.5,300,284,129
271,16.5,301,283,128
269,16.5,300,282,128
269,16.5,300,281,128
269,16.5,301,280,128
269,16.5,301,278,129
269,16.5,301,278,128
267,16.5,300,276,128
265,16.5,300,273,127
264,16.5,299,270,126
263,16.5,299,267,126
261,16.5,299,264,126
259,16.5,301,259,128
257,16.8,301,255,129
254,16.8,302,250,129
251,16.8,303,246,130
250,16.8,304,244,131
249,16.8,305,243,131
248,16.8,305,242,132
247,16.8,305,241,132
246,16.8,306,240,133
245,16.8,307,239,133
244,16.8,307,237,133
243,16.8,308,236,135
242,16.8,309,235,135
243,16.8,309,235,135
243,16.8,309,236,135
242,16.8,311,237,137
241,16.8,313,238,139
242,16.8,314,239,140
242,16.8,314,240,140
242,16.8,313,242,139
243,16.8,312,244,138
244,16.8,313,245,138
244,16.8,312,247,138
245,16.8,312,248,138
245,16.8,313,250,139
246,16.8,313,252,139
247,16.8,314,255,139
245,16.8,313,257,139
246,16.8,312,260,138
247,16.8,312,263,138
247,16.8,312,265,138
245,16.8,311,265,139
243,16.8,311,266,138
243,16.8,311,267,138
242,16.4,311,267,138
241,16.4,310,268,138
241,16.4,310,267,137
241,16.4,309,266,136
239,16.4,308,265,136
238,16.4,307,264,135
237,16.4,307,263,134
236,16.4,307,262,135
235,16.4,308,260,136
234,16.4,307,261,136
234,16.4,306,260,135
233,16.4,306,260,134
233,16.4,306,260,134
234,16.4,307,259,135
234,16.4,308,259,136
234,16.4,308,260,136
234,16.4,308,260,135
235,16.4,307,259,134
235,16.4,307,259,134
236,16.4,307,260,135
237,16.4,309,261,136
238,16.4,311,261,137
239,16.4,312,262,138
241,16.4,311,263,138
243,16.4,311,264,137
245,16.4,311,266,137
247,16.4,311,269,138
251,16.4,312,271,139
254,16.4,312,273,138
254,16.4,310,273,137
255,16.4,307,274,134
257,16.4,307,275,134
258,15.8,307,276,134
257,15.8,306,276,134
258,15.8,306,276,134
257,15.8,307,276,134
257,15.8,307,277,135
256,15.8,307,276,135
255,15.8,307,276,134
255,15.8,306,275,134
255,15.8,304,275,132
255,15.8,304,275,131
255,15.8,305,276,133
255,15.8,305,276,133
254,15.8,305,276,133
254,15.8,304,276,132
253,15.8,304,276,132
253,15.8,303,276,131
252,15.8,302,274,131
251,16.3,302,274,130
251,16.3,301,275,130
251,16.3,301,275,129
252,16.3,299,276,128
253,16.3,297,277,125
253,16.3,295,278,125
254,16.3,294,280,124
254,16.3,294,281,123
255,16.3,294,281,123
256,16.3,294,282,123
256,16.3,294,282,124
256,16.3,295,282,124
257,16.3,296,282,124
256,16.3,296,282,124
256,16.3,297,283,125
255,16.3,298,283,126
256,16.3,299,285,128
256,16.5,301,285,129
256,16.5,301,286,129
257,16.5,302,286,130
257,16.5,303,286,130
258,16.5,303,286,131
259,16.5,304,286,131
258,16.5,304,285,132
259,16.5,304,285,132
259,16.5,305,286,133
259,16.5,307,287,135
259,16.5,308,288,136
259,16.5,309,290,137
260,16.5,311,291,139
261,16.5,312,292,140
261,16.5,313,292,141
261,16.5,315,293,143
261,16.5,317,294,145
261,16.5,318,293,146
261,16.5,319,293,147
262,16.5,321,294,149
263,16.5,322,295,150
263,16.5,323,295,151
263,16.5,324,295,151
263,16.5,325,294,152
263,16.5,326,293,153
263,16.5,327,293,154
263,16.5,328,292,155
263,16.5,330,290,156
262,16.5,330,288,156
261,16.5,330,286,156
261,16.5,329,283,155
259,16.5,327,279,153
257,16.5,326,275,152
255,16.9,325,272,151
253,16.9,325,270,152
252,16.9,324,267,151
250,16.9,324,265,151
249,16.9,323,264,150
249,16.9,322,264,149
248,16.9,320,263,148
247,16.9,318,262,146
247,16.9,317,262,145
247,16.9,316,263,143
247,16.9,314,264,142
247,16.9,312,265,141
247,16.9,311,266,139
247,16.9,310,267,139
247,16.9,308,269,137
248,16.9,307,270,136
249,16.5,307,271,137
250,16.5,307,273,137
251,16.5,306,274,136
252,16.5,305,276,136
253,16.5,306,278,136
255,16.5,307,280,138
256,16.5,309,282,139
257,16.5,311,283,141
257,16.5,311,283,141
257,16.5,310,284,140
257,16.5,309,284,139
257,16.5,308,284,139
257,16.5,309,284,139
257,16.5,310,285,140
257,16.5,310,285,140
257,16.5,311,285,140
259,16.5,310,286,139
260,16.8,310,286,138
259,16.8,310,285,138
260,16.8,310,284,138
259,16.8,311,283,139
259,16.8,313,282,140
259,16.8,312,281,140
258,16.8,311,279,139
258,16.8,310,278,137
258,16.8,309,277,137
258,16.8,309,277,137
257,16.8,309,276,136
257,16.8,308,276,136
256,16.8,309,275,136
255,16.8,310,274,137
255,16.8,309,273,136
255,16.8,308,272,135
254,16.6,307,270,133
253,16.6,305,269,132
253,16.6,304,268,130
253,16.6,304,267,130
252,16.6,303,267,129
252,16.6,303,266,129
252,16.6,303,266,129
251,16.6,303,265,128
251,16.6,302,264,127
251,16.6,301,263,126
