BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
153,16.4,285,171,112
153,16.4,285,171,111
153,16.4,285,171,111
153,16.4,285,171,111
153,16.4,285,171,112
153,16.4,285,171,111
153,15.7,285,171,111
153,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,172,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,172,111
154,15.7,285,171,111
154,15.7,285,172,111
154,15.7,285,171,111
154,15.7,285,171,111
154,15.7,285,172,111
154,15.7,285,172,111
154,16.5,285,171,111
154,16.5,285,172,111
154,16.5,284,172,111
154,16.5,283,173,111
154,16.5,283,173,110
154,16.5,283,174,110
154,16.5,283,175,110
154,16.5,282,175,110
154,16.5,283,176,110
154,16.5,283,176,110
154,16.5,282,176,110
154,16.5,281,176,110
152,16.5,280,175,109
152,16.5,279,175,108
151,16.5,279,174,109
150,16.5,279,173,109
151,16.5,278,173,108
151,16.5,278,174,108
151,16.5,278,174,108
152,16.5,278,175,108
152,16.5,277,175,108
151,16.5,276,175,106
151,16.5,275,174,105
150,16.5,274,173,105
150,16.5,273,173,104
150,16.5,272,173,103
150,16.5,272,173,104
150,16.5,273,173,104
151,16.5,273,173,104
151,16.5,273,173,104
152,16.5,274,173,104
152,16.5,274,174,104
153,16.5,275,174,104
153,16.8,275,175,105
153,16.8,276,175,106
154,16.8,277,176,106
154,16.8,278,176,108
154,16.8,279,176,108
154,16.8,279,177,108
154,16.8,279,177,108
154,16.8,281,177,110
154,16.8,282,177,110
154,16.8,282,177,110
154,16.8,283,177,110
154,16.8,283,176,112
154,16.8,285,177,112
154,16.8,285,176,112
153,16.8,286,175,113
152,16.8,287,173,114
152,16.7,289,172,116
154,16.7,289,171,117
154,16.7,287,172,115
155,16.7,287,172,114
156,16.7,287,173,115
155,16.7,288,173,116
156,16.7,288,173,116
156,16.7,287,173,116
157,16.7,287,175,116
158,16.7,287,175,116
159,16.7,287,176,116
159,16.7,288,176,117
160,16.7,289,176,118
160,16.7,289,175,119
160,16.7,289,175,119
160,16.7,289,174,118
159,16.7,289,174,118
159,16.7,288,173,117
159,16.7,288,173,118
159,16.7,289,172,118
160,16.7,289,172,118
160,16.7,288,172,117
160,16.7,288,172,118
161,16.7,288,172,118
160,16.7,288,171,118
161,16.7,289,170,118
160,16.7,289,171,119
160,16.7,290,171,119
161,16.7,289,171,118
160,16.7,289,171,118
160,16.7,289,171,119
160,16.7,289,171,118
160,16.7,289,171,118
160,16.7,289,171,119
161,16.6,290,171,120
161,16.6,290,171,120
160,16.6,289,171,120
160,16.6,289,172,119
160,16.6,289,171,119
161,16.6,287,172,118
160,16.6,287,172,118
161,16.6,287,172,118
161,16.6,287,173,118
162,16.6,287,174,117
162,16.6,287,175,117
163,16.6,287,177,118
163,16.6,287,178,117
164,16.6,286,178,117
164,16.6,287,179,118
165,16.6,287,180,118
165,16.8,287,181,118
166,16.8,287,182,119
166,16.8,287,182,119
166,16.8,287,182,119
166,16.8,287,182,119
165,16.8,287,181,120
164,16.8,289,180,120
164,16.8,289,180,121
164,16.8,289,180,120
164,16.8,289,179,121
163,16.8,290,178,122
163,16.8,291,177,123
163,16.8,291,176,123
162,16.8,291,175,123
162,16.8,291,175,123
161,16.8,293,173,125
160,16.8,293,171,125
159,16.7,293,169,127
158,16.7,292,167,124
157,16.7,292,164,124
156,16.7,292,163,125
157,16.7,293,162,124
158,16.7,293,161,125
157,16.7,294,160,126
157,16.7,294,160,126
157,16.7,294,160,125
157,16.7,294,160,125
157,16.7,294,160,125
157,16.7,294,160,125
157,16.7,294,160,125
158,16.7,294,160,126
161,16.7,297,162,129
162,16.7,298,161,129
161,16.7,298,160,129
161,16.8,298,160,128
160,16.8,299,159,129
159,16.8,298,158,129
158,16.8,297,158,128
158,16.8,298,156,128
158,16.8,298,156,129
157,16.8,298,156,128
156,16.8,298,155,128
156,16.8,299,154,129
156,16.8,299,154,129
156,16.8,299,154,129
155,16.8,299,154,129
156,16.8,300,154,129
156,16.8,300,154,130
156,16.8,301,154,129
156,16.8,301,154,130
158,16.3,302,153,131
158,16.3,303,154,132
159,16.3,304,154,132
158,16.3,304,154,132
159,16.3,304,154,133
160,16.3,306,155,134
161,16.3,307,156,135
161,16.3,308,157,135
161,16.3,309,157,136
162,16.3,309,157,136
162,16.3,310,158,137
163,16.3,311,160,137
163,16.3,311,160,138
164,16.3,312,161,138
164,16.3,312,160,138
165,16.3,313,161,139
166,16.3,313,162,139
166,16.6,314,162,140
167,16.6,315,162,141
167,16.6,315,162,141
168,16.6,316,163,143
169,16.6,318,163,144
170,16.6,320,163,146
170,16.6,321,163,147
170,16.6,322,163,149
170,16.6,324,163,150
170,16.6,325,162,151
169,16.6,326,161,152
168,16.6,327,160,153
168,16.6,329,160,155
167,16.6,330,160,156
166,16.6,331,159,157
166,16.6,332,158,158
165,16.6,333,158,159
166,16.7,334,159,161
166,16.7,335,158,162
165,16.7,336,158,163
165,16.7,338,159,165
165,16.7,339,160,166
166,16.7,340,161,167
166,16.7,341,163,168
166,16.7,342,163,168
165,16.7,341,162,168
164,16.7,341,162,168
165,16.7,341,162,168
165,16.7,342,161,169
165,16.7,342,161,170
165,16.7,343,161,170
166,16.7,344,162,171
165,16.7,344,163,172
165,16.7,344,163,172
164,16.7,344,162,171
164,16.7,344,162,171
164,16.7,344,162,171
164,16.7,344,163,171
164,16.7,343,163,171
164,16.7,343,163,170
163,16.7,343,163,170
163,16.7,343,163,170
163,16.7,343,163,170
163,16.7,343,163,170
163,16.7,342,163,169
163,16.7,341,164,168
162,16.7,340,164,167
162,16.7,340,164,167
162,16.7,340,164,166
162,16.7,340,164,166
162,16.3,340,164,166
161,16.3,340,164,166
161,16.3,340,164,166
161,16.3,340,164,166
160,16.3,340,164,166
160,16.3,340,164,165
160,16.3,339,163,165
159,16.3,339,163,165
158,16.3,339,163,165
158,16.3,339,162,165
158,16.3,339,162,164
157,16.3,339,162,164
157,16.3,339,162,164
157,16.3,339,162,164
156,16.3,339,160,163
154,16.3,338,160,163
154,16.3,337,159,161
153,16.6,336,159,161
153,16.6,336,159,161
152,16.6,336,158,160
151,16.6,335,157,160
151,16.6,335,156,160
151,16.6,335,156,161
150,16.6,335,155,160
150,16.6,334,155,159
148,16.6,331,153,158
148,16.6,331,153,157
147,16.6,331,152,157
147,16.6,331,152,157
147,16.6,330,151,157
146,16.6,328,150,155
146,16.6,327,149,155
146,16.6,328,150,155
145,16.6,328,150,156
145,16.6,327,149,155
144,16.6,327,148,154
144,16.6,327,148,154
144,16.6,327,148,155
144,16.6,327,148,155
144,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,155
143,16.6,327,147,154
143,16.6,327,147,155
142,16.6,326,147,154
142,16.6,325,146,154
142,16.7,325,146,153
142,16.7,325,146,154
141,16.7,325,146,153
141,16.7,324,146,153
141,16.7,324,146,153
141,16.7,324,146,153
141,16.7,325,146,153
141,16.7,325,146,153
140,16.7,324,146,153
140,16.7,324,146,152
141,16.7,325,147,154
141,16.7,326,146,154
141,16.7,326,146,154
141,16.7,327,146,155
142,16.7,329,146,157
142,16.7,330,146,157
143,16.7,331,146,159
143,16.4,333,145,160
143,16.4,333,144,161
143,16.4,333,144,161
143,16.4,334,144,161
143,16.4,335,144,162
143,16.4,335,144,163
143,16.4,336,143,164
143,16.4,337,142,164
142,16.4,337,140,165
142,16.4,338,139,166
142,16.4,339,137,167
142,16.4,340,136,167
143,16.4,341,135,169
143,16.4,343,134,170
143,16.4,345,134,172
143,16.4,345,134,172
142,16.4,344,133,171
142,16.6,343,133,171
142,16.6,343,133,170
142,16.6,343,133,170
143,16.6,343,133,170
143,16.6,343,134,170
143,16.6,343,134,170
144,16.6,343,134,170
144,16.6,343,135,170
145,16.6,343,135,169
145,16.6,343,136,170
146,16.6,343,137,169
146,16.6,343,137,169
147,16.6,342,138,169
147,16.6,342,139,169
147,16.6,342,140,168
148,16.6,341,141,168
148,16.6,341,142,168
149,16.9,341,143,168
150,16.9,341,144,168
151,16.9,342,146,169
152,16.9,342,148,169
153,16.9,341,149,168
154,16.9,340,150,167
154,16.9,340,152,167
155,16.9,341,153,167
156,16.9,340,154,167
156,16.9,339,155,166
156,16.9,337,156,165
157,16.9,337,158,165
158,16.9,337,160,165
159,16.9,337,161,164
159,16.9,336,161,164
160,16.9,335,162,163
161,16.9,335,162,162
161,16.9,333,162,161
161,16.9,332,162,159
162,16.9,330,161,157
162,16.9,328,160,155
162,16.9,326,160,154
163,16.9,325,159,153
163,16.9,323,159,151
162,16.9,321,157,149
163,16.9,319,156,147
164,16.9,316,156,145
165,16.9,316,156,144
166,16.9,316,156,144
167,16.9,315,156,144
168,16.9,315,158,144
168,16.9,318,158,147
168,16.9,319,157,148
168,16.7,319,156,148
168,16.7,320,156,149
167,16.7,320,155,149
167,16.7,320,155,149
167,16.7,320,154,149
167,16.7,321,154,150
166,16.7,321,153,151
