BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
143,233,16.6,320,231
143,233,16.6,320,231
143,232,16.6,320,231
144,233,16.6,320,231
144,233,16.6,320,231
144,232,15.8,320,231
143,233,15.8,320,231
143,232,15.8,320,231
144,233,15.8,320,231
143,233,15.8,320,231
143,233,15.8,320,231
143,233,15.8,320,231
144,233,15.8,320,231
144,233,15.8,320,231
144,232,15.8,320,231
143,233,15.8,320,231
144,232,15.8,320,231
143,233,15.8,320,231
143,233,15.8,320,231
143,233,15.8,320,231
143,233,15.8,319,231
143,233,15.8,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,319,231
143,233,16.5,320,231
143,233,16.5,320,232
144,233,16.5,320,232
144,232,16.5,321,230
144,231,16.5,320,229
144,234,16.5,319,232
144,238,16.5,319,234
143,240,16.5,317,235
142,239,16.8,317,236
141,239,16.8,316,236
142,239,16.8,316,237
141,239,16.8,315,237
140,240,16.8,315,238
140,239,16.8,314,238
139,239,16.8,314,238
140,238,16.8,314,240
140,238,16.8,315,241
140,238,16.8,315,242
140,237,16.8,314,243
139,238,16.8,313,244
138,237,16.8,312,246
136,237,16.8,310,247
135,237,16.8,309,248
136,237,16.8,309,249
136,237,16.2,309,249
138,236,16.2,310,250
137,236,16.2,310,250
137,237,16.2,310,251
139,237,16.2,311,251
139,236,16.2,312,251
140,237,16.2,312,251
140,239,16.2,313,251
141,239,16.2,313,252
141,239,16.2,313,252
143,239,16.2,314,252
144,238,16.2,316,251
145,240,16.2,317,251
144,242,16.2,316,252
144,244,16.2,316,252
144,245,16.2,317,252
147,246,16.5,318,252
148,248,16.5,320,252
148,249,16.5,321,251
148,250,16.5,319,250
146,249,16.5,317,248
144,249,16.5,314,247
141,249,16.5,313,246
142,248,16.5,313,245
141,246,16.5,312,243
139,244,16.5,308,241
134,243,16.5,304,240
131,242,16.5,302,240
131,243,16.5,302,241
131,243,16.5,302,243
130,243,16.5,301,245
129,243,16.5,300,246
129,243,16.5,301,247
129,243,16.5,301,248
129,243,16.8,300,248
129,243,16.8,301,249
130,243,16.8,301,250
131,243,16.8,303,251
133,243,16.8,305,251
135,244,16.8,308,253
139,245,16.8,311,255
142,246,16.8,314,257
144,246,16.8,317,258
147,246,16.8,320,260
149,246,16.8,322,260
150,247,16.8,324,261
151,247,16.8,324,262
151,247,16.8,325,262
153,247,16.8,326,262
153,247,16.8,327,263
154,248,16.9,327,263
155,248,16.9,328,263
156,248,16.9,330,264
157,249,16.9,331,264
158,250,16.9,331,264
158,250,16.9,332,263
159,250,16.9,332,262
159,251,16.9,333,261
159,251,16.9,333,259
159,253,16.9,333,257
159,252,16.9,333,255
158,252,16.9,333,253
158,252,16.9,332,251
157,253,16.9,331,248
157,253,16.9,331,247
158,253,16.9,332,246
159,254,16.9,333,246
159,255,16.7,333,245
158,256,16.7,332,245
159,257,16.7,332,245
159,259,16.7,333,245
159,259,16.7,333,244
158,259,16.7,331,244
157,260,16.7,330,244
156,259,16.7,328,244
155,259,16.7,327,244
155,259,16.7,327,245
156,260,16.7,327,245
158,259,16.7,329,246
159,259,16.7,331,247
160,260,16.7,331,247
159,259,16.7,330,247
160,259,16.7,331,247
161,258,16.9,332,247
162,257,16.9,333,249
162,257,16.9,333,249
162,257,16.9,334,250
163,256,16.9,335,250
163,257,16.9,335,250
164,257,16.9,335,250
164,257,16.9,335,250
164,257,16.9,336,251
164,257,16.9,336,252
165,256,16.9,336,253
164,256,16.9,336,253
163,257,16.9,336,252
164,257,16.9,337,252
166,257,16.9,339,252
167,258,16.9,340,251
168,258,16.9,341,251
168,258,16.8,341,251
168,258,16.8,341,250
168,258,16.8,341,250
168,258,16.8,341,249
168,258,16.8,342,249
169,258,16.8,342,249
169,257,16.8,342,249
169,258,16.8,342,249
169,259,16.8,342,249
169,259,16.8,342,249
167,259,16.8,341,248
166,258,16.8,340,247
165,258,16.8,339,247
165,259,16.8,339,246
165,259,16.8,338,245
164,259,16.8,338,244
164,258,16.8,338,241
165,259,16.6,338,239
166,258,16.6,339,237
165,257,16.6,339,236
165,255,16.6,338,234
165,255,16.6,338,233
166,254,16.6,338,232
165,253,16.6,337,231
163,251,16.6,336,230
163,250,16.6,336,229
163,249,16.6,337,229
163,249,16.6,337,230
164,249,16.6,337,230
163,250,16.6,337,231
163,250,16.6,337,232
164,250,16.6,337,233
165,251,16.6,338,234
166,253,16.4,339,235
167,254,16.4,341,237
170,255,16.4,343,239
171,256,16.4,345,241
171,257,16.4,345,244
172,254,16.4,345,246
172,253,16.4,346,248
173,253,16.4,346,250
173,254,16.4,347,251
174,254,16.4,347,251
174,254,16.4,347,251
173,253,16.4,346,251
171,253,16.4,344,251
169,253,16.4,342,251
168,253,16.4,341,251
168,253,16.4,341,250
167,253,16.4,340,249
165,253,16.8,338,248
164,253,16.8,337,247
163,254,16.8,336,245
163,254,16.8,336,244
163,255,16.8,337,243
165,255,16.8,339,243
166,256,16.8,339,243
165,255,16.8,339,242
165,255,16.8,339,241
166,255,16.8,340,241
167,255,16.8,341,241
167,255,16.8,342,240
169,255,16.8,343,239
169,255,16.8,344,238
171,255,16.8,345,238
173,255,16.8,347,238
173,255,16.8,348,239
173,255,16.8,348,239
174,255,16.8,348,240
174,254,16.8,348,240
173,255,16.8,347,241
171,254,16.8,344,241
167,253,16.8,340,241
165,254,16.8,338,243
164,253,16.8,337,243
163,253,16.8,336,243
162,253,16.8,335,243
161,253,16.8,334,244
160,254,16.8,333,246
159,255,16.8,332,247
158,256,16.8,332,248
158,258,16.8,331,250
157,259,16.8,331,251
155,261,16.6,330,253
154,263,16.6,328,254
153,266,16.6,327,256
151,269,16.6,325,258
150,273,16.6,324,260
149,275,16.6,323,261
148,275,16.6,322,262
147,277,16.6,321,263
