BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,309,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,310,172,137
184,16.9,310,172,136
184,16.9,310,172,136
184,16.9,309,172,136
184,16.9,310,172,136
184,16.9,310,172,136
183,16.9,309,172,136
183,16.9,310,172,136
182,16.9,311,172,137
182,16.9,311,172,138
182,16.9,312,172,139
181,16.9,312,172,138
181,16.9,312,173,138
181,16.9,312,172,138
180,16.9,313,172,139
180,16.9,314,171,139
179,16.9,315,171,140
178,16.9,315,171,140
179,16.9,315,171,140
178,16.9,316,170,141
177,16.9,318,170,143
176,16.9,319,169,144
176,16.9,320,169,144
176,16.9,320,169,145
176,16.9,321,169,145
174,16.9,322,168,147
174,16.9,324,168,148
174,16.9,325,167,149
174,16.9,325,167,149
174,16.9,325,167,149
175,16.9,326,166,150
176,16.9,328,164,152
176,16.9,329,164,153
178,16.9,330,165,154
176,16.9,329,163,154
174,16.2,326,161,151
172,16.2,322,158,149
172,16.2,321,158,147
172,16.2,322,158,148
172,16.2,323,158,149
172,16.2,325,158,150
172,16.2,325,158,151
172,16.2,327,157,152
173,16.2,327,157,153
173,16.2,329,157,155
174,16.2,331,158,157
174,16.2,333,159,159
176,16.2,335,159,160
176,16.2,337,160,162
176,16.2,338,160,163
176,16.2,340,159,165
173,16.6,341,157,166
171,16.6,341,155,166
169,16.6,341,154,166
168,16.6,341,153,167
167,16.6,342,152,168
166,16.6,343,152,169
168,16.6,343,152,170
168,16.6,343,152,169
167,16.6,342,152,169
168,16.6,342,152,169
168,16.6,344,152,171
167,16.6,346,152,173
167,16.6,347,152,174
168,16.6,347,153,175
169,16.6,348,154,175
168,16.6,348,154,175
168,16.6,348,154,176
168,16.8,349,154,176
168,16.8,351,155,178
168,16.8,351,155,179
168,16.8,351,155,178
168,16.8,350,154,177
168,16.8,350,153,177
168,16.8,350,153,177
169,16.8,351,154,178
170,16.8,352,155,179
170,16.8,352,155,179
172,16.8,351,156,179
172,16.8,351,157,179
172,16.8,350,158,178
173,16.8,350,159,178
172,16.8,349,159,178
173,16.8,348,159,177
172,16.8,347,159,176
172,16.4,345,158,175
172,16.4,344,158,174
172,16.4,343,158,174
172,16.4,341,157,172
173,16.4,340,156,171
173,16.4,339,157,170
174,16.4,338,156,169
174,16.4,337,156,169
175,16.4,335,156,166
176,16.4,333,157,165
176,16.4,330,157,162
178,16.4,328,157,160
179,16.4,326,158,158
180,16.4,325,159,157
182,16.4,323,160,155
182,16.4,323,160,154
182,16.4,322,159,154
183,16.7,321,159,153
183,16.7,321,158,153
184,16.7,320,158,152
184,16.7,320,158,152
184,16.7,320,158,152
184,16.7,320,158,152
184,16.7,319,158,151
184,16.7,319,158,151
184,16.7,318,157,150
184,16.7,318,156,149
183,16.7,317,156,149
182,16.7,316,156,148
182,16.7,315,155,147
182,16.7,315,155,147
182,16.7,316,154,148
182,16.7,318,154,149
182,16.7,319,155,150
182,16.7,319,155,150
182,16.7,318,154,149
183,16.7,318,154,149
183,16.7,318,154,149
183,16.7,319,154,150
183,16.7,320,154,150
184,16.7,321,154,151
184,16.7,321,155,152
184,16.7,322,156,152
184,16.7,323,156,153
185,16.7,323,157,153
185,16.7,324,157,153
185,16.7,325,158,153
185,16.7,325,158,154
185,16.7,325,158,154
185,16.7,325,158,154
185,16.7,324,159,153
185,16.7,323,159,151
186,16.7,323,160,151
186,16.7,323,160,152
187,16.7,324,161,152
188,16.7,324,161,152
188,16.7,323,161,151
188,16.7,323,161,151
190,16.7,324,162,152
191,16.7,325,162,153
192,16.7,325,163,153
192,16.7,325,163,154
193,16.7,325,164,154
194,16.7,326,164,154
196,16.7,325,165,154
195,16.7,326,167,154
195,16.8,326,172,154
197,16.8,328,176,157
200,16.8,332,182,160
202,16.8,335,185,162
202,16.8,337,186,164
202,16.8,336,187,163
204,16.8,335,189,162
206,16.8,335,192,163
207,16.8,336,192,163
208,16.8,336,193,163
208,16.8,335,194,163
208,16.8,335,194,163
208,16.8,333,194,162
208,16.8,333,194,161
208,16.8,333,194,161
208,16.8,333,194,161
208,16.8,333,194,162
208,16.4,334,194,162
208,16.4,334,194,162
208,16.4,334,194,162
208,16.4,334,193,162
208,16.4,334,193,162
207,16.4,333,192,161
206,16.4,333,192,161
206,16.4,333,192,161
207,16.4,333,191,161
206,16.4,333,191,161
206,16.4,332,191,160
206,16.4,332,191,159
204,16.4,332,191,159
204,16.4,331,191,159
204,16.4,330,190,157
203,16.4,329,190,157
201,16.4,328,190,156
201,16.6,328,190,155
201,16.6,327,189,155
200,16.6,326,188,153
200,16.6,324,187,152
199,16.6,323,185,150
198,16.6,321,184,149
198,16.6,320,184,148
198,16.6,320,183,147
197,16.6,319,183,147
197,16.6,318,182,146
196,16.6,317,181,145
196,16.6,316,181,144
196,16.6,315,180,143
196,16.6,314,180,142
196,16.6,313,179,141
196,16.6,312,179,141
196,16.6,312,179,140
197,16.6,312,179,140
197,16.6,311,180,140
197,16.6,310,180,138
198,16.6,310,181,138
199,16.6,311,181,139
200,16.6,311,181,139
201,16.6,311,182,139
203,16.6,310,183,138
204,16.6,309,183,138
