BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
203,16.5,362,203,184
203,16.5,361,203,183
204,16.5,362,203,183
203,16.5,362,203,183
203,16.5,362,203,184
204,16.5,361,203,184
203,16.5,361,203,183
204,16.5,361,203,184
204,16.5,361,203,184
203,16.5,361,203,183
203,16.5,361,203,183
203,16.5,361,203,184
204,16.5,361,203,184
203,16.5,361,203,184
203,16.5,361,203,184
203,16.5,361,203,184
203,15.9,361,203,184
204,15.9,361,203,184
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,184
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,203,183
204,15.9,361,204,184
204,15.9,361,204,184
204,15.9,361,203,184
204,15.9,361,203,184
204,15.9,361,203,184
205,16.7,361,203,183
205,16.7,360,204,183
205,16.7,360,204,183
205,16.7,360,204,183
205,16.7,360,204,183
206,16.7,359,204,182
206,16.7,359,204,182
207,16.7,357,204,181
208,16.7,356,204,179
207,16.7,354,202,178
208,16.7,353,202,177
209,16.7,354,204,178
212,16.7,356,206,179
213,16.7,357,209,181
215,16.7,358,212,181
216,16.7,359,213,182
216,16.2,360,214,185
217,16.2,363,215,187
217,16.2,367,216,191
218,16.2,370,218,195
219,16.2,372,221,197
219,16.2,375,223,199
219,16.2,377,224,202
219,16.2,379,225,204
218,16.2,382,226,207
218,16.2,382,226,207
218,16.2,382,227,207
217,16.2,381,228,207
216,16.2,381,228,207
216,16.2,381,228,207
215,16.2,381,228,207
215,16.2,382,228,207
214,16.2,382,227,208
213,16.9,382,226,208
213,16.9,383,226,209
213,16.9,382,225,209
212,16.9,383,224,209
212,16.9,384,223,210
213,16.9,385,224,211
214,16.9,385,224,210
215,16.9,385,224,211
215,16.9,385,223,211
216,16.9,384,221,210
216,16.9,384,221,209
217,16.9,384,219,210
218,16.9,384,218,209
218,16.9,385,218,210
219,16.9,386,216,211
222,16.9,387,217,212
224,16.6,388,218,213
223,16.6,387,218,212
224,16.6,386,219,211
226,16.6,387,219,211
226,16.6,387,220,212
226,16.6,387,220,212
226,16.6,386,220,211
227,16.6,386,220,212
226,16.6,386,220,212
227,16.6,385,220,210
228,16.6,384,222,209
229,16.6,383,223,209
230,16.6,384,224,210
232,16.6,384,226,209
232,16.6,384,227,209
233,16.6,383,228,209
234,16.6,384,230,209
235,16.9,383,231,209
237,16.9,383,233,208
240,16.9,382,234,208
241,16.9,382,235,208
242,16.9,383,236,208
243,16.9,383,237,209
243,16.9,383,237,209
244,16.9,383,237,209
245,16.9,383,237,209
245,16.9,384,236,209
245,16.9,385,235,210
245,16.9,385,235,210
246,16.9,385,234,210
246,16.9,385,233,210
245,16.9,386,233,211
246,16.9,386,232,211
245,16.9,387,231,211
243,16.7,386,228,212
240,16.7,385,225,211
239,16.7,384,222,210
238,16.7,384,218,210
236,16.7,384,215,210
234,16.7,384,212,209
233,16.7,383,210,210
232,16.7,384,207,210
230,16.7,385,205,211
229,16.7,385,203,211
228,16.7,385,202,211
227,16.7,385,201,212
225,16.7,386,200,212
225,16.7,387,199,213
225,16.7,388,198,214
224,16.7,389,197,215
223,16.9,389,197,216
222,16.9,389,197,215
222,16.9,389,196,216
221,16.9,390,196,216
221,16.9,391,196,217
220,16.9,391,197,217
220,16.9,392,198,218
218,16.9,395,199,221
218,16.9,396,199,221
217,16.9,395,200,221
217,16.9,395,201,220
218,16.9,396,203,221
219,16.9,396,204,221
220,16.9,397,206,221
220,16.9,397,208,221
217,16.9,397,210,221
218,16.9,397,211,221
218,16.5,396,213,221
215,16.5,395,214,220
214,16.5,393,215,218
213,16.5,393,216,217
212,16.5,393,215,217
210,16.5,393,215,217
209,16.5,391,215,216
209,16.5,389,213,214
208,16.5,387,213,212
207,16.5,387,210,212
206,16.5,388,207,213
205,16.5,387,207,212
204,16.5,386,206,211
203,16.5,385,205,211
203,16.5,386,204,211
203,16.5,386,204,212
202,16.5,386,204,211
202,16.6,386,204,211
202,16.6,385,204,211
202,16.6,386,204,211
202,16.6,385,204,210
203,16.6,385,204,210
203,16.6,383,203,208
203,16.6,383,202,208
204,16.6,383,202,208
206,16.6,384,202,209
207,16.6,386,202,210
208,16.6,387,203,211
209,16.6,386,203,211
211,16.6,386,204,211
214,16.6,386,206,212
218,16.6,388,211,214
224,16.6,391,215,216
227,16.6,391,218,216
227,16.6,390,219,215
227,16.6,388,219,213
228,16.6,386,220,212
230,16.6,386,221,211
231,16.6,385,222,210
232,16.6,384,222,210
232,16.6,384,222,209
232,16.6,384,222,210
233,16.6,385,222,211
233,16.6,385,223,211
232,16.6,385,223,211
233,16.6,384,223,210
232,16.6,383,223,209
231,16.6,383,223,209
230,16.6,383,223,209
230,16.6,383,222,208
230,16.6,383,223,208
229,16.6,382,223,207
228,16.6,381,223,206
227,16.6,380,223,205
227,16.6,379,224,205
227,16.6,379,224,205
227,16.6,380,225,205
227,16.6,379,225,205
228,16.6,378,226,204
227,16.6,377,228,203
228,16.6,377,228,202
229,16.6,376,229,202
231,16.6,377,231,202
232,16.6,377,232,202
232,16.6,377,233,202
232,16.6,377,233,202
231,16.6,377,233,202
231,16.6,378,234,203
232,16.6,379,235,204
233,16.6,381,235,206
233,16.6,382,236,207
233,16.6,383,237,208
233,16.6,383,238,208
233,16.6,384,237,208
233,16.6,385,237,209
234,16.6,386,237,209
234,16.6,387,237,211
234,16.6,387,237,211
233,16.6,387,237,211
234,16.6,386,237,211
235,16.6,388,240,212
236,16.6,391,242,214
237,16.6,393,243,217
237,16.8,395,245,219
238,16.8,396,245,219
238,16.8,397,244,220
238,16.8,398,244,221
238,16.8,399,246,223
239,16.8,401,247,224
239,16.8,403,247,226
239,16.8,405,248,228
240,16.8,406,248,229
240,16.8,408,248,231
240,16.8,409,248,232
240,16.8,410,247,233
240,16.8,411,246,234
240,16.8,412,245,235
239,16.8,413,243,236
238,16.8,413,241,236
238,16.8,413,239,236
236,16.7,412,236,235
234,16.7,411,232,234
232,16.7,410,228,233
231,16.7,409,225,232
230,16.7,408,222,231
228,16.7,407,220,231
227,16.7,407,219,231
226,16.7,406,218,230
224,16.7,405,216,229
223,16.7,403,214,228
222,16.7,402,214,227
222,16.7,400,213,226
221,16.7,399,214,224
222,16.7,398,214,223
222,16.7,396,215,222
222,16.7,395,217,220
223,16.7,394,218,219
223,16.7,392,220,218
224,16.7,392,221,217
225,16.7,392,223,217
226,16.7,391,225,217
227,16.7,391,228,217
229,16.7,390,230,217
229,16.7,390,231,216
230,16.7,390,232,216
232,16.7,390,234,217
233,16.7,391,236,217
234,16.7,392,237,218
234,16.7,391,237,217
235,16.7,391,237,217
235,16.7,392,238,218
236,16.7,393,239,219
237,16.7,395,240,220
237,16.6,396,240,221
238,16.6,396,241,221
238,16.6,396,241,221
238,16.6,396,242,221
240,16.6,396,242,221
239,16.6,396,242,221
239,16.6,394,240,219
239,16.6,394,238,219
238,16.6,395,237,219
237,16.6,396,236,220
238,16.6,396,236,221
238,16.6,396,235,221
238,16.6,396,234,220
238,16.6,395,233,219
237,16.6,394,232,219
237,16.6,393,231,218
237,16.6,394,230,218
236,16.6,394,229,219
236,16.6,393,227,218
235,16.6,392,226,216
234,16.6,389,224,214
