BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
229,239,16.9,405,244
230,239,16.9,405,244
230,239,15.4,405,244
229,239,15.4,405,244
230,239,15.4,405,244
230,239,15.4,405,244
230,239,15.4,405,244
230,239,15.4,405,244
230,239,15.4,405,245
229,239,15.4,404,244
230,239,15.4,405,244
229,239,15.4,405,244
230,239,15.4,404,245
230,239,15.4,404,244
230,239,15.4,404,244
229,239,15.4,404,244
230,239,15.4,405,244
229,239,15.4,405,244
229,238,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
230,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
229,239,15.9,404,244
228,239,16.1,404,244
228,239,16.1,404,243
228,238,16.1,403,243
227,238,16.1,402,242
226,237,16.1,401,241
225,236,16.1,400,240
224,236,16.1,399,240
223,235,16.1,398,240
222,235,16.1,396,240
221,235,16.1,396,239
220,235,16.1,395,239
218,235,16.1,393,239
218,235,16.1,392,239
217,235,16.1,391,240
218,236,16.1,392,242
218,237,16.1,393,243
219,237,16.1,394,245
218,237,16.4,393,245
217,237,16.4,392,246
217,237,16.4,391,248
216,237,16.4,391,249
217,238,16.4,391,252
217,240,16.4,391,255
217,243,16.4,391,259
217,245,16.4,391,264
217,250,16.4,391,270
219,254,16.4,393,276
221,256,16.4,395,280
223,259,16.4,398,281
224,261,16.4,400,282
225,262,16.4,400,283
225,263,16.4,400,284
226,262,16.4,401,284
226,263,16.4,401,283
226,263,16.7,402,283
227,264,16.7,402,283
227,265,16.7,402,283
226,265,16.7,402,283
226,265,16.7,401,283
225,265,16.7,401,283
225,265,16.7,401,282
225,263,16.7,400,281
225,263,16.7,400,280
226,262,16.7,401,279
226,262,16.7,401,278
225,261,16.7,400,276
224,261,16.7,400,274
223,262,16.7,399,272
223,261,16.7,399,269
223,260,16.7,399,267
223,259,16.4,398,264
223,258,16.4,399,263
224,259,16.4,400,263
224,259,16.4,401,263
225,260,16.4,401,261
226,260,16.4,402,261
228,261,16.4,404,260
230,261,16.4,406,260
231,261,16.4,407,260
231,262,16.4,407,259
232,262,16.4,409,260
234,263,16.4,410,260
235,261,16.4,410,260
234,259,16.4,410,260
234,259,16.4,410,260
234,259,16.4,410,260
234,258,16.4,410,260
234,257,16.5,409,261
233,257,16.5,408,262
233,258,16.5,408,264
233,259,16.5,409,267
233,261,16.5,408,270
233,263,16.5,408,273
232,266,16.5,408,275
232,268,16.5,407,278
232,270,16.5,407,280
233,271,16.5,409,281
234,274,16.5,410,283
233,275,16.5,410,283
232,276,16.5,409,285
232,278,16.5,409,287
233,281,16.5,409,289
234,283,16.5,410,290
236,283,16.5,412,290
237,285,16.6,414,291
238,285,16.6,415,291
239,285,16.6,416,290
240,285,16.6,416,290
241,284,16.6,417,289
242,284,16.6,419,289
242,283,16.6,418,288
241,281,16.6,418,287
241,280,16.6,417,285
240,279,16.6,417,284
240,277,16.6,416,281
239,275,16.6,416,279
239,274,16.6,416,277
240,271,16.6,416,275
240,269,16.6,416,274
238,268,16.6,415,273
237,266,16.7,413,271
235,265,16.7,411,271
234,263,16.7,410,271
233,263,16.7,410,270
232,262,16.7,408,270
230,263,16.7,406,272
227,266,16.7,403,275
225,268,16.7,401,277
222,269,16.7,398,280
221,270,16.7,397,282
221,270,16.7,396,283
220,271,16.7,396,285
219,271,16.7,395,286
217,271,16.7,394,287
217,273,16.7,394,288
217,275,16.7,394,289
217,276,16.7,393,290
217,279,16.7,393,291
217,283,16.7,394,292
218,285,16.7,394,293
217,287,16.7,395,293
217,289,16.7,394,293
217,290,16.7,394,293
217,291,16.7,394,294
217,291,16.7,395,294
217,293,16.7,395,295
217,293,16.7,395,296
217,295,16.7,395,296
217,295,16.7,394,296
216,295,16.7,393,297
216,294,16.7,393,297
216,295,16.7,393,297
215,296,16.7,392,297
216,295,16.6,392,296
216,296,16.6,392,296
214,296,16.6,391,297
214,296,16.6,391,298
213,296,16.6,389,300
212,297,16.6,388,300
211,297,16.6,387,300
212,297,16.6,388,301
212,297,16.6,389,301
212,297,16.6,388,300
212,298,16.6,389,300
213,297,16.6,390,300
214,298,16.6,391,301
215,298,16.6,391,301
214,298,16.6,392,301
215,297,16.6,392,300
217,296,16.6,394,299
218,295,16.4,395,299
219,293,16.4,396,299
218,292,16.4,395,298
219,291,16.4,396,298
219,289,16.4,396,298
220,287,16.4,397,297
221,287,16.4,398,297
221,286,16.4,398,298
221,285,16.4,398,298
221,285,16.4,398,298
219,284,16.4,396,298
217,283,16.4,394,298
216,281,16.4,392,299
213,281,16.4,389,299
211,279,16.4,387,300
209,277,16.4,384,301
207,278,16.4,381,303
205,279,16.9,380,305
204,280,16.9,378,306
203,281,16.9,377,306
203,280,16.9,377,306
203,281,16.9,377,306
202,281,16.9,376,306
202,281,16.9,376,306
202,283,16.9,377,307
202,285,16.9,376,308
202,285,16.9,376,308
203,286,16.9,377,308
202,287,16.9,377,308
203,288,16.9,377,308
204,290,16.9,378,308
204,293,16.9,379,309
206,294,16.9,380,310
206,295,16.2,381,310
207,297,16.2,382,310
210,298,16.2,385,310
212,300,16.2,388,310
214,300,16.2,390,310
214,300,16.2,390,310
214,299,16.2,389,309
214,297,16.2,390,308
216,298,16.2,391,309
217,298,16.2,393,310
217,298,16.2,392,311
216,296,16.2,391,311
214,296,16.2,390,310
214,296,16.2,389,311
214,295,16.2,389,311
215,293,16.2,390,310
215,291,16.2,390,310
214,289,17.0,389,309
213,289,17.0,387,312
212,290,17.0,386,314
210,291,17.0,385,315
209,289,17.0,383,315
207,289,17.0,381,315
205,289,17.0,379,314
203,288,17.0,377,314
201,289,17.0,376,314
200,290,17.0,374,315
198,289,17.0,373,315
197,289,17.0,372,316
197,289,17.0,372,316
197,290,17.0,373,317
197,290,17.0,373,317
197,290,16.0,372,318
197,291,16.0,373,318
197,291,16.0,373,318
196,292,16.0,372,318
196,291,16.0,372,318
197,291,16.0,373,317
198,291,16.0,374,317
199,291,16.0,375,317
200,292,16.0,376,317
200,292,16.0,376,318
200,292,16.0,376,318
201,294,16.0,376,319
201,296,16.0,377,320
202,296,16.0,377,321
203,297,16.0,379,321
204,298,16.0,380,322
205,299,16.0,381,322
206,300,16.7,382,322
208,302,16.7,383,323
208,304,16.7,384,324
209,308,16.7,385,325
209,310,16.7,385,325
209,311,16.7,385,324
210,312,16.7,387,324
212,312,16.7,388,326
212,311,16.7,388,324
210,310,16.7,386,324
209,309,16.7,385,322
208,307,16.7,383,320
206,305,16.7,381,318
203,303,16.7,378,316
201,303,16.7,376,315
201,303,16.7,376,315
202,303,16.7,377,316
202,302,16.4,378,315
204,302,16.4,379,314
203,303,16.4,378,312
202,303,16.4,377,313
200,304,16.4,375,314
199,304,16.4,374,314
200,304,16.4,374,314
199,304,16.4,374,314
199,304,16.4,374,314
199,304,16.4,373,314
198,305,16.4,373,314
198,305,16.4,373,315
198,305,16.4,373,315
198,305,16.4,372,315
197,305,16.4,372,316
197,306,16.4,372,315
197,306,16.8,371,316
194,306,16.8,370,316
193,306,16.8,368,316
192,307,16.8,367,316
192,307,16.8,367,317
192,307,16.8,368,317
192,307,16.8,368,318
193,308,16.8,368,319
193,308,16.8,369,320
194,308,16.8,371,321
195,307,16.8,372,321
196,307,16.8,373,321
197,307,16.8,374,321
198,306,16.8,375,321
199,306,16.8,376,322
201,306,16.8,378,322
203,306,16.8,380,322
206,306,16.4,383,323
209,305,16.4,386,324
212,305,16.4,389,324
215,305,16.4,393,324
217,307,16.4,395,325
219,307,16.4,397,326
220,308,16.4,398,327
221,308,16.4,399,327
221,309,16.4,399,326
222,309,16.4,401,326
223,309,16.4,402,324
224,308,16.4,403,322
224,308,16.4,403,320
223,307,16.4,402,319
222,306,16.4,400,317
220,306,16.4,398,315
219,306,15.6,397,314
217,305,15.6,396,313
217,306,15.6,395,313
216,305,15.6,394,312
214,303,15.6,391,311
211,303,15.6,388,310
208,301,15.6,385,309
205,299,15.6,382,308
202,298,15.6,379,306
201,294,15.6,375,304
196,292,15.6,371,302
192,290,15.6,367,302
191,290,15.6,365,301
190,290,15.6,365,301
191,290,15.6,366,302
190,290,15.6,365,302
189,289,16.2,363,303
189,290,16.2,363,304
189,290,16.2,363,305
189,291,16.2,362,305
188,291,16.2,362,305
188,291,16.2,363,306
189,291,16.2,363,307
189,291,16.2,364,307
190,291,16.2,364,307
190,290,16.2,365,307
190,290,16.2,366,307
192,290,16.2,367,307
194,290,16.2,369,307
195,289,16.2,371,307
197,288,16.2,373,306
199,287,16.2,375,306
202,287,16.2,378,306
203,287,16.6,380,306
204,287,16.6,380,305
203,286,16.6,380,303
204,285,16.6,381,301
206,285,16.6,383,300
207,287,16.6,384,300
208,287,16.6,385,299
208,287,16.6,386,298
208,287,16.6,386,297
209,287,16.6,387,296
209,287,16.6,387,294
210,286,16.6,388,292
211,285,16.6,389,291
211,285,16.6,389,289
209,282,16.6,387,287
207,281,16.6,384,286
206,280,16.6,383,285
206,280,16.5,383,284
206,280,16.5,383,285
204,281,16.5,382,285
203,282,16.5,380,286
203,283,16.5,380,286
204,283,16.5,381,288
205,283,16.5,382,288
205,283,16.5,382,289
205,283,16.5,381,289
205,283,16.5,381,290
205,284,16.5,382,291
206,284,16.5,382,292
207,285,16.5,383,293
208,285,16.5,384,293
207,285,16.5,383,293
207,286,16.5,383,294
207,285,16.6,383,295
206,285,16.6,381,295
204,285,16.6,380,295
204,284,16.6,378,295
202,284,16.6,378,295
202,284,16.6,377,294
201,283,16.6,376,294
201,283,16.6,375,293
201,283,16.6,375,293
200,281,16.6,374,292
198,280,16.6,373,291
198,280,16.6,372,290
198,279,16.6,373,289
200,277,16.6,374,288
201,275,16.6,375,286
200,275,16.6,375,283
199,273,16.6,375,281
198,271,16.3,374,278
198,269,16.3,373,277
199,268,16.3,374,277
199,268,16.3,374,277
199,268,16.3,374,277
199,267,16.3,374,277
199,267,16.3,374,277
199,268,16.3,374,277
199,268,16.3,375,277
199,268,16.3,375,277
199,267,16.3,374,277
200,267,16.3,375,276
199,266,16.3,375,275
198,265,16.3,374,274
198,263,16.3,374,272
198,263,16.3,374,271
198,263,16.3,373,271
196,262,16.6,372,271
195,262,16.6,371,271
194,261,16.6,370,271
193,261,16.6,369,271
192,260,16.6,369,272
192,259,16.6,368,272
192,258,16.6,368,272
192,258,16.6,367,273
191,258,16.6,367,275
191,258,16.6,367,275
191,258,16.6,367,276
191,258,16.6,368,276
191,259,16.6,368,276
191,259,16.6,368,277
191,260,16.6,367,277
190,259,16.6,367,278
189,259,16.5,365,278
187,259,16.5,364,278
185,258,16.5,362,278
184,256,16.5,359,278
181,254,16.5,356,276
180,253,16.5,355,276
181,253,16.5,355,277
183,254,16.5,357,279
185,256,16.5,359,280
185,257,16.5,360,282
185,259,16.5,359,284
185,260,16.5,357,286
185,262,16.5,357,289
185,264,16.5,359,290
186,264,16.5,359,291
185,264,16.5,359,290
187,264,16.5,360,291
188,264,16.7,361,290
189,267,16.7,363,289
191,269,16.7,365,289
193,271,16.7,367,290
195,269,16.7,368,287
195,266,16.7,367,284
194,264,16.7,366,282
194,265,16.7,366,282
195,264,16.7,367,282
195,264,16.7,366,282
194,264,16.7,366,282
194,263,16.7,365,281
194,262,16.7,365,281
193,262,16.7,365,281
194,262,16.7,365,281
193,261,16.7,365,282
192,260,16.5,364,285
191,259,16.5,363,286
190,259,16.5,362,287
190,258,16.5,361,289
188,259,16.5,360,290
188,259,16.5,359,291
187,260,16.5,358,294
187,261,16.5,358,296
186,262,16.5,358,297
187,263,16.5,358,299
187,264,16.5,358,301
187,266,16.5,358,305
188,268,16.5,359,309
187,271,16.5,359,313
187,275,16.5,359,316
188,276,16.5,360,317
187,276,16.5,359,317
187,277,16.7,359,318
187,277,16.7,359,318
187,277,16.7,358,318
186,277,16.7,358,318
186,278,16.7,358,318
186,277,16.7,358,318
186,277,16.7,358,318
187,277,16.7,358,318
187,277,16.7,358,319
187,277,16.7,358,319
188,277,16.7,359,320
189,275,16.7,359,320
190,275,16.7,360,320
191,276,16.7,361,320
190,276,16.7,361,320
191,276,16.7,361,319
191,276,16.7,362,318
193,276,16.8,364,318
195,277,16.8,366,317
198,276,16.8,368,318
200,277,16.8,370,318
201,278,16.8,371,317
201,277,16.8,372,315
202,276,16.8,372,314
202,275,16.8,373,314
202,276,16.8,372,314
203,277,16.8,372,315
204,276,16.8,373,315
204,275,16.8,373,315
206,274,16.8,374,315
206,275,16.8,374,316
205,275,16.8,372,316
203,273,16.8,370,316
203,271,16.6,369,316
201,272,16.6,368,317
201,271,16.6,367,318
202,270,16.6,367,320
202,269,16.6,365,321
201,269,16.6,364,322
200,269,16.6,363,323
199,270,16.6,363,324
199,270,16.6,362,325
199,271,16.6,362,327
199,271,16.6,362,328
199,272,16.6,361,329
198,273,16.6,361,330
197,273,16.6,361,330
196,274,16.6,360,330
195,274,16.6,359,330
195,274,16.6,359,330
194,274,16.9,358,329
194,274,16.9,358,329
193,275,16.9,357,329
193,275,16.9,357,329
193,275,16.9,357,329
192,275,16.9,357,329
192,275,16.9,357,329
192,275,16.9,357,329
191,275,16.9,356,329
191,275,16.9,356,329
191,275,16.9,355,329
191,275,16.9,355,329
191,277,16.9,356,329
192,278,16.9,358,329
192,280,16.9,359,330
193,283,16.9,360,331
194,285,16.9,362,332
195,289,16.8,365,332
195,291,16.8,365,333
196,293,16.8,367,334
197,294,16.8,368,333
197,295,16.8,368,333
199,295,16.8,370,334
200,295,16.8,371,333
200,296,16.8,372,334
203,297,16.8,375,334
205,296,16.8,377,334
207,295,16.8,379,335
208,294,16.8,379,336
209,293,16.8,379,336
209,292,16.8,380,336
210,291,16.8,379,336
210,290,16.5,380,336
211,289,16.5,380,336
211,289,16.5,379,336
210,288,16.5,378,336
208,288,16.5,376,335
207,287,16.5,375,335
206,287,16.5,374,336
205,287,16.5,372,336
204,288,16.5,371,336
203,285,16.5,370,335
202,284,16.5,368,334
200,284,16.5,367,332
199,283,16.5,365,332
198,283,16.5,364,331
197,282,16.5,364,331
196,282,16.5,363,330
195,283,16.5,361,330
194,283,16.4,360,331
193,285,16.4,359,331
191,285,16.4,358,331
190,286,16.4,356,331
