FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
15.8,90,238,265,241
15.8,91,238,265,241
15.8,91,238,265,241
15.8,90,238,265,241
15.8,90,238,265,241
15.8,91,238,265,241
15.8,90,238,265,241
15.8,90,238,265,241
15.8,91,238,265,241
15.8,91,238,265,241
15.8,90,238,265,241
15.8,90,238,264,241
15.8,90,238,264,241
15.8,91,238,264,241
15.8,91,238,264,241
15.8,90,238,265,241
15.8,90,238,265,241
15.8,90,238,265,241
15.8,90,238,264,241
15.8,90,238,264,241
15.8,91,238,265,241
15.8,90,238,265,241
16.5,91,238,264,241
16.5,90,238,264,241
16.5,91,237,265,239
16.5,92,237,266,238
16.5,92,237,266,238
16.5,91,237,266,238
16.5,91,236,265,238
16.5,91,237,266,238
16.5,91,237,266,238
16.5,91,236,265,238
16.5,91,236,266,238
16.5,91,237,266,238
16.5,91,236,266,238
16.5,91,236,266,238
16.5,91,237,266,238
16.5,91,237,265,238
16.5,91,236,265,238
16.6,91,236,266,238
16.6,91,236,265,238
16.6,91,236,265,238
16.6,91,236,266,238
16.6,91,236,265,238
16.6,91,237,265,238
16.6,91,236,265,238
16.6,91,236,265,238
16.6,91,236,265,238
16.6,91,236,266,238
16.6,92,236,266,239
16.6,92,236,267,239
16.6,92,236,267,239
16.6,93,235,267,240
16.6,93,235,267,239
16.6,93,235,268,240
16.6,93,235,267,241
16.6,93,235,268,241
16.6,93,234,268,241
16.6,93,234,268,241
16.6,94,234,268,241
16.6,93,234,268,242
16.6,94,233,269,241
16.6,94,233,269,241
16.6,95,234,269,241
16.6,95,234,270,241
16.6,94,233,269,240
16.6,94,233,268,238
16.6,94,233,268,237
16.6,94,233,268,235
16.6,93,232,267,233
16.6,92,231,265,231
16.6,91,231,265,228
16.3,91,230,265,225
16.3,92,229,266,221
16.3,93,228,267,219
16.3,93,227,266,217
16.3,92,227,265,216
16.3,92,226,265,215
16.3,92,225,265,213
16.3,92,225,265,211
16.3,92,223,265,209
16.3,92,222,265,208
16.3,93,220,265,206
16.3,91,219,265,203
16.3,92,218,264,201
16.3,91,216,265,201
16.3,91,216,265,200
16.3,91,214,265,200
16.3,92,214,265,199
16.6,92,212,266,197
16.6,92,210,267,196
16.6,92,209,267,196
16.6,94,208,267,195
16.6,94,206,268,194
16.6,95,206,269,193
16.6,94,205,269,193
16.6,95,204,269,192
16.6,95,203,269,193
16.6,96,202,270,193
16.6,96,202,271,194
16.6,97,202,271,195
16.6,98,202,272,196
16.6,99,202,273,197
16.6,100,202,274,198
16.6,101,203,275,199
16.7,102,202,277,200
16.7,102,203,277,201
16.7,102,204,277,203
16.7,102,205,277,204
16.7,103,205,277,205
16.7,103,205,278,206
16.7,104,205,279,206
16.7,105,205,279,207
16.7,105,204,279,207
16.7,105,204,279,208
16.7,104,204,279,209
16.7,105,206,279,210
16.7,104,208,278,213
16.7,104,208,277,213
16.7,104,208,277,213
16.7,105,209,278,214
16.7,105,210,278,215
16.7,106,210,279,215
16.7,106,212,279,216
16.7,106,212,279,217
16.7,106,212,279,217
16.7,107,212,280,217
16.7,107,212,280,218
