FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,168,149,343,150
16.7,168,149,343,150
16.7,169,149,343,150
16.7,168,149,343,149
16.7,168,149,343,149
16.7,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,169,149,343,149
16.6,168,149,343,150
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,150
16.6,168,149,343,149
16.6,168,149,343,150
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,150
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,168,149,343,149
16.6,169,149,343,149
16.6,168,149,343,149
16.9,168,149,343,149
16.9,169,149,343,150
16.9,169,149,343,149
16.9,168,149,343,149
16.9,169,149,343,149
16.9,168,149,343,149
16.9,168,149,343,149
16.9,168,149,343,149
16.9,168,149,343,149
16.9,169,149,343,149
16.9,169,149,343,149
16.9,169,149,343,149
16.9,168,149,343,149
16.9,169,149,343,149
16.9,168,149,343,149
16.9,169,149,343,149
16.9,168,149,343,149
16.9,169,148,343,149
16.9,169,148,343,148
16.9,168,148,343,146
16.9,169,147,343,145
16.9,169,146,343,143
16.9,169,146,343,142
16.9,168,147,342,141
16.9,167,146,341,140
16.9,167,146,340,139
16.9,167,148,340,139
16.9,167,149,341,139
16.9,168,151,341,138
16.9,168,152,341,138
16.9,167,152,339,139
16.9,166,153,339,139
16.9,165,154,338,141
16.8,164,156,337,142
16.8,163,156,337,143
16.8,163,157,335,143
16.8,161,157,333,144
16.8,159,158,332,145
16.8,159,158,331,146
16.8,164,158,335,146
16.8,169,161,341,149
16.8,171,162,343,152
16.8,172,163,345,154
16.8,173,165,347,156
16.8,175,168,348,159
16.8,175,169,349,162
16.8,176,170,349,164
16.8,176,172,349,167
16.8,177,173,350,170
16.8,177,174,351,170
16.5,178,173,350,171
16.5,176,172,347,170
16.5,174,174,346,170
16.5,175,174,346,170
16.5,177,174,348,172
16.5,178,174,350,174
16.5,178,175,350,175
16.5,177,175,349,176
16.5,177,175,350,176
16.5,177,174,349,176
16.5,177,175,349,176
16.5,177,175,349,177
16.5,176,174,348,178
16.5,175,175,348,180
16.5,176,175,348,180
16.5,176,175,349,181
16.5,176,175,349,182
16.2,176,176,349,182
16.2,176,176,349,183
16.2,176,175,349,182
16.2,176,175,350,182
16.2,177,174,351,180
16.2,178,174,352,179
16.2,180,173,354,176
16.2,182,171,356,173
16.2,183,169,358,171
16.2,183,168,357,170
16.2,182,168,356,169
16.2,182,167,356,167
16.2,182,166,357,167
16.2,183,166,358,167
16.2,183,166,358,167
16.2,183,166,358,167
16.2,183,166,358,167
16.8,184,165,358,167
16.8,184,166,359,168
16.8,185,166,359,166
16.8,185,165,360,164
16.8,187,164,361,163
16.8,189,163,363,161
16.8,191,162,365,158
16.8,193,160,366,154
16.8,194,161,368,154
16.8,195,161,369,153
16.8,196,160,370,153
16.8,196,159,370,152
16.8,196,159,370,152
16.8,197,159,371,152
16.8,198,159,372,152
16.8,199,161,372,153
16.6,199,163,372,154
16.6,198,164,371,156
16.6,199,165,372,157
16.6,201,167,373,158
16.6,203,168,375,160
16.6,204,168,376,159
16.6,203,167,375,156
16.6,203,167,374,157
16.6,204,168,376,160
16.6,205,169,377,161
16.6,204,169,375,162
16.6,204,169,375,162
16.6,205,168,376,162
16.6,205,169,377,163
16.6,205,169,377,163
16.6,206,168,378,164
16.6,206,168,378,164
16.6,206,169,378,164
16.6,206,170,378,165
16.6,206,170,378,166
16.6,205,171,378,166
16.6,205,171,377,168
16.6,204,172,375,168
16.6,202,172,374,170
16.6,201,173,374,171
16.6,201,174,373,172
16.6,200,174,373,173
16.6,200,175,372,174
16.6,199,175,371,173
16.6,196,176,368,172
16.6,194,175,366,172
16.6,194,176,366,172
16.6,194,176,366,172
16.7,192,176,365,174
16.7,192,176,364,174
16.7,191,176,364,174
16.7,190,175,363,173
16.7,189,174,363,173
16.7,190,175,363,173
16.7,190,174,363,173
16.7,190,175,363,174
16.7,190,175,363,174
16.7,190,175,363,174
16.7,190,175,363,174
16.7,190,174,363,174
16.7,190,175,363,174
