FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.5,108,215,285,218
16.5,108,215,284,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,284,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.5,108,215,285,218
16.1,108,215,284,218
16.1,108,215,285,218
16.1,108,215,285,218
16.1,108,215,285,218
16.1,108,215,284,218
16.1,109,216,285,218
16.1,108,216,285,218
16.1,108,216,285,218
16.1,108,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,108,216,285,218
16.1,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
15.7,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,218
16.1,109,216,285,219
16.1,110,216,286,220
16.1,111,217,287,222
16.1,112,218,288,225
16.1,113,220,289,227
16.1,112,222,288,230
16.1,111,223,287,232
16.1,111,222,286,234
16.6,111,223,286,235
16.6,111,224,286,238
16.6,112,225,287,240
16.6,114,225,288,244
16.6,115,227,289,245
16.6,114,227,287,246
16.6,113,227,286,248
16.6,116,230,287,247
16.6,119,229,290,245
16.6,121,227,293,244
16.6,122,227,293,242
16.6,121,225,292,240
16.6,119,223,290,238
16.6,120,223,291,236
16.6,121,223,293,234
16.6,123,222,294,233
16.6,126,222,297,233
16.5,128,221,300,232
16.5,129,220,302,230
16.5,129,219,302,230
16.5,129,219,301,229
16.5,128,219,301,229
16.5,127,220,299,229
16.5,126,220,299,229
16.5,125,220,299,229
16.5,125,219,298,228
16.5,125,220,298,228
16.5,125,220,298,228
16.5,125,220,299,228
16.5,125,220,299,228
16.5,126,220,300,227
16.5,125,220,299,227
16.5,124,220,297,226
16.5,121,220,295,225
16.5,120,220,294,224
16.5,119,221,293,224
16.5,119,221,293,223
16.5,119,221,293,222
16.5,118,221,292,222
16.5,118,222,291,221
16.5,117,222,291,221
16.5,117,223,291,221
16.5,118,225,291,221
16.5,118,226,292,221
16.5,118,226,291,221
16.5,118,226,291,221
16.5,117,227,291,221
16.5,117,227,291,221
16.5,117,227,290,221
16.5,116,227,290,221
16.7,116,228,290,221
16.7,117,228,291,221
16.7,118,229,291,221
16.7,118,230,291,220
16.7,118,230,291,220
16.7,118,230,292,220
16.7,119,230,293,220
16.7,120,231,293,221
16.7,121,231,294,222
16.7,121,231,295,223
16.7,121,231,295,225
16.7,121,232,295,225
16.7,121,233,295,227
16.7,122,234,295,229
16.7,122,233,295,229
16.7,121,233,295,230
16.7,122,233,295,232
16.7,123,233,296,233
16.7,123,233,297,236
16.7,124,233,297,237
16.7,124,233,297,238
16.7,125,233,297,238
16.7,123,231,296,238
