FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.7,136,150,306,155
16.7,137,150,306,155
16.7,136,150,306,156
16.7,137,150,306,156
16.7,136,150,306,156
16.1,136,150,306,156
16.1,136,150,306,156
16.1,137,150,307,156
16.1,137,150,306,156
16.1,137,150,306,155
16.1,137,150,306,155
16.1,137,150,306,155
16.1,136,150,306,155
16.1,137,150,307,156
16.1,136,150,307,156
16.1,136,150,306,156
16.1,136,150,307,155
16.1,136,150,307,156
16.1,136,150,306,155
16.1,137,150,306,155
16.1,136,150,307,156
16.1,137,150,306,155
16.4,136,150,307,155
16.4,137,150,306,155
16.4,138,151,307,155
16.4,137,150,306,155
16.4,137,150,306,155
16.4,137,150,306,155
16.4,137,150,306,155
16.4,136,150,306,155
16.4,137,150,307,155
16.4,137,150,306,155
16.4,137,150,306,155
16.4,137,150,306,155
16.4,136,150,306,155
16.4,137,150,306,155
16.4,136,150,306,155
16.4,137,150,306,155
16.4,136,150,307,155
16.7,137,150,306,155
16.7,136,150,307,155
16.7,137,150,307,155
16.7,136,150,307,155
16.7,136,150,306,155
16.7,137,150,307,155
16.7,137,150,306,155
16.7,136,150,307,155
16.7,136,150,307,155
16.7,137,150,306,155
16.7,137,150,307,155
16.7,137,150,306,155
16.7,136,150,306,155
16.7,136,150,307,155
16.7,137,150,306,155
16.7,136,150,305,154
16.8,135,150,304,154
16.8,133,150,303,154
16.8,132,151,303,154
16.8,133,152,303,155
16.8,133,152,303,156
16.8,133,153,304,157
16.8,133,154,304,158
16.8,133,154,304,158
16.8,133,154,304,159
16.8,131,154,303,159
16.8,129,154,301,160
16.8,130,154,300,161
16.8,128,154,300,162
16.8,128,154,299,162
16.8,127,154,299,163
16.8,128,153,299,163
16.8,127,154,298,164
16.7,127,154,298,165
16.7,127,154,299,166
16.7,129,154,300,166
16.7,131,153,302,167
16.7,133,152,303,167
16.7,135,152,305,168
16.7,136,151,307,167
16.7,137,151,308,167
16.7,138,151,309,166
16.7,138,150,309,165
16.7,140,149,310,164
16.7,141,148,312,163
16.7,143,148,313,162
16.7,144,147,315,161
16.7,144,146,315,159
16.7,145,144,316,158
16.7,145,143,317,156
16.7,147,140,318,154
16.7,148,139,320,152
16.7,150,137,321,151
16.7,150,136,322,149
16.7,151,135,323,148
16.7,152,134,323,147
16.7,152,134,324,146
16.7,153,133,324,146
16.7,153,133,324,145
16.7,152,132,323,145
16.7,150,131,321,144
16.7,148,131,318,143
16.7,146,131,317,143
16.7,146,132,316,143
16.7,144,132,315,143
16.7,143,133,313,144
16.6,141,134,311,144
16.6,139,134,309,145
16.6,138,135,308,146
16.6,136,136,307,147
16.6,135,137,305,148
16.6,134,140,303,150
16.6,131,142,300,152
16.6,129,143,298,152
16.6,128,145,298,154
16.6,128,148,297,155
16.6,126,149,295,156
16.6,124,151,293,156
16.6,123,152,293,158
16.6,124,153,293,158
16.6,125,153,294,158
16.6,124,153,294,158
16.7,125,153,294,158
16.7,125,153,294,158
16.7,126,153,295,158
16.7,127,154,296,158
16.7,129,154,298,158
16.7,130,155,299,158
16.7,131,156,300,160
16.7,133,156,303,160
16.7,136,156,305,160
16.7,137,156,306,160
16.7,139,156,308,160
16.7,141,156,310,160
16.7,143,156,313,160
16.7,146,157,315,160
16.7,148,157,318,160
16.7,152,157,321,159
16.7,152,156,323,159
16.6,152,155,323,158
16.6,151,155,323,157
16.6,153,154,324,156
16.6,154,153,326,156
16.6,155,152,327,155
16.6,156,151,328,154
16.6,155,150,328,152
16.6,155,150,328,152
16.6,156,149,328,151
16.6,156,149,328,150
16.6,157,149,329,150
16.6,157,147,329,149
16.6,155,147,328,148
16.6,153,146,325,147
16.6,151,146,324,146
16.6,151,146,323,146
16.6,152,147,324,147
16.6,151,148,323,147
16.6,150,148,323,148
16.6,149,148,323,149
16.6,149,149,322,150
16.6,148,149,321,151
16.6,148,149,321,152
16.6,148,151,322,154
16.6,149,152,323,156
16.6,149,153,323,157
16.6,149,153,323,158
16.6,148,153,323,158
16.6,148,152,323,158
16.6,148,152,323,158
16.6,149,152,323,159
16.6,150,152,324,159
16.6,150,153,325,159
16.6,151,152,325,159
16.9,152,152,326,158
16.9,153,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,153,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,152,152,327,158
16.9,153,151,327,158
16.9,155,151,329,157
16.9,158,151,332,157
16.9,160,151,334,157
16.9,161,150,335,157
16.7,163,150,336,157
16.7,164,150,337,156
16.7,165,150,339,156
16.7,167,150,339,155
16.7,167,150,339,155
16.7,167,150,340,155
16.7,168,150,341,154
16.7,169,150,343,153
16.7,170,150,343,153
16.7,171,149,344,152
16.7,171,148,345,150
16.7,172,147,345,149
16.7,172,148,345,149
16.7,171,147,345,147
16.7,171,147,344,146
16.7,171,147,344,145
16.7,171,148,345,145
16.9,172,148,345,145
16.9,172,148,346,145
16.9,171,148,345,146
16.9,170,149,343,146
16.9,169,148,343,147
16.9,168,149,342,149
16.9,167,150,341,150
16.9,165,150,339,151
16.9,164,152,338,153
16.9,163,154,337,155
16.9,162,156,337,157
16.9,162,158,335,158
16.9,160,160,335,159
16.9,159,163,333,160
16.9,157,165,332,160
16.9,158,165,332,160
16.9,157,166,331,160
16.9,155,166,329,159
16.9,154,167,328,159
16.9,153,168,327,159
16.9,153,168,327,159
16.9,154,169,327,159
16.9,154,170,328,158
16.9,154,171,329,159
16.9,155,172,329,159
16.9,155,172,329,160
16.9,155,172,329,160
16.9,155,172,329,160
16.9,155,172,329,160
16.9,157,172,331,161
16.9,158,171,332,161
16.9,159,170,333,161
16.9,159,170,333,161
16.9,161,169,335,160
16.9,162,168,337,160
16.9,164,167,339,159
16.9,165,165,341,158
16.9,166,163,341,158
16.9,167,162,342,156
16.9,167,160,341,156
16.9,166,159,341,156
16.9,165,158,341,155
16.9,166,156,341,155
16.9,166,155,341,156
16.9,166,153,341,158
16.9,165,153,341,160
16.9,165,152,341,160
16.9,165,151,341,160
16.9,165,150,342,161
16.9,166,150,343,161
16.3,167,148,343,161
16.3,166,147,342,161
16.3,165,146,341,159
16.3,164,145,340,156
16.3,164,144,339,153
16.3,163,142,339,151
16.3,162,141,338,148
16.3,161,139,336,146
16.3,160,137,336,143
16.3,161,136,336,141
16.3,162,137,337,141
16.3,162,137,337,141
16.3,162,137,337,142
16.3,160,139,335,142
16.3,159,139,334,141
16.3,158,140,333,140
16.8,159,141,334,141
16.8,159,142,334,141
16.8,159,143,333,141
16.8,159,146,333,143
16.8,158,149,333,145
16.8,158,150,332,146
16.8,157,151,331,147
16.8,155,153,329,149
16.8,154,155,328,150
16.8,153,156,327,151
16.8,153,158,327,152
16.8,154,161,327,153
16.8,153,164,327,155
16.8,154,167,327,156
16.8,155,168,329,156
16.8,158,169,331,154
16.8,163,171,337,154
15.5,165,172,339,153
15.5,166,175,340,154
15.5,167,176,341,154
15.5,169,176,343,154
15.5,170,175,344,153
15.5,172,175,347,152
15.5,175,174,349,151
15.5,176,175,351,151
15.5,177,175,352,152
15.5,179,174,353,152
15.5,180,174,355,151
15.5,181,173,357,152
15.5,182,174,357,152
15.5,183,172,359,152
15.5,184,172,360,151
15.5,184,172,360,151
16.3,184,172,360,151
16.3,184,171,361,151
16.3,185,171,361,151
16.3,185,171,361,151
16.3,185,171,361,151
16.3,185,171,361,151
16.3,185,171,361,151
16.3,185,171,362,151
16.3,185,171,362,151
16.3,185,171,362,151
16.3,186,171,363,151
16.3,187,171,364,151
16.3,188,170,365,150
16.3,187,169,364,149
16.3,188,167,365,147
16.3,188,166,365,146
16.6,189,166,366,144
16.6,189,164,366,143
16.6,189,164,366,141
16.6,187,162,365,139
16.6,187,160,364,138
16.6,186,160,363,137
16.6,186,160,363,137
16.6,185,160,363,137
16.6,185,160,362,137
16.6,184,160,362,138
16.6,184,161,361,139
16.6,183,162,361,139
16.6,183,163,360,140
16.6,182,164,359,140
16.6,181,164,359,140
16.6,179,163,357,139
16.6,179,164,356,139
16.3,178,165,355,140
16.3,177,166,353,141
16.3,177,166,353,140
16.3,177,167,353,139
16.3,178,168,353,139
16.3,178,168,353,138
16.3,179,171,353,139
16.3,179,175,352,140
16.3,180,180,351,141
16.3,181,184,351,144
16.3,183,187,352,146
16.3,185,189,354,147
16.3,187,190,356,148
16.3,189,191,357,149
16.3,190,193,358,150
16.3,191,192,358,150
16.2,190,190,358,149
16.2,191,190,358,149
16.2,192,190,360,149
16.2,194,190,362,150
16.2,196,190,363,150
16.2,199,189,366,148
16.2,202,188,369,149
16.2,204,187,372,151
16.2,204,186,373,152
16.2,204,186,373,153
16.2,204,186,373,153
16.2,207,184,376,151
16.2,210,182,379,151
16.2,212,182,381,150
16.2,214,180,383,149
16.2,214,180,384,149
16.2,215,179,385,149
16.2,215,179,386,149
16.2,215,179,386,150
16.2,215,179,385,150
16.2,214,178,385,150
16.2,213,179,383,150
16.2,212,179,382,150
16.2,211,179,382,150
16.2,211,179,381,149
16.2,209,179,380,150
16.2,208,180,379,150
16.2,208,180,379,150
16.2,207,180,378,150
16.2,206,180,377,150
16.2,206,181,376,150
16.2,204,181,374,150
16.2,202,183,372,151
16.4,200,183,370,152
16.4,198,183,369,151
16.4,197,183,368,152
16.4,197,183,367,151
16.4,196,182,367,151
16.4,195,183,367,151
16.4,195,183,366,152
16.4,195,184,366,152
16.4,195,184,365,152
16.4,194,183,365,151
16.4,193,183,364,150
16.4,193,182,363,150
16.4,192,182,363,149
16.4,192,182,363,148
16.4,191,182,362,147
16.4,190,180,361,146
16.5,190,179,361,145
16.5,190,177,361,143
16.5,190,176,361,142
16.5,189,174,361,142
16.5,189,173,361,141
16.5,188,172,360,141
16.5,187,172,359,141
16.5,186,171,358,142
16.5,185,170,358,143
16.5,185,170,358,143
16.5,185,168,357,143
16.5,184,168,357,142
16.5,184,167,357,142
16.5,185,166,359,141
16.5,188,165,361,141
16.5,190,164,363,139
16.5,192,163,364,138
16.5,192,161,365,137
16.5,193,160,365,136
16.5,194,160,367,134
16.5,196,160,369,134
16.5,197,159,370,134
16.5,197,160,370,134
16.5,197,161,369,134
16.5,197,161,369,134
16.5,197,161,369,135
16.5,198,164,370,136
16.5,199,166,370,137
16.5,199,169,370,140
16.5,197,171,368,141
16.5,195,172,366,141
16.5,194,172,365,140
16.5,194,172,365,140
16.5,194,172,365,140
16.7,194,172,364,140
16.7,193,171,364,139
16.7,193,169,363,137
16.7,192,169,362,136
16.7,191,169,361,135
16.7,192,168,362,134
16.7,192,168,362,134
16.7,191,169,361,134
16.7,191,169,361,134
16.7,191,170,360,135
16.7,191,171,360,137
16.7,191,173,359,138
16.7,190,175,358,140
16.7,189,176,357,142
16.7,188,177,357,143
16.7,187,179,355,144
16.7,187,180,355,144
16.7,186,181,353,144
16.7,185,182,352,144
16.7,184,182,351,143
16.7,185,182,351,142
16.7,185,181,351,140
16.7,186,180,352,139
16.7,187,181,353,137
16.7,189,180,355,135
16.7,190,179,355,134
16.7,191,180,356,133
16.7,191,179,357,133
16.7,193,179,358,132
16.7,194,179,359,132
16.7,195,178,361,131
16.7,196,179,361,131
16.7,196,179,362,132
16.9,197,181,364,135
16.9,198,183,365,137
16.9,199,185,366,139
16.9,198,186,367,141
16.9,199,187,368,142
16.9,201,188,369,142
16.9,202,190,371,142
16.9,203,189,372,142
16.9,204,188,373,141
16.9,204,188,373,142
16.9,204,188,373,142
16.9,205,188,375,143
16.9,206,188,376,143
16.9,208,188,378,144
16.9,209,188,379,145
16.9,210,188,381,145
16.9,210,188,381,146
16.8,209,186,381,145
16.8,208,186,379,144
16.8,208,186,379,144
16.8,208,186,380,145
16.8,208,186,380,144
16.8,207,185,379,143
16.8,206,184,378,141
16.8,206,184,377,138
16.8,205,183,376,136
16.8,204,182,375,133
16.8,204,181,374,130
16.8,204,180,374,129
16.8,204,180,374,127
16.8,204,179,373,125
16.8,204,178,372,123
16.8,204,176,372,120
16.8,205,175,372,117
16.8,205,173,373,114
16.8,205,171,373,112
16.8,206,170,373,111
16.8,207,169,373,109
16.8,208,168,374,107
16.8,209,167,375,105
16.8,211,166,376,103
16.8,213,165,378,101
16.8,214,164,379,101
16.8,216,165,381,101
16.8,217,166,381,102
16.8,218,168,382,103
16.8,219,169,383,105
16.8,220,171,385,107
16.8,222,174,386,110
16.8,223,178,387,113
16.9,224,180,388,116
16.9,223,182,387,117
16.9,222,184,386,118
16.9,221,184,385,118
16.9,223,184,387,117
16.9,226,182,389,116
16.9,230,182,393,115
