FPS,BLUE_X,BLUE_Y,RED_X,RED_Y
16.6,137,162,310,165
16.6,137,162,310,164
16.6,137,162,310,164
16.6,137,163,310,164
16.6,137,162,310,165
16.5,137,162,310,164
16.5,137,162,310,164
16.5,137,163,310,164
16.5,137,162,310,164
16.5,137,163,310,165
16.5,137,162,310,164
16.5,137,162,310,165
16.5,137,162,310,164
16.5,137,163,310,164
16.5,137,162,310,164
16.5,138,162,310,164
16.5,137,162,310,164
16.5,137,162,310,165
16.5,137,162,310,164
16.5,137,162,310,165
16.5,137,162,310,164
16.5,137,162,310,164
16.3,137,162,310,164
16.3,139,162,310,164
16.3,137,162,310,164
16.3,137,162,310,164
16.3,137,162,310,164
16.3,138,163,310,164
16.3,137,162,310,164
16.3,137,162,310,164
16.3,137,163,310,165
16.3,137,162,310,165
16.3,137,162,310,164
16.3,137,163,310,164
16.3,137,163,310,164
16.3,137,163,310,164
16.3,137,162,310,164
16.3,137,162,310,164
16.3,137,162,310,164
16.7,137,162,310,164
16.7,136,162,310,164
16.7,136,163,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,163,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.7,136,162,310,164
16.7,137,162,310,164
16.7,137,162,310,164
16.8,137,162,310,164
16.8,136,162,310,164
16.8,136,162,310,164
16.8,137,161,310,164
16.8,136,162,310,164
16.8,136,161,310,164
16.8,137,162,310,164
16.8,138,161,310,164
16.8,137,161,310,164
16.8,136,162,310,164
16.8,137,161,310,164
16.8,137,161,310,164
16.8,136,161,310,164
16.8,136,161,310,164
16.8,136,161,310,164
16.8,137,161,310,164
16.8,137,161,310,164
16.7,136,161,310,164
16.7,137,161,310,164
16.7,137,159,309,162
16.7,135,158,308,160
16.7,134,157,306,160
16.7,132,157,305,159
16.7,132,157,305,158
16.7,133,156,305,158
16.7,133,157,305,158
16.7,133,158,305,158
16.7,133,157,305,158
16.7,132,159,304,157
16.7,131,160,303,157
16.7,132,161,303,156
16.7,132,161,304,156
16.7,132,163,304,157
16.7,132,165,304,158
16.7,132,167,303,159
16.7,132,169,303,160
16.7,131,169,302,160
16.7,129,170,301,160
16.7,130,172,301,159
16.7,130,173,301,158
16.7,131,173,302,158
16.7,133,175,303,159
16.7,134,177,305,159
16.7,135,178,305,159
16.7,135,178,305,159
16.7,137,178,307,158
16.7,140,178,308,158
16.7,140,180,309,160
16.7,142,180,311,160
16.7,143,180,313,160
16.8,145,180,314,161
16.8,147,180,315,162
16.8,148,180,317,163
16.8,148,180,317,165
16.8,148,181,318,167
16.8,149,182,319,169
16.8,150,183,320,171
16.8,150,183,321,172
16.8,151,184,321,174
16.8,152,185,323,175
16.8,152,186,323,176
16.8,152,186,324,176
16.8,152,186,324,177
16.8,152,186,324,177
16.8,152,186,324,178
16.8,151,186,324,178
16.7,151,185,324,179
16.7,152,185,325,179
16.7,152,185,325,179
16.7,152,184,326,179
16.7,152,184,326,179
16.7,152,184,326,178
16.7,152,183,326,178
16.7,151,182,325,177
16.7,150,182,325,176
16.7,150,183,324,174
16.7,149,182,324,172
16.7,149,182,323,169
16.7,149,180,323,167
16.7,147,179,321,165
16.7,146,179,320,164
16.7,145,178,320,163
16.7,145,177,319,161
16.7,145,176,319,160
16.7,145,174,319,157
16.7,145,172,319,155
16.7,145,170,319,153
16.7,146,169,319,151
16.7,146,169,319,151
16.7,146,169,320,151
16.7,146,167,320,150
16.7,147,166,320,149
16.7,146,166,320,148
16.7,148,166,321,149
16.7,149,168,321,150
16.7,150,169,322,151
16.7,151,170,323,151
16.7,155,169,327,151
16.7,160,169,331,150
16.7,164,169,335,149
16.2,167,168,337,149
16.2,169,169,340,148
16.2,171,168,341,148
16.2,172,168,343,148
16.2,172,172,341,148
16.2,172,173,341,146
16.2,173,172,341,145
16.2,175,172,343,144
16.2,176,172,344,143
16.2,177,172,345,140
16.2,178,172,346,140
16.2,179,172,347,142
16.2,180,172,349,145
16.2,180,173,349,146
16.2,180,173,349,147
16.2,180,173,349,148
16.2,179,173,349,148
16.2,180,173,349,148
16.2,180,173,349,148
16.2,180,173,349,149
16.2,180,173,349,149
16.2,180,173,350,150
16.2,180,174,350,151
16.2,180,175,350,151
16.2,180,176,350,152
16.2,179,177,349,153
16.2,179,178,349,154
16.2,179,178,349,154
16.2,179,179,349,155
16.2,179,180,349,155
16.2,179,180,348,155
16.2,178,180,348,155
16.6,178,180,348,154
16.6,177,180,347,153
16.6,177,180,347,153
16.6,177,181,347,154
16.6,178,181,347,154
16.6,177,181,347,153
16.6,177,181,347,152
16.6,178,181,347,152
16.6,178,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,181,347,152
16.6,177,180,347,151
16.8,177,181,347,151
16.8,177,182,347,152
16.8,177,182,347,151
16.8,177,181,347,150
16.8,177,182,346,150
16.8,177,182,346,147
16.8,177,182,345,145
16.8,177,182,345,144
16.8,178,183,345,144
16.8,179,183,347,144
16.8,180,183,347,143
16.8,181,183,348,141
16.8,182,183,348,140
16.8,182,185,348,139
16.8,183,184,348,138
16.8,183,184,349,138
16.8,183,184,349,139
16.8,183,185,349,140
16.8,183,185,349,141
16.8,181,185,347,141
16.8,181,186,347,142
16.8,181,186,347,142
16.8,181,186,348,144
16.8,182,187,349,146
16.8,182,188,349,147
16.8,182,188,349,148
16.8,183,188,350,148
16.8,183,188,351,149
16.8,185,187,352,150
16.8,185,188,353,151
16.8,186,187,355,151
16.8,187,186,355,152
16.8,187,185,356,152
16.8,188,184,357,152
16.8,188,183,357,152
16.8,187,182,357,152
16.8,187,182,357,152
16.8,187,181,357,153
16.8,187,180,357,153
16.8,188,180,357,153
16.8,188,179,358,153
16.8,188,178,358,152
16.8,188,177,358,152
16.8,188,177,358,152
16.8,187,176,357,152
16.8,186,176,356,152
16.8,185,175,356,151
16.8,186,174,356,150
16.8,186,174,356,149
16.8,185,174,355,148
16.3,185,173,355,145
16.3,183,172,353,143
16.3,182,172,351,143
16.3,181,172,350,144
16.3,179,172,349,142
16.3,179,173,349,143
16.3,179,172,348,143
16.3,179,172,348,142
16.3,179,172,347,142
16.3,178,173,347,142
